lat,lon,street,postcode,housenumber,city,state,country
40.4980729,-79.9252758,Kittanning Pike,15215,23, , , 
40.4984656,-79.9251327,Kittanning Pike,15215,35, , , 
40.4978241,-79.9250426,Kittanning Pike,15215,18, , , 
40.4979358,-79.9249999,Kittanning Pike,15215,22, , , 
40.4979857,-79.9249842,Kittanning Pike,15215,26, , , 
40.4987408,-79.9246794,Kittanning Pike,15215,44, , , 
40.5002307,-79.9245591,Kittanning Pike,15215,89, , , 
40.5002814,-79.9245208,Kittanning Pike,15215,91, , , 
40.4988628,-79.9244844,Kittanning Pike,15215,56, , , 
40.4997603,-79.9243738,Kittanning Pike,15215,78, , , 
40.4995198,-79.9243132,Kittanning Pike,15215,72, , , 
40.499486,-79.9243113,Kittanning Pike,15215,70, , , 
40.5004537,-79.9240019,Kittanning Pike,15215,100, , , 
40.4978807,-79.9250288,Kittanning Pike,15215,20, , , 
40.4980204,-79.9252917,Kittanning Pike,15215,21, , , 
40.5016859,-79.922005,Kittanning Pike,15215,150, , , 
40.5035111,-79.9195002,Kittanning Pike,15215,210, , , 
