lat,lon,street,postcode,housenumber,city,state,country
40.463045,-79.9076939,Ladson Street,15206,6510, , , 
40.4628955,-79.9076269,Ladson Street,15206,6534, , , 
40.4627056,-79.907522,Ladson Street,15206,6542, , , 
40.4625654,-79.9074855,Ladson Street,15206,6546, , , 
40.4628157,-79.9070941,Ladson Street,15206,343, , , 
40.4626794,-79.9070394,Ladson Street,15206,347, , , 
40.4630985,-79.9071984,Ladson Street,15206,6535, , , 
40.4623445,-79.9073756,Ladson Street,15206,6556, , , 
40.4632495,-79.9072715,Ladson Street,15206,335, , , 
40.4635152,-79.9074404,Ladson Street,15206,329, , , 
40.4632185,-79.9077695,Ladson Street,15206,6526, , , 
40.4634739,-79.9074132,Ladson Street,15206,331, , , 
