lat,lon,street,postcode,housenumber,city,state,country
40.4719525,-79.8897684,Laporte Street,15206,1710, , , 
40.472003,-79.8896974,Laporte Street,15206,1712, , , 
40.471993,-79.8896277,Laporte Street,15206,1716, , , 
40.4724031,-79.889572,Laporte Street,15206,1727, , , 
40.4724472,-79.8893894,Laporte Street,15206,1731, , , 
40.4718027,-79.8900607,Laporte Street,15206,1702, , , 
40.4718788,-79.8899106,Laporte Street,15206,1706, , , 
40.4720139,-79.8903816,Laporte Street,15206,1701, , , 
40.4720463,-79.8903222,Laporte Street,15206,1703, , , 
40.4720934,-79.8902576,Laporte Street,15206,1705, , , 
40.4721642,-79.8901113,Laporte Street,15206,1709, , , 
