lat,lon,street,postcode,housenumber,city,state,country
40.4649654,-79.9152863,Larimer Avenue,15206,403, , , 
40.4651875,-79.9148989,Larimer Avenue,15206,413, , , 
40.4648843,-79.9147347,Larimer Avenue,15206,410, , , 
40.4649223,-79.9146744,Larimer Avenue,15206,412, , , 
40.4645483,-79.9160973,Larimer Avenue,15206,307, , , 
40.4647617,-79.9150529,Larimer Avenue,15206,400, , , 
40.4647543,-79.9149358,Larimer Avenue,15206,402, , , 
40.4648375,-79.9149327,Larimer Avenue,15206,404, , , 
40.4648698,-79.9148827,Larimer Avenue,15206,406, , , 
40.4648992,-79.9148348,Larimer Avenue,15206,408, , , 
40.4649875,-79.9146212,Larimer Avenue,15206,414, , , 
40.4655814,-79.9145917,Larimer Avenue,15206,501, , , 
40.4634446,-79.9169321,Larimer Avenue,15206,200, , , 
40.4647671,-79.916844,Larimer Avenue,15206,231, , , 
40.4641413,-79.9166784,Larimer Avenue,15206,219, , , 
40.4646828,-79.9167901,Larimer Avenue,15206,313, , , 
40.4615644,-79.9206142,Larimer Avenue,15206,15, , , 
40.4618986,-79.9200909,Larimer Avenue,15206,47, , , 
40.4619418,-79.9200366,Larimer Avenue,15206,51, , , 
40.4619802,-79.9199694,Larimer Avenue,15206,55, , , 
40.4618041,-79.9202466,Larimer Avenue,15206,59, , , 
40.4615313,-79.9206736,Larimer Avenue,15206,9, , , 
40.466648,-79.9105523,Larimer Avenue,15206,716, , , 
40.4678994,-79.906854,Larimer Avenue,15206,1102, , , 
40.4680716,-79.9067006,Larimer Avenue,15206,1108, , , 
40.4680737,-79.9072961,Larimer Avenue,15206,1101, , , 
40.4681561,-79.9071333,Larimer Avenue,15206,1105, , , 
40.4682254,-79.9065538,Larimer Avenue,15206,1114, , , 
40.4683347,-79.9064477,Larimer Avenue,15206,1118, , , 
40.4669053,-79.9109172,Larimer Avenue,15206,713, , , 
40.4668036,-79.9099227,Larimer Avenue,15206,656, , , 
40.4684422,-79.9069261,Larimer Avenue,15206,1113, , , 
40.4684457,-79.9067985,Larimer Avenue,15206,1115, , , 
40.4685112,-79.9067625,Larimer Avenue,15206,1117, , , 
40.470013,-79.9059182,Larimer Avenue,15206,1247, , , 
40.465058,-79.9144649,Larimer Avenue,15206,420, , , 
40.4653349,-79.9139459,Larimer Avenue,15206,512, , , 
40.465387,-79.9133785,Larimer Avenue,15206,518, , , 
40.4655315,-79.9135412,Larimer Avenue,15206,522, , , 
40.4655473,-79.9141706,Larimer Avenue,15206,513, , , 
40.4658915,-79.9135906,Larimer Avenue,15206,531, , , 
40.4664157,-79.9121957,Larimer Avenue,15206,601, , , 
40.4653349,-79.913447,Larimer Avenue,15206,520, , , 
