lat,lon,street,postcode,housenumber,city,state,country
40.4715327,-80.0128226,Leland Street,15214,2639, , , 
40.4714195,-80.0126307,Leland Street,15214,2631, , , 
40.4722907,-80.0126204,Leland Street,15214,2654, , , 
40.4722263,-80.012601,Leland Street,15214,2652, , , 
40.470853,-80.0124765,Leland Street,15214,2613, , , 
40.4707817,-80.0124745,Leland Street,15214,2609, , , 
40.4708176,-80.0124624,Leland Street,15214,2611, , , 
40.4707531,-80.0124613,Leland Street,15214,2607, , , 
40.4713076,-80.0122574,Leland Street,15214,2624, , , 
40.4708702,-80.0120467,Leland Street,15214,2610, , , 
40.4708382,-80.0120266,Leland Street,15214,2608, , , 
40.4712748,-80.0122771,Leland Street,15214,2622, , , 
40.4714787,-80.0127909,Leland Street,15214,2637, , , 
40.4718307,-80.0128038,Leland Street,15214,2643, , , 
40.4719039,-80.0128275,Leland Street,15214,2645, , , 
40.4716494,-80.0123907,Leland Street,15214,2624, , , 
40.4716377,-80.012409,Leland Street,15214,2634, , , 
