lat,lon,street,postcode,housenumber,city,state,country
40.4666002,-79.8895005,Lemington Avenue,15206,7322, , , 
40.4666478,-79.8894779,Lemington Avenue,15206,7314, , , 
40.4668936,-79.8909112,Lemington Avenue,15206,7276, , , 
40.4669511,-79.8911125,Lemington Avenue,15206,7272, , , 
40.4669707,-79.8907662,Lemington Avenue,15206,7280, , , 
40.4669663,-79.8905935,Lemington Avenue,15206,7284, , , 
40.4669281,-79.8903122,Lemington Avenue,15206,7296, , , 
40.4667975,-79.8931525,Lemington Avenue,15206,7214, , , 
40.4668088,-79.8932058,Lemington Avenue,15206,7212, , , 
40.4668227,-79.8930667,Lemington Avenue,15206,7216, , , 
40.4668387,-79.8928242,Lemington Avenue,15206,7224, , , 
40.4668571,-79.8925289,Lemington Avenue,15206,7232, , , 
40.4669013,-79.8919073,Lemington Avenue,15206,7250, , , 
40.4669135,-79.8920029,Lemington Avenue,15206,7244, , , 
40.4668128,-79.8934342,Lemington Avenue,15206,7206, , , 
40.466991,-79.8947826,Lemington Avenue,15206,7166, , , 
40.4671091,-79.894117,Lemington Avenue,15206,7177, , , 
40.4672471,-79.8951266,Lemington Avenue,15206,7148, , , 
40.4673545,-79.895244,Lemington Avenue,15206,7144, , , 
40.4674186,-79.8952701,Lemington Avenue,15206,7142, , , 
40.4675136,-79.8954288,Lemington Avenue,15206,7138, , , 
40.4675861,-79.8948674,Lemington Avenue,15206,5, , , 
40.4675998,-79.8954045,Lemington Avenue,15206,7136, , , 
40.4683602,-79.8955006,Lemington Avenue,15206,7115, , , 
40.468295,-79.8954482,Lemington Avenue,15206,7117, , , 
40.4682518,-79.895367,Lemington Avenue,15206,7119, , , 
40.467879,-79.8956133,Lemington Avenue,15206,7126, , , 
40.4678151,-79.8951037,Lemington Avenue,15206,7135, , , 
40.4692762,-79.8966228,Lemington Avenue,15206,7078, , , 
40.4689595,-79.8965559,Lemington Avenue,15206,7088, , , 
40.4705469,-79.8976785,Lemington Avenue,15206,7030, , , 
40.4709793,-79.8980813,Lemington Avenue,15206,7010, , , 
40.4711952,-79.8977513,Lemington Avenue,15206,7011, , , 
40.4712467,-79.8978137,Lemington Avenue,15206,7009, , , 
40.4713002,-79.8978629,Lemington Avenue,15206,7005, , , 
40.4709352,-79.8980447,Lemington Avenue,15206,7012, , , 
40.4711238,-79.8977235,Lemington Avenue,15206,7013, , , 
40.4708897,-79.8980084,Lemington Avenue,15206,7014, , , 
40.4708015,-79.8979376,Lemington Avenue,15206,7018, , , 
40.4710851,-79.8976741,Lemington Avenue,15206,7023, , , 
40.4722786,-79.8986584,Lemington Avenue,15206,6961, , , 
40.4723289,-79.8986985,Lemington Avenue,15206,6959, , , 
40.4723512,-79.8992061,Lemington Avenue,15206,6952, , , 
40.4723708,-79.8992244,Lemington Avenue,15206,6954, , , 
40.4722258,-79.8986161,Lemington Avenue,15206,6967, , , 
40.4720889,-79.8985363,Lemington Avenue,15206,6971, , , 
40.4720419,-79.8984783,Lemington Avenue,15206,6973, , , 
40.4719849,-79.8984143,Lemington Avenue,15206,6975, , , 
40.4718207,-79.8982685,Lemington Avenue,15206,6981, , , 
40.4717825,-79.8982414,Lemington Avenue,15206,6983, , , 
40.4717458,-79.8982075,Lemington Avenue,15206,6985, , , 
40.4716019,-79.8986074,Lemington Avenue,15206,6986, , , 
40.4716866,-79.8981973,Lemington Avenue,15206,6989, , , 
40.4714803,-79.8985154,Lemington Avenue,15206,6990, , , 
40.4713718,-79.8978964,Lemington Avenue,15206,7003, , , 
