lat,lon,street,postcode,housenumber,city,state,country
40.4679324,-79.9109357,Lenora Street,15206,658, , , 
40.468008,-79.9108022,Lenora Street,15206,664, , , 
40.4680636,-79.9106458,Lenora Street,15206,670, , , 
40.4681365,-79.9104633,Lenora Street,15206,676, , , 
40.468154,-79.9104222,Lenora Street,15206,678, , , 
40.4682584,-79.9108127,Lenora Street,15206,667, , , 
40.4683634,-79.9107938,Lenora Street,15206,669, , , 
40.4684478,-79.9105837,Lenora Street,15206,675, , , 
40.4684737,-79.9105202,Lenora Street,15206,677, , , 
40.4666347,-79.914504,Lenora Street,15206,525, , , 
40.4666694,-79.9144278,Lenora Street,15206,527, , , 
40.4666995,-79.9143008,Lenora Street,15206,529, , , 
40.4667426,-79.9142263,Lenora Street,15206,531, , , 
40.4670629,-79.9135319,Lenora Street,15206,557, , , 
40.4674097,-79.9129308,Lenora Street,15206,575, , , 
40.4674405,-79.9128498,Lenora Street,15206,601, , , 
40.4674535,-79.9128168,Lenora Street,15206,603, , , 
40.4677463,-79.9121938,Lenora Street,15206,621, , , 
40.4677716,-79.912118,Lenora Street,15206,625, , , 
40.467804,-79.912045,Lenora Street,15206,627, , , 
40.4678484,-79.9119073,Lenora Street,15206,631, , , 
40.4679555,-79.911612,Lenora Street,15206,639, , , 
40.4679596,-79.9118001,Lenora Street,15206,635, , , 
40.4681066,-79.9111667,Lenora Street,15206,655, , , 
40.4681243,-79.9113787,Lenora Street,15206,649, , , 
40.468205,-79.9110447,Lenora Street,15206,657, , , 
40.4668124,-79.9140934,Lenora Street,15206,535, , , 
40.4670275,-79.9135998,Lenora Street,15206,555, , , 
