lat,lon,street,postcode,housenumber,city,state,country
40.4967769,-80.0575984,Lincoln Avenue,yes,568, , , 
40.4912582,-80.047473,Lincoln Avenue,174,photographer, , , 
40.4726858,-79.8897306,Lincoln Avenue,15206,1726, , , 
40.4727268,-79.8894709,Lincoln Avenue,15206,1736, , , 
40.4727409,-79.8893904,Lincoln Avenue,15206,1738, , , 
40.4732059,-79.8890122,Lincoln Avenue,15206,1755, , , 
40.4642625,-79.8999439,Lincoln Avenue,15206,1102, , , 
40.4642758,-79.8998918,Lincoln Avenue,15206,1104, , , 
40.464942,-79.899226,Lincoln Avenue,15206,1153, , , 
40.4652116,-79.8988438,Lincoln Avenue,15206,1215, , , 
40.4653039,-79.8987659,Lincoln Avenue,15206,1219, , , 
40.4654474,-79.8985037,Lincoln Avenue,15206,1221, , , 
40.4655247,-79.8984382,Lincoln Avenue,15206,1225, , , 
40.4655725,-79.898393,Lincoln Avenue,15206,1227, , , 
40.4656295,-79.8983405,Lincoln Avenue,15206,1229, , , 
40.4659905,-79.8980339,Lincoln Avenue,15206,1245, , , 
40.4718095,-79.8909669,Lincoln Avenue,15206,1656, , , 
40.4718671,-79.890913,Lincoln Avenue,15206,1658, , , 
40.4719724,-79.8909609,Lincoln Avenue,15206,1662, , , 
40.4724459,-79.8902591,Lincoln Avenue,15206,1712, , , 
40.4726806,-79.8898307,Lincoln Avenue,15206,1722, , , 
40.4725227,-79.8909891,Lincoln Avenue,15206,1701, , , 
40.470077,-79.893393,Lincoln Avenue,15206,1586, , , 
40.4701844,-79.8931664,Lincoln Avenue,15206,1592, , , 
40.4704101,-79.8926076,Lincoln Avenue,15206,1600, , , 
40.4705148,-79.8932538,Lincoln Avenue,15206,1585, , , 
40.470576,-79.8930749,Lincoln Avenue,15206,1597, , , 
40.4706554,-79.8929541,Lincoln Avenue,15206,1601, , , 
40.470677,-79.8928588,Lincoln Avenue,15206,1603, , , 
40.4707863,-79.8916988,Lincoln Avenue,15206,1620, , , 
40.4707963,-79.891977,Lincoln Avenue,15206,1616, , , 
40.4708111,-79.8919621,Lincoln Avenue,15206,1618, , , 
40.4709665,-79.8919016,Lincoln Avenue,15206,1622, , , 
40.4711381,-79.891756,Lincoln Avenue,15206,1628, , , 
40.4711509,-79.8913005,Lincoln Avenue,15206,1634, , , 
40.4711942,-79.8917064,Lincoln Avenue,15206,1630, , , 
40.471251,-79.8916489,Lincoln Avenue,15206,1632, , , 
40.4714161,-79.8913168,Lincoln Avenue,15206,1640, , , 
40.4717891,-79.8911187,Lincoln Avenue,15206,1654, , , 
40.4686759,-79.8958451,Lincoln Avenue,15206,1500, , , 
40.4687266,-79.8958064,Lincoln Avenue,15206,1502, , , 
40.4690419,-79.8952376,Lincoln Avenue,15206,1520, , , 
40.4690776,-79.895123,Lincoln Avenue,15206,1522, , , 
40.469132,-79.8960192,Lincoln Avenue,15206,1501, , , 
40.469184,-79.8958655,Lincoln Avenue,15206,1513, , , 
40.4692614,-79.8958838,Lincoln Avenue,15206,1515, , , 
40.4695756,-79.8951377,Lincoln Avenue,15206,1535, , , 
40.469696,-79.8949269,Lincoln Avenue,15206,1543, , , 
40.4697709,-79.8934923,Lincoln Avenue,15206,1570, , , 
40.4700702,-79.8934903,Lincoln Avenue,15206,1572, , , 
40.4703703,-79.8936411,Lincoln Avenue,15206,1581, , , 
40.46617,-79.897592,Lincoln Avenue,15206,1250, , , 
40.4662609,-79.8975507,Lincoln Avenue,15206,1254, , , 
40.4663031,-79.8975376,Lincoln Avenue,15206,1256, , , 
40.4667562,-79.8978048,Lincoln Avenue,15206,1311, , , 
40.466791,-79.8978095,Lincoln Avenue,15206,1313, , , 
40.4668381,-79.8977963,Lincoln Avenue,15206,1315, , , 
40.4669527,-79.8977478,Lincoln Avenue,15206,1319, , , 
40.4670199,-79.897723,Lincoln Avenue,15206,1325, , , 
40.4670532,-79.8977035,Lincoln Avenue,15206,1327, , , 
40.4670769,-79.8977014,Lincoln Avenue,15206,1329, , , 
40.4673766,-79.8975898,Lincoln Avenue,15206,1335, , , 
40.4674183,-79.8970299,Lincoln Avenue,15206,1334, , , 
40.4675033,-79.8975234,Lincoln Avenue,15206,1339, , , 
40.4675236,-79.8969657,Lincoln Avenue,15206,1338, , , 
40.467563,-79.89694,Lincoln Avenue,15206,1340, , , 
40.4639009,-79.9031596,Lincoln Avenue,15206,911, , , 
40.4640116,-79.902035,Lincoln Avenue,15206,1001, , , 
40.4641233,-79.9018477,Lincoln Avenue,15206,1007, , , 
40.4641741,-79.901401,Lincoln Avenue,15206,5, , , 
40.4641856,-79.9013445,Lincoln Avenue,15206,1015, , , 
40.4642196,-79.9012737,Lincoln Avenue,15206,1017, , , 
40.4644687,-79.900846,Lincoln Avenue,15206,1111, , , 
40.4633282,-79.9034792,Lincoln Avenue,15206,816, , , 
40.4633541,-79.9033833,Lincoln Avenue,15206,820, , , 
40.4636096,-79.9039527,Lincoln Avenue,15206,825, , , 
40.4635122,-79.9029178,Lincoln Avenue,15206,900, , , 
40.463726,-79.9032169,Lincoln Avenue,15206,905, , , 
40.4638197,-79.9031987,Lincoln Avenue,15206,907, , , 
40.4639001,-79.9031574,Lincoln Avenue,15206,911, , , 
40.463671,-79.9022049,Lincoln Avenue,15206,914, , , 
40.4636868,-79.9021364,Lincoln Avenue,15206,922, , , 
40.4641069,-79.9017098,Lincoln Avenue,15206,1009, , , 
40.4634053,-79.9033213,Lincoln Avenue,15206,826, , , 
40.4635498,-79.9026052,Lincoln Avenue,15206,910, , , 
40.4604498,-79.9102013,Lincoln Avenue,15206,436, , , 
40.4675873,-79.89748,Lincoln Avenue,15206,1341, , , 
40.4676583,-79.8973665,Lincoln Avenue,15206,1347, , , 
40.4677215,-79.8973196,Lincoln Avenue,15206,1349, , , 
40.4677664,-79.8973602,Lincoln Avenue,15206,1351, , , 
40.4685332,-79.8967724,Lincoln Avenue,15206,1415, , , 
40.4687583,-79.8965236,Lincoln Avenue,15206,1433, , , 
40.4607782,-79.9098663,Lincoln Avenue,15206,444, , , 
40.4610217,-79.9092368,Lincoln Avenue,15206,510, , , 
40.4611546,-79.9102206,Lincoln Avenue,15206,437, , , 
40.4612964,-79.9096539,Lincoln Avenue,15206,505, , , 
40.4613235,-79.909557,Lincoln Avenue,15206,507, , , 
40.461345,-79.9090319,Lincoln Avenue,15206,506, , , 
40.46135,-79.9094622,Lincoln Avenue,15206,509, , , 
40.4614277,-79.9091815,Lincoln Avenue,15206,513, , , 
40.4614535,-79.9090956,Lincoln Avenue,15206,517, , , 
40.4614712,-79.9089992,Lincoln Avenue,15206,521, , , 
40.4614723,-79.9090017,Lincoln Avenue,15206,521, , , 
40.4614974,-79.9089054,Lincoln Avenue,15206,523, , , 
40.4616473,-79.9070524,Lincoln Avenue,15206,620, , , 
40.4617128,-79.9069402,Lincoln Avenue,15206,622, , , 
40.4617514,-79.9068318,Lincoln Avenue,15206,624, , , 
40.4617895,-79.9066863,Lincoln Avenue,15206,626, , , 
40.4618,-79.9078284,Lincoln Avenue,15206,603, , , 
40.4618279,-79.9077488,Lincoln Avenue,15206,605, , , 
40.4618418,-79.9076942,Lincoln Avenue,15206,607, , , 
40.4618644,-79.9076184,Lincoln Avenue,15206,609, , , 
40.4619326,-79.9065223,Lincoln Avenue,15206,630, , , 
40.4634396,-79.9043804,Lincoln Avenue,15206,811, , , 
40.4606332,-79.913134,Lincoln Avenue,15206,333, , , 
40.4606959,-79.9125245,Lincoln Avenue,15206,331, , , 
40.4607304,-79.9123776,Lincoln Avenue,15206,5, , , 
40.4607296,-79.9123761,Lincoln Avenue,15206,329, , , 
40.4610995,-79.9121211,Lincoln Avenue,15206,409, , , 
40.4608404,-79.9118246,Lincoln Avenue,15206,405, , , 
40.4608654,-79.9116899,Lincoln Avenue,15206,403, , , 
40.460053,-79.9116114,Lincoln Avenue,15206,328, , , 
40.4604522,-79.9114376,Lincoln Avenue,15206,404, , , 
40.4603488,-79.9109332,Lincoln Avenue,15206,418, , , 
40.4610443,-79.9106844,Lincoln Avenue,15206,427, , , 
40.4606057,-79.9105502,Lincoln Avenue,15206,424, , , 
40.4602761,-79.9104901,Lincoln Avenue,15206,426, , , 
40.461967,-79.9073556,Lincoln Avenue,15206,617, , , 
40.4620955,-79.9068295,Lincoln Avenue,15206,633, , , 
40.4622299,-79.9066577,Lincoln Avenue,15206,639, , , 
