lat,lon,street,postcode,housenumber,city,state,country
40.462984,-80.0105682,Lithgow Street,15214,1938,Pittsburgh,PA,US
40.4623157,-80.010402,Lithgow Street,15214,1917,Pittsburgh,PA,US
40.4620141,-80.0102419,Lithgow Street,15214,1907,Pittsburgh,PA,US
40.4619786,-80.0102318,Lithgow Street,15214,1905,Pittsburgh,PA,US
40.4619061,-80.0102142,Lithgow Street,15214,1903,Pittsburgh,PA,US
40.4624133,-80.0099904,Lithgow Street,15214,1918,Pittsburgh,PA,US
40.4623628,-80.0099768,Lithgow Street,15214,1916,Pittsburgh,PA,US
40.4620334,-80.0098687,Lithgow Street,15214,1904,Pittsburgh,PA,US
40.4619816,-80.0098497,Lithgow Street,15214,1902,Pittsburgh,PA,US
40.4619587,-80.0098443,Lithgow Street,15214,1900,Pittsburgh,PA,US
