lat,lon,street,postcode,housenumber,city,state,country
40.4613975,-79.9099073,Llewellyn Place,15206,6538, , , 
40.4614713,-79.9096103,Llewellyn Place,15206,6540, , , 
40.4616283,-79.9097897,Llewellyn Place,15206,6530, , , 
40.4616633,-79.9098278,Llewellyn Place,15206,6526, , , 
40.4617008,-79.9095091,Llewellyn Place,15206,6533, , , 
40.4617847,-79.9096031,Llewellyn Place,15206,6529, , , 
40.4618152,-79.909974,Llewellyn Place,15206,6520, , , 
40.4618245,-79.9096504,Llewellyn Place,15206,6527, , , 
40.4618742,-79.9096926,Llewellyn Place,15206,6525, , , 
40.4619142,-79.9097424,Llewellyn Place,15206,6523, , , 
40.4619537,-79.9097882,Llewellyn Place,15206,6521, , , 
