lat,lon,street,postcode,housenumber,city,state,country
40.4613894,-79.9119828,Lowell Street,15206,312, , , 
40.4614439,-79.9118109,Lowell Street,15206,316, , , 
40.4618078,-79.9113977,Lowell Street,15206,404, , , 
40.4618894,-79.9112668,Lowell Street,15206,408, , , 
40.4626448,-79.9107893,Lowell Street,15206,507, , , 
40.4627534,-79.9105609,Lowell Street,15206,513, , , 
40.4624096,-79.9104161,Lowell Street,15206,510, , , 
40.4630368,-79.9101641,Lowell Street,15206,521, , , 
40.4630855,-79.910097,Lowell Street,15206,523, , , 
40.4631298,-79.9100358,Lowell Street,15206,525, , , 
40.4627892,-79.909646,Lowell Street,15206,524, , , 
40.4627768,-79.9095719,Lowell Street,15206,526, , , 
40.4630359,-79.9095051,Lowell Street,15206,530, , , 
40.4630536,-79.9094726,Lowell Street,15206,532, , , 
40.4632116,-79.9098738,Lowell Street,15206,529, , , 
40.4634031,-79.9096031,Lowell Street,15206,547, , , 
40.4636465,-79.9091303,Lowell Street,15206,603, , , 
40.4637242,-79.9090422,Lowell Street,15206,607, , , 
40.4626928,-79.9118862,Lowell Street,15206,407, , , 
