lat,lon,street,postcode,housenumber,city,state,country
40.463236,-79.9025768,Lyric Street,15206,6819, , , 
40.4632751,-79.9026273,Lyric Street,15206,6815, , , 
40.4633032,-79.9025631,Lyric Street,15206,6817, , , 
40.4633077,-79.9027204,Lyric Street,15206,6813, , , 
40.4633331,-79.9026414,Lyric Street,15206,5, , , 
40.463821,-79.9034655,Lyric Street,15206,6705, , , 
40.463857,-79.9035227,Lyric Street,15206,6703, , , 
40.4638864,-79.9035833,Lyric Street,15206,6701, , , 
40.4631788,-79.9031246,Lyric Street,15206,6810, , , 
40.4631323,-79.9030592,Lyric Street,15206,6812, , , 
40.4631619,-79.9023386,Lyric Street,15206,6827, , , 
40.4628107,-79.9024874,Lyric Street,15206,6830, , , 
40.463204,-79.9024047,Lyric Street,15206,6825, , , 
40.4644154,-79.9050785,Lyric Street,15206,6602, , , 
40.4646646,-79.9049362,Lyric Street,15206,6603, , , 
40.4646533,-79.9048355,Lyric Street,15206,6605, , , 
40.4645652,-79.9047015,Lyric Street,15206,6609, , , 
40.4645385,-79.9046737,Lyric Street,15206,6611, , , 
40.4646207,-79.904388,Lyric Street,15206,6613, , , 
40.4644626,-79.9043847,Lyric Street,15206,6617, , , 
40.4640351,-79.9047223,Lyric Street,15206,6619, , , 
40.4640599,-79.9044987,Lyric Street,15206,6624, , , 
40.4639362,-79.9042715,Lyric Street,15206,6630, , , 
40.4641767,-79.9040229,Lyric Street,15206,6633, , , 
