lat,lon,street,postcode,housenumber,city,state,country
40.4761741,-80.0151236,Marshall Road,15214,3006, , , 
40.4761428,-80.0150833,Marshall Road,15214,3004, , , 
40.476098,-80.0149901,Marshall Road,15214,3002, , , 
40.4760594,-80.0149475,Marshall Road,15214,3000, , , 
40.475997,-80.0148721,Marshall Road,15214,2938, , , 
40.4759702,-80.0148356,Marshall Road,15214,2936, , , 
40.4759083,-80.0147572,Marshall Road,15214,2934, , , 
40.4758718,-80.0147262,Marshall Road,15214,2932, , , 
40.4757773,-80.0146468,Marshall Road,15214,2928, , , 
40.4757423,-80.0146251,Marshall Road,15214,2926, , , 
40.4756259,-80.0145683,Marshall Road,15214,2924, , , 
40.4755848,-80.0145516,Marshall Road,15214,2922, , , 
