lat,lon,street,postcode,housenumber,city,state,country
40.4645811,-79.9165926,Mayflower Street,15206,48, , , 
40.4649888,-79.9165144,Mayflower Street,15206,41, , , 
40.465091,-79.9163535,Mayflower Street,15206,37, , , 
40.4638569,-79.915805,Mayflower Street,15206,116, , , 
40.4638216,-79.9157644,Mayflower Street,15206,118, , , 
40.4636808,-79.9156027,Mayflower Street,15206,126, , , 
40.463527,-79.9154281,Mayflower Street,15206,130, , , 
40.4639801,-79.9151612,Mayflower Street,15206,123, , , 
40.4639389,-79.915134,Mayflower Street,15206,125, , , 
40.4636839,-79.91501,Mayflower Street,15206,133, , , 
40.463411,-79.9152676,Mayflower Street,15206,134, , , 
40.4636452,-79.9149822,Mayflower Street,15206,135, , , 
40.4636127,-79.9149427,Mayflower Street,15206,137, , , 
40.4633366,-79.9151829,Mayflower Street,15206,138, , , 
40.463225,-79.9145646,Mayflower Street,15206,149, , , 
40.4629727,-79.914765,Mayflower Street,15206,154, , , 
40.4629066,-79.914732,Mayflower Street,15206,156, , , 
40.462863,-79.9146274,Mayflower Street,15206,158, , , 
40.4627685,-79.9145992,Mayflower Street,15206,162, , , 
40.4652462,-79.9175881,Mayflower Street,15206,21, , , 
40.4653371,-79.9174514,Mayflower Street,15206,22, , , 
40.4652782,-79.9174083,Mayflower Street,15206,26, , , 
40.4656311,-79.9172296,Mayflower Street,15206,13, , , 
40.4655776,-79.9171725,Mayflower Street,15206,15, , , 
40.4650931,-79.9171546,Mayflower Street,15206,28, , , 
40.4650384,-79.9171072,Mayflower Street,15206,30, , , 
40.4655002,-79.9170573,Mayflower Street,15206,19, , , 
40.4649915,-79.9170503,Mayflower Street,15206,34, , , 
40.4653585,-79.9169116,Mayflower Street,15206,23, , , 
40.4652869,-79.9168446,Mayflower Street,15206,27, , , 
40.4652357,-79.9167963,Mayflower Street,15206,33, , , 
40.465189,-79.9167424,Mayflower Street,15206,31, , , 
40.4619319,-79.9135497,Mayflower Street,15206,208, , , 
40.4618737,-79.9135085,Mayflower Street,15206,216, , , 
40.4618207,-79.9134483,Mayflower Street,15206,210, , , 
40.4616743,-79.913308,Mayflower Street,15206,224, , , 
40.4616238,-79.9132519,Mayflower Street,15206,226, , , 
40.4615714,-79.9131906,Mayflower Street,15206,232, , , 
40.4614917,-79.9131026,Mayflower Street,15206,234, , , 
40.4613764,-79.9130425,Mayflower Street,15206,238, , , 
40.4618655,-79.9129964,Mayflower Street,15206,225, , , 
40.4617904,-79.912857,Mayflower Street,15206,229, , , 
40.4617336,-79.912793,Mayflower Street,15206,233, , , 
40.4615991,-79.912674,Mayflower Street,15206,241, , , 
40.4611356,-79.9121733,Mayflower Street,15206,301, , , 
40.4610495,-79.9120432,Mayflower Street,15206,311, , , 
40.4609487,-79.9119334,Mayflower Street,15206,313, , , 
40.4608997,-79.9118785,Mayflower Street,15206,315, , , 
40.4627361,-79.9145122,Mayflower Street,15206,164, , , 
40.4631338,-79.9144147,Mayflower Street,15206,157, , , 
40.4630796,-79.914375,Mayflower Street,15206,159, , , 
40.4629968,-79.9143091,Mayflower Street,15206,163, , , 
40.4629324,-79.9142198,Mayflower Street,15206,165, , , 
40.4628999,-79.9139279,Mayflower Street,15206,169, , , 
40.4628575,-79.9138798,Mayflower Street,15206,171, , , 
40.462609,-79.9138506,Mayflower Street,15206,177, , , 
40.4626147,-79.9136579,Mayflower Street,15206,175, , , 
40.4621391,-79.9133102,Mayflower Street,15206,209, , , 
