lat,lon,street,postcode,housenumber,city,state,country
40.465775,-79.9152813,Meadow Street,15206,12, , , 
40.4607667,-79.909267,Meadow Street,15206,6613, , , 
40.4607982,-79.9093024,Meadow Street,15206,6611, , , 
40.4609563,-79.9094216,Meadow Street,15206,6609, , , 
40.4612596,-79.9098001,Meadow Street,15206,6537, , , 
40.461495,-79.9099889,Meadow Street,15206,6531, , , 
40.4614955,-79.909991,Meadow Street,15206,6533, , , 
40.4616368,-79.9101279,Meadow Street,15206,6527, , , 
40.4619479,-79.9112129,Meadow Street,15206,6500, , , 
40.4613959,-79.9105303,Meadow Street,15206,6524, , , 
40.4613266,-79.9103732,Meadow Street,15206,6528, , , 
40.4628989,-79.9121372,Meadow Street,15206,212, , , 
40.462765,-79.911955,Meadow Street,15206,218, , , 
40.463167,-79.9118798,Meadow Street,15206,6411, , , 
40.4630973,-79.9118053,Meadow Street,15206,6415, , , 
40.4625769,-79.9117491,Meadow Street,15206,6428, , , 
40.4621935,-79.9113432,Meadow Street,15206,246, , , 
40.4626972,-79.9113212,Meadow Street,15206,223, , , 
40.4626523,-79.9112694,Meadow Street,15206,225, , , 
40.4628941,-79.9111948,Meadow Street,15206,219, , , 
40.462,-79.9110376,Meadow Street,15206,6502, , , 
40.4619607,-79.9109979,Meadow Street,15206,6506, , , 
40.4650551,-79.9140028,Meadow Street,15206,6311, , , 
40.4638039,-79.9131916,Meadow Street,15206,156, , , 
40.463889,-79.913268,Meadow Street,15206,154, , , 
40.4639539,-79.9127481,Meadow Street,15206,161, , , 
40.4639883,-79.9133725,Meadow Street,15206,150, , , 
40.4640596,-79.9134234,Meadow Street,15206,148, , , 
40.4641825,-79.9138389,Meadow Street,15206,138, , , 
40.4642454,-79.9136626,Meadow Street,15206,140, , , 
40.4643395,-79.9131505,Meadow Street,15206,147, , , 
40.4644102,-79.9138344,Meadow Street,15206,134, , , 
40.4644548,-79.9133126,Meadow Street,15206,155, , , 
40.4644737,-79.9138634,Meadow Street,15206,132, , , 
40.4645698,-79.9139794,Meadow Street,15206,126, , , 
40.4648438,-79.9136876,Meadow Street,15206,123, , , 
40.4649496,-79.9137104,Meadow Street,15206,119, , , 
40.4638412,-79.9124597,Meadow Street,15206,169, , , 
40.4637027,-79.9125434,Meadow Street,15206,171, , , 
40.4636365,-79.9124543,Meadow Street,15206,173, , , 
40.4633437,-79.9126189,Meadow Street,15206,178, , , 
40.4648158,-79.9142576,Meadow Street,15206,6314, , , 
40.4646742,-79.9142113,Meadow Street,15206,6316, , , 
40.4647204,-79.9142517,Meadow Street,15206,6316, , , 
40.4646192,-79.9141409,Meadow Street,15206,6320, , , 
40.4645856,-79.9133852,Meadow Street,15206,6337, , , 
40.4646295,-79.9134618,Meadow Street,15206,6339, , , 
40.4638422,-79.9126273,Meadow Street,15206,6371, , , 
