lat,lon,street,postcode,housenumber,city,state,country
40.4728693,-79.9240765,Mellon Street,15206,917, , , 
40.4683208,-79.9263539,Mellon Street,15206,532, , , 
40.4683555,-79.9263342,Mellon Street,15206,534, , , 
40.4686934,-79.9266535,Mellon Street,15206,601, , , 
40.4684668,-79.926783,Mellon Street,15206,535, , , 
40.4685148,-79.9267575,Mellon Street,15206,537, , , 
40.468578,-79.9267186,Mellon Street,15206,539, , , 
40.4688433,-79.9265604,Mellon Street,15206,609, , , 
40.4689086,-79.9265148,Mellon Street,15206,605, , , 
40.4782802,-79.9207904,Mellon Street,15206,1409, , , 
40.4783603,-79.9207354,Mellon Street,15206,1413, , , 
40.4784009,-79.9207195,Mellon Street,15206,1415, , , 
40.4783823,-79.920264,Mellon Street,15206,1418, , , 
40.4784502,-79.9202299,Mellon Street,15206,1420, , , 
40.4784892,-79.9202153,Mellon Street,15206,1422, , , 
40.4785208,-79.9201861,Mellon Street,15206,1424, , , 
40.4787515,-79.9200221,Mellon Street,15206,1432, , , 
40.4787927,-79.9199788,Mellon Street,15206,1434, , , 
40.470472,-79.9255625,Mellon Street,15206,763, , , 
40.4720028,-79.9240292,Mellon Street,15206,830, , , 
40.4721999,-79.9244414,Mellon Street,15206,839, , , 
40.4729111,-79.9240901,Mellon Street,15206,919, , , 
40.4729636,-79.9235471,Mellon Street,15206,926, , , 
40.473013,-79.9235041,Mellon Street,15206,928, , , 
40.4730589,-79.9234117,Mellon Street,15206,930, , , 
40.4731432,-79.9233526,Mellon Street,15206,932, , , 
40.47326,-79.9233319,Mellon Street,15206,936, , , 
40.4733341,-79.9238024,Mellon Street,15206,933, , , 
40.4755665,-79.9224559,Mellon Street,15206,1125, , , 
40.4755676,-79.9224581,Mellon Street,15206,1127, , , 
40.468622,-79.926695,Mellon Street,15206,541, , , 
40.4687324,-79.9266271,Mellon Street,15206,603, , , 
40.4687945,-79.9265855,Mellon Street,15206,605, , , 
40.4689544,-79.9264851,Mellon Street,15206,611, , , 
40.4697384,-79.9259519,Mellon Street,15206,713, , , 
40.4698334,-79.9258986,Mellon Street,15206,717, , , 
