lat,lon,street,postcode,housenumber,city,state,country
40.4625351,-80.0182127,Melrose Avenue,15214,827,Pittsburgh,PA,US
40.4627574,-80.0178941,Melrose Avenue,15214,811,Pittsburgh,PA,US
40.4633443,-80.0174961,Melrose Avenue,15214,39,Pittsburgh,PA,US
40.4630793,-80.0173315,Melrose Avenue,15214,729,Pittsburgh,PA,US
40.4631721,-80.0172125,Melrose Avenue,15214,713,Pittsburgh,PA,US
40.4631906,-80.0171825,Melrose Avenue,15214,711,Pittsburgh,PA,US
40.4629409,-80.0171367,Melrose Avenue,15214,38,Pittsburgh,PA,US
40.4638013,-80.0168104,Melrose Avenue,15214,59,Pittsburgh,PA,US
40.4638323,-80.0167557,Melrose Avenue,15214,61,Pittsburgh,PA,US
40.4638626,-80.0167064,Melrose Avenue,15214,63,Pittsburgh,PA,US
40.4639018,-80.0166423,Melrose Avenue,15214,65,Pittsburgh,PA,US
40.4635723,-80.0163738,Melrose Avenue,15214,607,Pittsburgh,PA,US
40.4636009,-80.0163133,Melrose Avenue,15214,66,Pittsburgh,PA,US
