lat,lon,street,postcode,housenumber,city,state,country
40.4646284,-79.8916384,Mingo Street,15206,7230, , , 
40.464691,-79.891813,Mingo Street,15206,7226, , , 
40.4647342,-79.8920631,Mingo Street,15206,7220, , , 
40.4647789,-79.8922436,Mingo Street,15206,7216, , , 
40.4648202,-79.8924573,Mingo Street,15206,7212, , , 
40.4648786,-79.8926695,Mingo Street,15206,7208, , , 
40.4652372,-79.8923451,Mingo Street,15206,7205, , , 
40.4644629,-79.8906237,Mingo Street,15206,7262, , , 
40.4644478,-79.8906387,Mingo Street,15206,7260, , , 
40.4655666,-79.8954438,Mingo Street,15206,322, , , 
