lat,lon,street,postcode,housenumber,city,state,country
40.4682884,-79.8989954,Montezuma Street,15206,1342, , , 
40.4683208,-79.8988933,Montezuma Street,15206,1344, , , 
40.4684237,-79.8985881,Montezuma Street,15206,1350, , , 
40.4684491,-79.8984778,Montezuma Street,15206,1352, , , 
40.4684764,-79.8982342,Montezuma Street,15206,1356, , , 
40.4685006,-79.8981455,Montezuma Street,15206,1358, , , 
40.4685752,-79.8979576,Montezuma Street,15206,1362, , , 
40.4686056,-79.89784,Montezuma Street,15206,1364, , , 
40.4686895,-79.8988824,Montezuma Street,15206,1347, , , 
40.4687136,-79.8972473,Montezuma Street,15206,1374, , , 
40.4687394,-79.8971295,Montezuma Street,15206,1376, , , 
40.4687457,-79.8987986,Montezuma Street,15206,1349, , , 
40.468798,-79.896943,Montezuma Street,15206,1380, , , 
40.4688258,-79.8983446,Montezuma Street,15206,1357, , , 
40.4688292,-79.8984551,Montezuma Street,15206,1355, , , 
40.4688302,-79.8968685,Montezuma Street,15206,1382, , , 
40.4688545,-79.8982207,Montezuma Street,15206,1359, , , 
40.4688664,-79.896779,Montezuma Street,15206,1384, , , 
40.4689158,-79.8979627,Montezuma Street,15206,1363, , , 
40.4689392,-79.8978546,Montezuma Street,15206,1367, , , 
40.4689904,-79.8976426,Montezuma Street,15206,1371, , , 
40.4690197,-79.8975156,Montezuma Street,15206,1373, , , 
40.4690451,-79.8974028,Montezuma Street,15206,1375, , , 
40.4690731,-79.8973001,Montezuma Street,15206,1377, , , 
40.4683707,-79.8986738,Montezuma Street,15206,1348, , , 
40.4687477,-79.8986754,Montezuma Street,15206,1351, , , 
40.4686329,-79.8975823,Montezuma Street,15206,1368, , , 
40.4668087,-79.9027602,Montezuma Street,15206,1108, , , 
40.4668949,-79.9027019,Montezuma Street,15206,1112, , , 
40.467117,-79.9024807,Montezuma Street,15206,1122, , , 
40.46498,-79.9050286,Montezuma Street,15206,803, , , 
40.4676347,-79.901771,Montezuma Street,15206,1220, , , 
40.4676517,-79.9019326,Montezuma Street,15206,1218, , , 
40.4677789,-79.901708,Montezuma Street,15206,1224, , , 
40.4678634,-79.9022992,Montezuma Street,15206,1213, , , 
40.4679942,-79.9020751,Montezuma Street,15206,1219, , , 
40.4681994,-79.9018318,Montezuma Street,15206,1233, , , 
40.468216,-79.901297,Montezuma Street,15206,1248, , , 
40.4672339,-79.902205,Montezuma Street,15206,1200, , , 
40.468197,-79.901387,Montezuma Street,15206,1246, , , 
