lat,lon,street,postcode,housenumber,city,state,country
40.4837553,-79.9296099,Morningside Avenue,15206,1637, , , 
40.4837981,-79.9295958,Morningside Avenue,15206,1639, , , 
40.4823628,-79.9295832,Morningside Avenue,15206,1442, , , 
40.4824139,-79.9295672,Morningside Avenue,15206,1444, , , 
40.4848887,-79.9287209,Morningside Avenue,15206,1682, , , 
40.4855663,-79.928609,Morningside Avenue,15206,1703, , , 
40.4868224,-79.9270992,Morningside Avenue,15206,1811, , , 
40.4855756,-79.928012,Morningside Avenue,15206,1710, , , 
40.4855571,-79.9280344,Morningside Avenue,15206,1712, , , 
40.4858418,-79.9283151,Morningside Avenue,15206,1715, , , 
40.4859649,-79.9281213,Morningside Avenue,15206,1719, , , 
40.4858672,-79.9275755,Morningside Avenue,15206,1728, , , 
40.4860366,-79.9274173,Morningside Avenue,15206,1736, , , 
40.486161,-79.9272279,Morningside Avenue,15206,1742, , , 
40.4863691,-79.9276517,Morningside Avenue,15206,1743, , , 
40.4865335,-79.9267371,Morningside Avenue,15206,1806, , , 
40.4867324,-79.9271855,Morningside Avenue,15206,1807, , , 
40.487338,-79.9265168,Morningside Avenue,15206,1835, , , 
40.4870603,-79.926205,Morningside Avenue,15206,1832, , , 
40.4871941,-79.9260802,Morningside Avenue,15206,1838, , , 
40.4872466,-79.9260337,Morningside Avenue,15206,1840, , , 
40.4872933,-79.9259917,Morningside Avenue,15206,1842, , , 
40.4880647,-79.9253707,Morningside Avenue,15206,1874, , , 
40.487987,-79.9254002,Morningside Avenue,15206,1870, , , 
40.4881099,-79.9253038,Morningside Avenue,15206,1876, , , 
40.4766546,-79.9314295,Morningside Avenue,15206,1008, , , 
40.4808835,-79.9300438,Morningside Avenue,15206,1254, , , 
40.481887,-79.929739,Morningside Avenue,15206,1422, , , 
40.4848639,-79.92871,Morningside Avenue,15206,1680, , , 
40.4854953,-79.9285866,Morningside Avenue,15206,1701, , , 
40.4860133,-79.9281286,Morningside Avenue,15206,1723, , , 
40.4869447,-79.9268863,Morningside Avenue,15206,1819, , , 
40.4871714,-79.9266308,Morningside Avenue,15206,1829, , , 
40.4872307,-79.9265874,Morningside Avenue,15206,5, , , 
40.4865085,-79.9268111,Morningside Avenue,15206,1800, , , 
