lat,lon,street,postcode,housenumber,city,state,country
40.4749484,-80.0001394,Mount Pleasant Road,15214,852, , , 
40.4749499,-80.0000647,Mount Pleasant Road,15214,850, , , 
40.4747071,-80.0000515,Mount Pleasant Road,15214,866, , , 
40.474951,-80.0000083,Mount Pleasant Road,15214,848, , , 
40.4752025,-79.9999951,Mount Pleasant Road,15214,830, , , 
40.4747103,-79.9999866,Mount Pleasant Road,15214,864, , , 
40.4754253,-79.9999748,Mount Pleasant Road,15214,816, , , 
40.4752036,-79.9999394,Mount Pleasant Road,15214,828, , , 
40.4754303,-79.9999038,Mount Pleasant Road,15214,814, , , 
40.4749599,-79.9998773,Mount Pleasant Road,15214,844, , , 
40.4752049,-79.9998729,Mount Pleasant Road,15214,826, , , 
40.474717,-79.9998566,Mount Pleasant Road,15214,860, , , 
40.4754354,-79.9998392,Mount Pleasant Road,15214,812, , , 
40.4749586,-79.9998269,Mount Pleasant Road,15214,842, , , 
40.4752072,-79.999755,Mount Pleasant Road,15214,822, , , 
40.474721,-79.9997338,Mount Pleasant Road,15214,856, , , 
40.4747241,-79.9996717,Mount Pleasant Road,15214,854, , , 
40.4756639,-79.9995675,Mount Pleasant Road,15214,804, , , 
40.4757047,-79.9995149,Mount Pleasant Road,15214,802, , , 
40.475744,-79.9994731,Mount Pleasant Road,15214,800, , , 
40.476025,-79.9994688,Mount Pleasant Road,15214,760, , , 
40.4744911,-79.9996934,Mount Pleasant Road,15214,872, , , 
40.4744918,-79.9997603,Mount Pleasant Road,15214,874, , , 
40.4744885,-79.9998274,Mount Pleasant Road,15214,876, , , 
40.4744843,-79.999892,Mount Pleasant Road,15214,878, , , 
40.4744823,-80.0000358,Mount Pleasant Road,15214,882, , , 
40.4820776,-79.9979612,Mount Pleasant Road,15214,3406, , , 
40.4767687,-79.9993775,Mount Pleasant Road,15214,602, , , 
40.4767929,-79.9994441,Mount Pleasant Road,15214,600, , , 
40.4772838,-80.0000958,Mount Pleasant Road,15214,544, , , 
40.4773305,-80.000138,Mount Pleasant Road,15214,542, , , 
40.4773765,-80.0001762,Mount Pleasant Road,15214,540, , , 
40.4774155,-80.0002171,Mount Pleasant Road,15214,538, , , 
40.476744,-79.9993076,Mount Pleasant Road,15214,604, , , 
40.4766977,-79.9991748,Mount Pleasant Road,15214,608, , , 
40.4766085,-79.9989291,Mount Pleasant Road,15214,610, , , 
40.4766711,-79.999102,Mount Pleasant Road,15214,610, , , 
40.4765573,-79.9987807,Mount Pleasant Road,15214,614, , , 
40.4765304,-79.9987118,Mount Pleasant Road,15214,616, , , 
40.4765093,-79.9986399,Mount Pleasant Road,15214,618, , , 
40.4764812,-79.998557,Mount Pleasant Road,15214,624, , , 
40.4831035,-80.0030102,Mount Pleasant Road,15214,279, , , 
40.4821856,-80.0025145,Mount Pleasant Road,15214,307, , , 
40.4821946,-80.0024353,Mount Pleasant Road,15214,309, , , 
40.4814833,-80.0027669,Mount Pleasant Road,15214,324, , , 
40.4813833,-80.0028542,Mount Pleasant Road,15214,328, , , 
40.481333,-80.0028985,Mount Pleasant Road,15214,330, , , 
40.4812422,-80.0029782,Mount Pleasant Road,15214,334, , , 
40.4810523,-80.0027604,Mount Pleasant Road,15214,346, , , 
40.481019,-80.0024522,Mount Pleasant Road,15214,360, , , 
40.48091,-80.0024079,Mount Pleasant Road,15214,364, , , 
40.4808535,-80.0023927,Mount Pleasant Road,15214,366, , , 
40.48176,-80.0023752,Mount Pleasant Road,15214,323, , , 
40.4807956,-80.0023609,Mount Pleasant Road,15214,368, , , 
40.4807366,-80.0023327,Mount Pleasant Road,15214,370, , , 
40.4817775,-80.0023193,Mount Pleasant Road,15214,325, , , 
40.4805859,-80.0022856,Mount Pleasant Road,15214,372, , , 
40.481544,-80.0022557,Mount Pleasant Road,15214,341, , , 
40.4802859,-80.0022116,Mount Pleasant Road,15214,382, , , 
40.4818251,-80.0022054,Mount Pleasant Road,15214,329, , , 
40.4803671,-80.0021985,Mount Pleasant Road,15214,380, , , 
40.481848,-80.0021533,Mount Pleasant Road,15214,331, , , 
40.4815906,-80.0021473,Mount Pleasant Road,15214,345, , , 
40.4813306,-80.0021012,Mount Pleasant Road,15214,357, , , 
40.481354,-80.0020459,Mount Pleasant Road,15214,359, , , 
40.4818976,-80.002032,Mount Pleasant Road,15214,335, , , 
40.4816601,-80.0019763,Mount Pleasant Road,15214,351, , , 
40.4819148,-80.0019711,Mount Pleasant Road,15214,337, , , 
40.4814058,-80.0019059,Mount Pleasant Road,15214,363, , , 
40.4812803,-80.0003831,Mount Pleasant Road,15214,3408, , , 
40.4776703,-79.9997926,Mount Pleasant Road,15214,533, , , 
40.4778585,-80.0005213,Mount Pleasant Road,15214,522, , , 
40.4779031,-80.0005573,Mount Pleasant Road,15214,520, , , 
40.4779151,-79.9999856,Mount Pleasant Road,15214,529, , , 
40.4779316,-79.9998276,Mount Pleasant Road,15214,525, , , 
40.4779498,-80.0005866,Mount Pleasant Road,15214,518, , , 
40.4779926,-80.0006157,Mount Pleasant Road,15214,516, , , 
40.4780793,-80.0006772,Mount Pleasant Road,15214,512, , , 
40.4787138,-80.0011874,Mount Pleasant Road,15214,446, , , 
40.4787656,-80.0012215,Mount Pleasant Road,15214,444, , , 
40.4788134,-80.0012591,Mount Pleasant Road,15214,442, , , 
40.4788576,-80.0012875,Mount Pleasant Road,15214,440, , , 
40.4789465,-80.0013365,Mount Pleasant Road,15214,436, , , 
40.4790251,-80.0013884,Mount Pleasant Road,15214,432, , , 
40.4790613,-80.0008269,Mount Pleasant Road,15214,437, , , 
40.4792235,-80.0015346,Mount Pleasant Road,15214,424, , , 
40.4792669,-80.0015626,Mount Pleasant Road,15214,422, , , 
40.4793672,-80.0016271,Mount Pleasant Road,15214,418, , , 
40.4794622,-80.0016745,Mount Pleasant Road,15214,414, , , 
40.4796618,-80.0011957,Mount Pleasant Road,15214,415, , , 
40.4796927,-80.0018224,Mount Pleasant Road,15214,406, , , 
40.4797656,-80.0019256,Mount Pleasant Road,15214,402, , , 
40.4798292,-80.0019014,Mount Pleasant Road,15214,400, , , 
40.4759321,-79.9993729,Mount Pleasant Road,15214,756, , , 
40.4758921,-79.9993403,Mount Pleasant Road,15214,754, , , 
40.4758531,-79.9992987,Mount Pleasant Road,15214,752, , , 
40.4761733,-79.9992407,Mount Pleasant Road,15214,748, , , 
40.4761337,-79.9992027,Mount Pleasant Road,15214,746, , , 
40.4754042,-79.9991809,Mount Pleasant Road,15214,817, , , 
40.475347,-79.999174,Mount Pleasant Road,15214,819, , , 
40.4760902,-79.999152,Mount Pleasant Road,15214,744, , , 
40.4745762,-79.9990914,Mount Pleasant Road,15214,869, , , 
40.4760114,-79.9990656,Mount Pleasant Road,15214,740, , , 
40.4748282,-79.9990495,Mount Pleasant Road,15214,855, , , 
40.4745793,-79.9990279,Mount Pleasant Road,15214,871, , , 
40.4750459,-79.9990111,Mount Pleasant Road,15214,841, , , 
40.4759347,-79.9989857,Mount Pleasant Road,15214,736, , , 
40.4748315,-79.9989831,Mount Pleasant Road,15214,857, , , 
40.4750513,-79.9989473,Mount Pleasant Road,15214,843, , , 
40.4762136,-79.9988649,Mount Pleasant Road,15214,730, , , 
40.4748443,-79.9988602,Mount Pleasant Road,15214,861, , , 
40.4754237,-79.9988572,Mount Pleasant Road,15214,751, , , 
40.4748434,-79.9987929,Mount Pleasant Road,15214,863, , , 
40.4753375,-79.9987734,Mount Pleasant Road,15214,755, , , 
40.4761206,-79.9987719,Mount Pleasant Road,15214,726, , , 
40.4750568,-79.9987605,Mount Pleasant Road,15214,849, , , 
40.4760815,-79.9987364,Mount Pleasant Road,15214,724, , , 
40.4752939,-79.9987288,Mount Pleasant Road,15214,757, , , 
40.4760467,-79.9987047,Mount Pleasant Road,15214,722, , , 
40.4750602,-79.9987013,Mount Pleasant Road,15214,851, , , 
40.4748504,-79.9986572,Mount Pleasant Road,15214,867, , , 
40.4762825,-79.9985407,Mount Pleasant Road,15214,714, , , 
40.47624,-79.9985058,Mount Pleasant Road,15214,712, , , 
40.4754542,-79.9984897,Mount Pleasant Road,15214,737, , , 
40.4761983,-79.9984616,Mount Pleasant Road,15214,710, , , 
40.475415,-79.9984567,Mount Pleasant Road,15214,739, , , 
40.4761537,-79.9984105,Mount Pleasant Road,15214,708, , , 
40.4761076,-79.9983558,Mount Pleasant Road,15214,706, , , 
40.4753106,-79.9983483,Mount Pleasant Road,15214,745, , , 
40.4760637,-79.9983112,Mount Pleasant Road,15214,704, , , 
40.4752644,-79.9982975,Mount Pleasant Road,15214,747, , , 
40.475497,-79.9981251,Mount Pleasant Road,15214,719, , , 
40.475462,-79.9980861,Mount Pleasant Road,15214,721, , , 
40.4762311,-79.9980758,Mount Pleasant Road,15214,140, , , 
40.4754231,-79.9980417,Mount Pleasant Road,15214,723, , , 
40.4761988,-79.9980399,Mount Pleasant Road,15214,142, , , 
40.4753443,-79.9979711,Mount Pleasant Road,15214,727, , , 
40.4761167,-79.997957,Mount Pleasant Road,15214,146, , , 
40.4756069,-79.9978404,Mount Pleasant Road,15214,703, , , 
40.4754305,-79.9976612,Mount Pleasant Road,15214,711, , , 
40.474585,-79.9989616,Mount Pleasant Road,15214,873, , , 
40.474588,-79.9989049,Mount Pleasant Road,15214,875, , , 
40.474599,-79.9987657,Mount Pleasant Road,15214,879, , , 
40.4746063,-79.9987023,Mount Pleasant Road,15214,881, , , 
40.4746111,-79.9986385,Mount Pleasant Road,15214,883, , , 
