lat,lon,street,postcode,housenumber,city,state,country
40.4695163,-79.9037077,Navarro Street,15206,6430, , , 
40.4694247,-79.9036556,Navarro Street,15206,6434, , , 
40.469145,-79.9034877,Navarro Street,15206,6446, , , 
40.4690449,-79.9034083,Navarro Street,15206,6450, , , 
40.4692732,-79.9031334,Navarro Street,15206,6447, , , 
40.469185,-79.9030773,Navarro Street,15206,6451, , , 
40.4691493,-79.903064,Navarro Street,15206,6453, , , 
40.4691529,-79.903507,Navarro Street,15206,6444, , , 
40.4689796,-79.9029324,Navarro Street,15206,6579, , , 
40.4688133,-79.9032823,Navarro Street,15206,6580, , , 
40.4689405,-79.9029074,Navarro Street,15206,6581, , , 
40.4688697,-79.9028638,Navarro Street,15206,6585, , , 
40.468833,-79.902841,Navarro Street,15206,6587, , , 
40.4687923,-79.9028174,Navarro Street,15206,6589, , , 
