lat,lon,street,postcode,housenumber,city,state,country
40.4675148,-79.9349664,North Aiken Avenue,15206,333, , , 
40.4679169,-79.9342032,North Aiken Avenue,15206,408, , , 
40.4681552,-79.9341746,North Aiken Avenue,15206,418, , , 
40.4712231,-79.9320401,North Aiken Avenue,15206,626, , , 
40.4665647,-79.9350546,North Aiken Avenue,15206,234, , , 
40.4671287,-79.9347062,North Aiken Avenue,15206,304, , , 
40.4671464,-79.9352496,North Aiken Avenue,15206,321, , , 
40.4678309,-79.934263,North Aiken Avenue,15206,404, , , 
40.4679124,-79.9343267,North Aiken Avenue,15206,406, , , 
40.4680318,-79.9341562,North Aiken Avenue,15206,412, , , 
40.4680902,-79.9342189,North Aiken Avenue,15206,414, , , 
40.468092,-79.934092,North Aiken Avenue,15206,416, , , 
