lat,lon,street,postcode,housenumber,city
25.7885654,-80.1882441,North Bayshore Drive,33132,1410,Miami
25.7878311,-80.1873959,North Bayshore Drive,33132,1361,Miami
25.7887581,-80.1881978,North Bayshore Drive,33132,1420,Miami
25.7890587,-80.1870891,North Bayshore Drive,33132,1451,Miami
25.7899526,-80.1878651,North Bayshore Drive,33132,1500,Miami
25.7908405,-80.1858105,North Bayshore Drive,33132,1633,Miami
25.7913204,-80.1878404,North Bayshore Drive,33132,1510,Miami
25.7914252,-80.1854182,North Bayshore Drive,33132,1635,Miami
25.7914625,-80.1866764,North Bayshore Drive,33132,1717,Miami
25.791906,-80.1875089,North Bayshore Drive,33132,1720,Miami
25.7952103,-80.1882715,North Bayshore Drive,33137,2000,Miami
25.7968529,-80.1876394,North Bayshore Drive,33137,2020,Miami
25.7969682,-80.1874043,North Bayshore Drive,33137,2066,Miami
