lat,lon,street,postcode,housenumber,city,state,country
40.4688276,-79.9225049,North Beatty Street,15206,714, , , 
40.4688768,-79.9224583,North Beatty Street,15206,716, , , 
40.4689273,-79.9224326,North Beatty Street,15206,718, , , 
40.4689635,-79.922392,North Beatty Street,15206,720, , , 
40.4690464,-79.922934,North Beatty Street,15206,721, , , 
40.4690583,-79.9223437,North Beatty Street,15206,724, , , 
40.46909,-79.9229063,North Beatty Street,15206,723, , , 
40.4691047,-79.9223128,North Beatty Street,15206,726, , , 
40.4691972,-79.9222579,North Beatty Street,15206,730, , , 
40.4693163,-79.9227726,North Beatty Street,15206,733, , , 
40.4693283,-79.9221784,North Beatty Street,15206,736, , , 
40.4693813,-79.9221463,North Beatty Street,15206,738, , , 
40.4694173,-79.9227019,North Beatty Street,15206,737, , , 
40.4695084,-79.922649,North Beatty Street,15206,741, , , 
40.4695495,-79.9226245,North Beatty Street,15206,743, , , 
40.4697202,-79.9219975,North Beatty Street,15206,760, , , 
40.4698137,-79.9223594,North Beatty Street,15206,745, , , 
40.4667411,-79.9242122,North Beatty Street,15206,507, , , 
40.4667661,-79.9241976,North Beatty Street,15206,509, , , 
40.4668324,-79.9241641,North Beatty Street,15206,513, , , 
40.4668661,-79.9241346,North Beatty Street,15206,515, , , 
40.4669032,-79.9241189,North Beatty Street,15206,517, , , 
40.4671134,-79.9240419,North Beatty Street,15206,523, , , 
40.4671987,-79.9238872,North Beatty Street,15206,527, , , 
40.4672406,-79.9238634,North Beatty Street,15206,529, , , 
40.4672858,-79.923839,North Beatty Street,15206,531, , , 
40.4624989,-79.9263963,North Beatty Street,15206,110, , , 
40.4649342,-79.9252709,North Beatty Street,15206,325, , , 
40.4656983,-79.9248674,North Beatty Street,15206,413, , , 
40.4657597,-79.9248306,North Beatty Street,15206,415, , , 
40.4652944,-79.9246196,North Beatty Street,15206,404, , , 
40.4654192,-79.9245399,North Beatty Street,15206,410, , , 
40.465549,-79.9244679,North Beatty Street,15206,416, , , 
40.4656154,-79.9244261,North Beatty Street,15206,418, , , 
40.4657027,-79.9243704,North Beatty Street,15206,420, , , 
40.4658363,-79.9243028,North Beatty Street,15206,424, , , 
40.4658802,-79.9242754,North Beatty Street,15206,426, , , 
40.4659291,-79.9242446,North Beatty Street,15206,428, , , 
40.4660143,-79.9242405,North Beatty Street,15206,430, , , 
40.4623803,-79.9265119,North Beatty Street,15206,112, , , 
40.4623072,-79.926558,North Beatty Street,15206,114, , , 
40.4691412,-79.922875,North Beatty Street,15206,725, , , 
40.4692381,-79.9228241,North Beatty Street,15206,725, , , 
40.469283,-79.9227905,North Beatty Street,15206,731, , , 
40.4691789,-79.9228545,North Beatty Street,15206,727, , , 
40.4692844,-79.9222079,North Beatty Street,15206,734, , , 
40.4649433,-79.92536,North Beatty Street,15206,323, , , 
40.4654303,-79.9244906,North Beatty Street,15206,412, , , 
40.4660491,-79.9242176,North Beatty Street,15206,432, , , 
