lat,lon,street,postcode,housenumber,city,state,country
40.4699283,-80.0134648,North Charles Street,15214,2810,Pittsburgh,PA,US
40.4699189,-80.0135116,North Charles Street,15214,2808,Pittsburgh,PA,US
40.4699375,-80.0134058,North Charles Street,15214,2812,Pittsburgh,PA,US
40.4711328,-80.0098242,North Charles Street,15214,2937, , , 
40.4671346,-80.0183883,North Charles Street,15214,2513, , , 
40.4671866,-80.0182272,North Charles Street,15214,2517, , , 
40.4672062,-80.018166,North Charles Street,15214,2519, , , 
40.4672467,-80.0180627,North Charles Street,15214,2521, , , 
40.4672699,-80.0179973,North Charles Street,15214,2523, , , 
40.4672936,-80.0179216,North Charles Street,15214,2525, , , 
40.4671697,-80.0175776,North Charles Street,15214,2536,Pittsburgh,PA,US
40.4675454,-80.0172804,North Charles Street,15214,2549, , , 
40.4677254,-80.0159299,North Charles Street,15214,2586,Pittsburgh,PA,US
40.4682852,-80.0151753,North Charles Street,15214,2612,Pittsburgh,PA,US
40.4684744,-80.0150476,North Charles Street,15214,2620,Pittsburgh,PA,US
40.4686054,-80.0149348,North Charles Street,15214,2630,Pittsburgh,PA,US
40.4686362,-80.0149038,North Charles Street,15214,2632,Pittsburgh,PA,US
40.4687705,-80.0147886,North Charles Street,15214,2636,Pittsburgh,PA,US
40.4693556,-80.0147651,North Charles Street,15214,2701, , , 
40.4687999,-80.0147601,North Charles Street,15214,2638,Pittsburgh,PA,US
40.4688768,-80.014689,North Charles Street,15214,2640,Pittsburgh,PA,US
40.4694678,-80.014588,North Charles Street,15214,2703, , , 
40.468976,-80.0145758,North Charles Street,15214,2646,Pittsburgh,PA,US
40.4690051,-80.0145466,North Charles Street,15214,2648,Pittsburgh,PA,US
40.466031,-80.0199837,North Charles Street,15214,2434,Pittsburgh,PA,US
40.4660951,-80.0199611,North Charles Street,15214,2436,Pittsburgh,PA,US
40.4661466,-80.0204845,North Charles Street,15214,2431, , , 
40.4661918,-80.0197781,North Charles Street,15214,2442,Pittsburgh,PA,US
40.4663319,-80.0196473,North Charles Street,15214,2448,Pittsburgh,PA,US
40.4665133,-80.0193446,North Charles Street,15214,2460,Pittsburgh,PA,US
40.4666353,-80.0197326,North Charles Street,15214,2455, , , 
40.4668145,-80.0195035,North Charles Street,15214,2461, , , 
40.467007,-80.0187741,North Charles Street,15214,2501, , , 
40.4670656,-80.0185862,North Charles Street,15214,2505, , , 
40.4670797,-80.0185399,North Charles Street,15214,2507, , , 
40.4670962,-80.0184938,North Charles Street,15214,2509, , , 
40.4696455,-80.0139152,North Charles Street,15214,2720,Pittsburgh,PA,US
40.4625466,-80.0186571,North Charles Street,15214,2100,Pittsburgh,PA,US
40.4625623,-80.0186792,North Charles Street,15214,2102,Pittsburgh,PA,US
40.4627239,-80.0189442,North Charles Street,15214,2112,Pittsburgh,PA,US
40.462908,-80.0190643,North Charles Street,15214,2118,Pittsburgh,PA,US
40.4629436,-80.0198676,North Charles Street,15214,2139,Pittsburgh,PA,US
40.4629963,-80.0191806,North Charles Street,15214,2122,Pittsburgh,PA,US
40.4630314,-80.0193644,North Charles Street,15214,2126,Pittsburgh,PA,US
40.4633649,-80.0204067,North Charles Street,15214,2213,Pittsburgh,PA,US
40.4636965,-80.0201597,North Charles Street,15214,2214,Pittsburgh,PA,US
40.4638787,-80.0205886,North Charles Street,15214,2231, , , 
40.4639329,-80.020594,North Charles Street,15214,2233, , , 
40.463944,-80.0202694,North Charles Street,15214,2230,Pittsburgh,PA,US
40.4639951,-80.0206864,North Charles Street,15214,2237, , , 
40.4640383,-80.0203323,North Charles Street,15214,2234,Pittsburgh,PA,US
40.464353,-80.020427,North Charles Street,15214,2304,Pittsburgh,PA,US
40.4647789,-80.0203989,North Charles Street,15214,2316,Pittsburgh,PA,US
40.4650619,-80.0204613,North Charles Street,15214,2328,Pittsburgh,PA,US
40.4651058,-80.0204753,North Charles Street,15214,2330,Pittsburgh,PA,US
40.4654927,-80.0203374,North Charles Street,15214,2404,Pittsburgh,PA,US
40.4656064,-80.0207399,North Charles Street,15214,2413, , , 
40.4656665,-80.0207308,North Charles Street,15214,2415, , , 
40.4657593,-80.0207177,North Charles Street,15214,2417, , , 
40.4617295,-80.0180537,North Charles Street,15214,2013,Pittsburgh,PA,US
40.4624056,-80.018263,North Charles Street,15214,2036,Pittsburgh,PA,US
