lat,lon,street,postcode,housenumber,city
25.7824651,-80.1678626,North Coconut Lane,33139,317,Miami Beach
25.7825873,-80.1677345,North Coconut Lane,33139,315,Miami Beach
25.7826814,-80.1675454,North Coconut Lane,33139,311,Miami Beach
25.7827408,-80.1673665,North Coconut Lane,33139,305,Miami Beach
25.7827682,-80.1671773,North Coconut Lane,33139,303,Miami Beach
25.7826728,-80.1666403,North Coconut Lane,33139,291,Miami Beach
25.7826122,-80.1665011,North Coconut Lane,33139,285,Miami Beach
25.7825522,-80.166361,North Coconut Lane,33139,281,Miami Beach
25.782493,-80.1662243,North Coconut Lane,33139,277,Miami Beach
25.7827664,-80.1669826,North Coconut Lane,33139,297,Miami Beach
25.7827361,-80.1667931,North Coconut Lane,33139,295,Miami Beach
