lat,lon,street,postcode,housenumber,city,state,country
40.4693974,-79.9238919,North Euclid Avenue,15206,717, , , 
40.4696043,-79.9232443,North Euclid Avenue,15206,728, , , 
40.4696507,-79.9231674,North Euclid Avenue,15206,730, , , 
40.4672991,-79.9252599,North Euclid Avenue,15206,517, , , 
40.4681015,-79.924749,North Euclid Avenue,15206,605, , , 
40.4651177,-79.9265941,North Euclid Avenue,15206,315, , , 
40.4648052,-79.9261882,North Euclid Avenue,15206,306, , , 
40.4648677,-79.9261386,North Euclid Avenue,15206,308, , , 
40.4650779,-79.9260348,North Euclid Avenue,15206,316, , , 
40.4651667,-79.9259939,North Euclid Avenue,15206,320, , , 
40.4658886,-79.9259913,North Euclid Avenue,15206,409, , , 
40.4648515,-79.9266186,North Euclid Avenue,15206,301, , , 
40.4659694,-79.9259123,North Euclid Avenue,15206,411, , , 
40.4736169,-79.9208668,North Euclid Avenue,15206,1016, , , 
40.4736742,-79.9208571,North Euclid Avenue,15206,1018, , , 
40.4754786,-79.9201641,North Euclid Avenue,15206,1135, , , 
40.4755503,-79.9201171,North Euclid Avenue,15206,1139, , , 
40.475948,-79.9198905,North Euclid Avenue,15206,1201, , , 
40.4753613,-79.9198896,North Euclid Avenue,15206,1140, , , 
40.4760061,-79.919856,North Euclid Avenue,15206,1205, , , 
40.4759334,-79.9198497,North Euclid Avenue,15206,1203, , , 
40.4760542,-79.9198234,North Euclid Avenue,15206,1207, , , 
40.476099,-79.9197921,North Euclid Avenue,15206,1209, , , 
40.4761393,-79.9197672,North Euclid Avenue,15206,1211, , , 
40.4697416,-79.9237075,North Euclid Avenue,15206,727, , , 
40.471349,-79.922772,North Euclid Avenue,15206,827, , , 
40.4724179,-79.9220625,North Euclid Avenue,15206,919, , , 
40.4724913,-79.9220411,North Euclid Avenue,15206,921, , , 
40.4738764,-79.9212027,North Euclid Avenue,15206,1019, , , 
40.4738772,-79.9212052,North Euclid Avenue,15206,1021, , , 
40.4689044,-79.9241482,North Euclid Avenue,15206,701, , , 
40.4689062,-79.9241832,North Euclid Avenue,15206,703, , , 
40.4689157,-79.9241033,North Euclid Avenue,15206,705, , , 
40.4716461,-79.9225392,North Euclid Avenue,15206,833, , , 
40.4657851,-79.9260329,North Euclid Avenue,15206,401, , , 
40.4676687,-79.9250399,North Euclid Avenue,15206,527, , , 
40.4649269,-79.9261165,North Euclid Avenue,15206,310, , , 
40.4649713,-79.9260856,North Euclid Avenue,15206,312, , , 
40.4650193,-79.9260373,North Euclid Avenue,15206,314, , , 
40.478097,-79.9186429,North Euclid Avenue,15206,1429, , , 
40.4780949,-79.9186234,North Euclid Avenue,15206,1428, , , 
40.478237,-79.9186139,North Euclid Avenue,15206,1435, , , 
40.4775905,-79.9183429,North Euclid Avenue,15206,1416, , , 
40.4780493,-79.9180786,North Euclid Avenue,15206,1434, , , 
40.478337,-79.9179526,North Euclid Avenue,15206,1444, , , 
40.4783975,-79.9179158,North Euclid Avenue,15206,1446, , , 
40.4785357,-79.9178393,North Euclid Avenue,15206,1450, , , 
40.4785683,-79.9177688,North Euclid Avenue,15206,1452, , , 
40.4786622,-79.917756,North Euclid Avenue,15206,1456, , , 
40.4787083,-79.9177283,North Euclid Avenue,15206,1458, , , 
