lat,lon,street,postcode,housenumber,city,state,country
40.4655976,-79.9317988,North Fairmont Street,15206,215, , , 
40.4660769,-79.9317205,North Fairmont Street,15206,229, , , 
40.4658798,-79.9316857,North Fairmont Street,15206,223, , , 
40.4659823,-79.9309405,North Fairmont Street,15206,226, , , 
40.4687552,-79.9322389,North Fairmont Street,15206,505, , , 
40.4688226,-79.9317715,North Fairmont Street,15206,506, , , 
40.4689975,-79.9323054,North Fairmont Street,15206,519, , , 
40.4690428,-79.9322946,North Fairmont Street,15206,521, , , 
40.4694313,-79.9324416,North Fairmont Street,15206,531, , , 
40.4695352,-79.9317046,North Fairmont Street,15206,532, , , 
40.4653866,-79.9315004,North Fairmont Street,15206,210, , , 
40.4655746,-79.9318531,North Fairmont Street,15206,213, , , 
40.4673953,-79.9314212,North Fairmont Street,15206,401, , , 
40.4674294,-79.9314166,North Fairmont Street,15206,403, , , 
40.4675584,-79.93142,North Fairmont Street,15206,409, , , 
40.4676022,-79.9313848,North Fairmont Street,15206,413, , , 
40.467713,-79.9314225,North Fairmont Street,15206,415, , , 
