lat,lon,street,postcode,housenumber,city,state,country
40.4687643,-79.9218999,North Highland Avenue,15206,733, , , 
40.4617598,-79.9249072,North Highland Avenue,15206,115, , , 
40.4618799,-79.9248395,North Highland Avenue,15206,117, , , 
40.4629641,-79.9239883,North Highland Avenue,15206,218, , , 
40.4664035,-79.9229531,North Highland Avenue,15206,519, , , 
40.4736435,-79.9188128,North Highland Avenue,15206,1106, , , 
40.4734056,-79.9196594,North Highland Avenue,15206,1021, , , 
40.4734046,-79.9196573,North Highland Avenue,15206,1025, , , 
40.4727133,-79.9193262,North Highland Avenue,15206,1006, , , 
40.4727602,-79.9193043,North Highland Avenue,15206,1008, , , 
40.4740131,-79.919286,North Highland Avenue,15206,1107, , , 
40.4741552,-79.9192233,North Highland Avenue,15206,1111, , , 
40.4731299,-79.9190907,North Highland Avenue,15206,1022, , , 
40.4731323,-79.9190078,North Highland Avenue,15206,1024, , , 
40.4749936,-79.9188526,North Highland Avenue,15206,1137, , , 
40.4748784,-79.918846,North Highland Avenue,15206,1125, , , 
40.4748899,-79.9188328,North Highland Avenue,15206,1127, , , 
40.4736925,-79.9187996,North Highland Avenue,15206,1108, , , 
40.4737678,-79.9187657,North Highland Avenue,15206,1110, , , 
40.4738224,-79.9187416,North Highland Avenue,15206,1112, , , 
40.4751903,-79.9187256,North Highland Avenue,15206,1141, , , 
40.4753804,-79.9186058,North Highland Avenue,15206,1229, , , 
40.4755061,-79.9185196,North Highland Avenue,15206,1233, , , 
40.4755094,-79.9184471,North Highland Avenue,15206,1235, , , 
40.476267,-79.9180817,North Highland Avenue,15206,1305, , , 
40.471421,-79.9205789,North Highland Avenue,15206,901, , , 
40.4774124,-79.9172383,North Highland Avenue,15206,1425, , , 
40.477888,-79.9169307,North Highland Avenue,15206,1445, , , 
