lat,lon,street,postcode,housenumber,city
25.7853611,-80.1943175,North Miami Avenue,33136,1130,Miami
25.7844709,-80.1942959,North Miami Avenue,33136,1036,Miami
25.7843557,-80.1942316,North Miami Avenue,33136,1030,Miami
25.7844721,-80.1942234,North Miami Avenue,33136,1040,Miami
25.7840017,-80.1941697,North Miami Avenue,33136,1018,Miami
25.7844821,-80.194139,North Miami Avenue,33136,1050,Miami
25.7840383,-80.1937971,North Miami Avenue,33132,1001,Miami
25.7852608,-80.1936001,North Miami Avenue,33132,1135,Miami
25.7879607,-80.1943968,North Miami Avenue,33136,1350,Miami
25.7878212,-80.1943919,North Miami Avenue,33136,1348,Miami
25.7856257,-80.1943678,North Miami Avenue,33136,1150,Miami
25.7872907,-80.1942483,North Miami Avenue,33136,1306,Miami
25.7877437,-80.1938902,North Miami Avenue,33132,1345,Miami
25.7887247,-80.1944124,North Miami Avenue,33132,1441,Miami
25.7890875,-80.1944006,North Miami Avenue,33132,1445,Miami
25.7891868,-80.1948494,North Miami Avenue,33136,1400,Miami
25.7891975,-80.1944175,North Miami Avenue,33132,1455,Miami
25.7896434,-80.1944225,North Miami Avenue,33132,1501,Miami
25.7901497,-80.1944464,North Miami Avenue,33132,1527,Miami
25.7911148,-80.1951651,North Miami Avenue,33136,1600,Miami
25.7920835,-80.1950645,North Miami Avenue,33136,1750,Miami
25.7923144,-80.1942143,North Miami Avenue,33132,1703,Miami
25.7925797,-80.1945181,North Miami Avenue,33132,1749,Miami
25.7926935,-80.1945221,North Miami Avenue,33132,1755,Miami
25.7928157,-80.1945266,North Miami Avenue,33132,1765,Miami
25.7943875,-80.1950782,North Miami Avenue,33136,1900,Miami
25.7949321,-80.1949666,North Miami Avenue,33136,1984,Miami
25.7949772,-80.1951039,North Miami Avenue,33136,1980,Miami
25.7915358,-80.1941182,North Miami Avenue,cafe,1657 unit c,no
25.7979847,-80.1951934,North Miami Avenue,33127,2160,Miami
25.7977561,-80.1951911,North Miami Avenue,33127,2150,Miami
25.7974588,-80.1951811,North Miami Avenue,33127,2134,Miami
25.7976225,-80.1951809,North Miami Avenue,33127,2140,Miami
25.7972932,-80.1951757,North Miami Avenue,33127,2118,Miami
25.7970953,-80.1951709,North Miami Avenue,33127,2110,Miami
25.7953035,-80.1951178,North Miami Avenue,33127,1990,North Miami
25.7962226,-80.1946594,North Miami Avenue,33127,2037,Miami
25.799417,-80.1946581,North Miami Avenue,33137,2323,Miami
25.7964698,-80.1946375,North Miami Avenue,33127,2035,Miami
25.7991027,-80.1946258,North Miami Avenue,33137,2301,Miami
