lat,lon,street,postcode,housenumber,city,state,country
40.4743228,-79.9254412,North Negley Avenue,15206,1001, , , 
40.4745144,-79.9253258,North Negley Avenue,15206,1003, , , 
40.4784341,-79.9225523,North Negley Avenue,15206,1272, , , 
40.4792174,-79.9221039,North Negley Avenue,15206,1422, , , 
40.4739149,-79.9249102,North Negley Avenue,15206,950, , , 
40.465048,-79.9294935,North Negley Avenue,15206,214, , , 
40.4644346,-79.9294042,North Negley Avenue,15206,225, , , 
40.4652568,-79.9292086,North Negley Avenue,15206,222, , , 
40.4681095,-79.928219,North Negley Avenue,15206,503, , , 
40.4687147,-79.927005,North Negley Avenue,15206,600, , , 
40.4688168,-79.9272014,North Negley Avenue,15206,540, , , 
40.4689209,-79.9271424,North Negley Avenue,15206,604, , , 
40.4690331,-79.9270754,North Negley Avenue,15206,608, , , 
40.4765394,-79.9236925,North Negley Avenue,15206,1140, , , 
40.4765488,-79.9233128,North Negley Avenue,15206,1148, , , 
40.4766475,-79.9236414,North Negley Avenue,15206,1144, , , 
40.4768246,-79.9235561,North Negley Avenue,15206,1150, , , 
40.4778958,-79.9237693,North Negley Avenue,15206,1217, , , 
40.4779591,-79.9228271,North Negley Avenue,15206,1252, , , 
40.4779637,-79.9227273,North Negley Avenue,15206,1254, , , 
40.4780227,-79.9227864,North Negley Avenue,15206,1256, , , 
40.4781672,-79.9227849,North Negley Avenue,15206,1260, , , 
40.4782761,-79.922718,North Negley Avenue,15206,1266, , , 
40.4783999,-79.9225605,North Negley Avenue,15206,1268, , , 
40.4787531,-79.9224349,North Negley Avenue,15206,1400, , , 
40.4788825,-79.9223333,North Negley Avenue,15206,1406, , , 
40.4789308,-79.9223029,North Negley Avenue,15206,1404, , , 
40.4789685,-79.9222851,North Negley Avenue,15206,1402, , , 
40.4790243,-79.9222085,North Negley Avenue,15206,1412, , , 
40.4769867,-79.9234308,North Negley Avenue,15206,1156, , , 
40.4782174,-79.9227564,North Negley Avenue,15206,1262, , , 
40.4791939,-79.9220672,North Negley Avenue,15206,1420, , , 
40.4769459,-79.9235151,North Negley Avenue,15206,1154, , , 
40.4719649,-79.9258249,North Negley Avenue,15206,810, , , 
40.472386,-79.9255976,North Negley Avenue,15206,818, , , 
40.4734673,-79.9250601,North Negley Avenue,15206,936, , , 
40.4735789,-79.9249943,North Negley Avenue,15206,940, , , 
40.4745286,-79.9246165,North Negley Avenue,15206,1012, , , 
40.4746471,-79.9245337,North Negley Avenue,15206,1018, , , 
40.4751518,-79.9243608,North Negley Avenue,15206,1038, , , 
40.4754628,-79.9241742,North Negley Avenue,15206,1100, , , 
40.4755261,-79.9257594,North Negley Avenue,15206,1001, , , 
40.4759732,-79.9239292,North Negley Avenue,15206,1118, , , 
40.4747507,-79.9256383,North Negley Avenue,15206,1011, , , 
40.475192,-79.9255091,North Negley Avenue,15206,1051, , , 
40.4732516,-79.9250812,North Negley Avenue,15206,930, , , 
40.473462,-79.9249744,North Negley Avenue,15206,938, , , 
40.4726799,-79.926076,North Negley Avenue,15206,901, , , 
40.473215,-79.9258861,North Negley Avenue,15206,923, , , 
40.4686532,-79.9272953,North Negley Avenue,15206,534, , , 
40.4686978,-79.927269,North Negley Avenue,15206,536, , , 
40.4687637,-79.9272313,North Negley Avenue,15206,538, , , 
40.4688744,-79.927172,North Negley Avenue,15206,602, , , 
40.4689794,-79.9271096,North Negley Avenue,15206,606, , , 
40.4690883,-79.9270415,North Negley Avenue,15206,610, , , 
40.4691297,-79.9270163,North Negley Avenue,15206,612, , , 
40.4700941,-79.9272894,North Negley Avenue,15206,701, , , 
40.4647092,-79.9296659,North Negley Avenue,15206,202, , , 
40.4647492,-79.9296157,North Negley Avenue,15206,204, , , 
