lat,lon,street,postcode,housenumber,city,state,country
40.4692331,-79.9246298,North Saint Clair Street,15206,706, , , 
40.4722413,-79.9228097,North Saint Clair Street,15206,908, , , 
40.4654848,-79.9274878,North Saint Clair Street,15206,317, , , 
40.4654024,-79.9274859,North Saint Clair Street,15206,315, , , 
40.4655925,-79.9273971,North Saint Clair Street,15206,321, , , 
40.4657954,-79.9272818,North Saint Clair Street,15206,329, , , 
40.4650758,-79.9272294,North Saint Clair Street,15206,304, , , 
40.4659491,-79.927226,North Saint Clair Street,15206,337, , , 
40.4652472,-79.9271102,North Saint Clair Street,15206,312, , , 
40.4653092,-79.9270579,North Saint Clair Street,15206,316, , , 
40.4667713,-79.9262279,North Saint Clair Street,15206,5700, , , 
40.4677058,-79.9261222,North Saint Clair Street,15206,509, , , 
40.4677888,-79.9261184,North Saint Clair Street,15206,511, , , 
40.4678455,-79.926049,North Saint Clair Street,15206,513, , , 
40.4686972,-79.9249282,North Saint Clair Street,15206,616, , , 
40.4663745,-79.9264021,North Saint Clair Street,15206,416, , , 
40.4664227,-79.9263695,North Saint Clair Street,15206,418, , , 
40.4679791,-79.9254017,North Saint Clair Street,15206,526, , , 
40.4778535,-79.9198669,North Saint Clair Street,15206,1401, , , 
40.4779357,-79.9198189,North Saint Clair Street,15206,1403, , , 
40.4781483,-79.91977,North Saint Clair Street,15206,1417, , , 
40.4782485,-79.9197132,North Saint Clair Street,15206,1421, , , 
40.4782866,-79.9196881,North Saint Clair Street,15206,1423, , , 
40.4783241,-79.9196642,North Saint Clair Street,15206,1425, , , 
40.4783817,-79.9196358,North Saint Clair Street,15206,1427, , , 
40.4784265,-79.9196067,North Saint Clair Street,15206,1429, , , 
40.4784615,-79.9195827,North Saint Clair Street,15206,1431, , , 
40.4785166,-79.9195607,North Saint Clair Street,15206,1433, , , 
40.4785561,-79.9195361,North Saint Clair Street,15206,1435, , , 
40.4785844,-79.9195179,North Saint Clair Street,15206,1437, , , 
40.4778469,-79.9194014,North Saint Clair Street,15206,1410, , , 
40.4756873,-79.9208356,North Saint Clair Street,15206,1136, , , 
40.4758357,-79.9208012,North Saint Clair Street,15206,1138, , , 
40.4758771,-79.9207749,North Saint Clair Street,15206,1140, , , 
40.4759098,-79.9207562,North Saint Clair Street,15206,1142, , , 
40.471429,-79.9233221,North Saint Clair Street,15206,824, , , 
40.4721083,-79.9228727,North Saint Clair Street,15206,902, , , 
40.4721485,-79.9228517,North Saint Clair Street,15206,904, , , 
40.4721879,-79.9228296,North Saint Clair Street,15206,906, , , 
40.4722172,-79.9234342,North Saint Clair Street,15206,901, , , 
40.4722828,-79.92329,North Saint Clair Street,15206,903, , , 
40.4722833,-79.9227809,North Saint Clair Street,15206,910, , , 
40.4723227,-79.9227555,North Saint Clair Street,15206,912, , , 
40.4738288,-79.9222766,North Saint Clair Street,15206,1009, , , 
40.47384,-79.922337,North Saint Clair Street,15206,1009, , , 
40.4693524,-79.9245599,North Saint Clair Street,15206,708, , , 
40.4714415,-79.9233624,North Saint Clair Street,15206,824, , , 
40.4726062,-79.9232026,North Saint Clair Street,15206,919, , , 
40.4739161,-79.9222898,North Saint Clair Street,15206,1013, , , 
40.4663321,-79.9264823,North Saint Clair Street,15206,414, , , 
40.4680224,-79.9253819,North Saint Clair Street,15206,528, , , 
