lat,lon,street,postcode,housenumber,city
25.7906743,-80.1789851,North Venetian Drive,33139,801,Miami
25.7902806,-80.178472,North Venetian Drive,33139,800,Miami
25.7908425,-80.1778345,North Venetian Drive,33139,861,Miami
25.7909233,-80.1754043,North Venetian Drive,33139,941,Miami
25.7909594,-80.1751318,North Venetian Drive,33139,995,Miami
25.7909843,-80.1746121,North Venetian Drive,33139,1011,Miami
25.7909637,-80.174174,North Venetian Drive,33139,1031,Miami
25.79102,-80.1739,North Venetian Drive,33139,1041,Miami
25.7910317,-80.1736524,North Venetian Drive,33139,1051,Miami
25.7910374,-80.1734993,North Venetian Drive,33139,1055,Miami
25.7910515,-80.1732693,North Venetian Drive,33139,1061,Miami
25.7906,-80.1724314,North Venetian Drive,33139,1120,Miami
25.7909389,-80.1719459,North Venetian Drive,33139,1141,Miami
25.7905418,-80.1719321,North Venetian Drive,33139,1132,Miami
