lat,lon,street,postcode,housenumber,city
25.7885749,-80.1901941,Northeast 14th Street,33132,235,Miami
25.7885803,-80.1897392,Northeast 14th Street,33132,245,Miami
25.7884433,-80.1896201,Northeast 14th Street,33132,251,Miami
25.7885834,-80.1895912,Northeast 14th Street,33132,253,Miami
25.7884524,-80.1941785,Northeast 14th Street,33132,25,Miami
25.7885174,-80.1940238,Northeast 14th Street,33132,31,Miami
25.7881382,-80.1936564,Northeast 14th Street,33132,28,Miami
25.7884618,-80.1936405,Northeast 14th Street,33132,47,Miami
25.7884725,-80.193384,Northeast 14th Street,33132,55,Miami
25.788478,-80.1932378,Northeast 14th Street,33132,65,Miami
25.7880051,-80.1931703,Northeast 14th Street,33132,50,Miami
25.7885205,-80.192042,Northeast 14th Street,33132,101,Miami
25.7885253,-80.1919331,Northeast 14th Street,33132,115,Miami
25.7881575,-80.1918688,Northeast 14th Street,33132,110,Miami
25.7880727,-80.191863,Northeast 14th Street,33132,106,Miami
25.7880168,-80.1918527,Northeast 14th Street,33132,102,Miami
25.788534,-80.1918256,Northeast 14th Street,33132,119,Miami
25.7885366,-80.1917479,Northeast 14th Street,33132,121,Miami
25.7885388,-80.1916768,Northeast 14th Street,33132,125,Miami
25.7887938,-80.192854,Northeast 14th Street,33132,73,Miami
