lat,lon,street,postcode,housenumber,city
25.7841334,-80.192745,Northeast 1st Avenue,33132,1002,Miami
25.785172,-80.1921827,Northeast 1st Avenue,33132,1121,Miami
25.7850118,-80.1921673,Northeast 1st Avenue,33132,1101,Miami
25.7841983,-80.192042,Northeast 1st Avenue,33132,1019,Miami
25.7840617,-80.1920356,Northeast 1st Avenue,33132,1001,Miami
25.7879614,-80.1926787,Northeast 1st Avenue,33132,1348,Miami
25.7877393,-80.1926733,Northeast 1st Avenue,33132,1336,Miami
25.7881271,-80.1926071,Northeast 1st Avenue,33132,1366,Miami
25.7885026,-80.1925341,Northeast 1st Avenue,33132,1400,Miami
25.7878294,-80.1921196,Northeast 1st Avenue,33132,1361,Miami
25.7888243,-80.1925209,Northeast 1st Avenue,33132,1422,Miami
25.7891377,-80.1925374,Northeast 1st Avenue,33132,1442,Miami
25.7892964,-80.1925433,Northeast 1st Avenue,33132,1452,Miami
25.7896244,-80.1925527,Northeast 1st Avenue,33132,1502,Miami
25.7897298,-80.1925556,Northeast 1st Avenue,33132,1512,Miami
25.7899114,-80.1925602,Northeast 1st Avenue,33132,1516,Miami
25.7901087,-80.1925652,Northeast 1st Avenue,33132,1532,Miami
25.7902721,-80.1925692,Northeast 1st Avenue,33132,1542,Miami
25.7908626,-80.1925813,Northeast 1st Avenue,33132,1604,Miami
25.7910815,-80.1926032,Northeast 1st Avenue,33132,1622,Miami
25.7912438,-80.192593,Northeast 1st Avenue,33132,1630,Miami
25.7912703,-80.1917932,Northeast 1st Avenue,33132,1635,Miami
25.7913874,-80.1929202,Northeast 1st Avenue,33132,1642,Miami
25.8070937,-80.1934192,Northeast 1st Avenue,33137,3250,Miami
25.8073013,-80.1933861,Northeast 1st Avenue,33137,3252,Miami
25.8075789,-80.1933454,Northeast 1st Avenue,33137,3256,Miami
25.8078865,-80.1932753,Northeast 1st Avenue,33137,3260,Miami
25.8043315,-80.1930183,Northeast 1st Avenue,33137,2901,Miami
25.8046895,-80.1929966,Northeast 1st Avenue,33137,2951,Miami
25.8053911,-80.1928403,Northeast 1st Avenue,33137,3001,Miami
25.8061695,-80.1926674,Northeast 1st Avenue,33137,3101,Miami
25.8087872,-80.1920624,Northeast 1st Avenue,33137,3401,Miami
25.8182542,-80.1937746,Northeast 1st Avenue,33137,4620,Miami
25.8120847,-80.1935562,Northeast 1st Avenue,33137,3802,Miami
25.8093247,-80.1923598,Northeast 1st Avenue,33137,3449,Miami
25.809546,-80.1922984,Northeast 1st Avenue,33137,3451,Miami
25.8101567,-80.1916713,Northeast 1st Avenue,33137,3501,Miami
25.7828889,-80.1918537,Northeast 1st Avenue,33132,851,Miami
25.7830686,-80.1924197,Northeast 1st Avenue,33132,906,Miami
25.7832642,-80.1925038,Northeast 1st Avenue,33132,930,Miami
25.7834087,-80.1925085,Northeast 1st Avenue,33132,938,Miami
25.7835002,-80.1925113,Northeast 1st Avenue,33132,942,Miami
