lat,lon,street,postcode,housenumber,city
25.7872398,-80.1912068,Northeast 1st Court,33132,1315,Miami
25.7871193,-80.1912034,Northeast 1st Court,33132,1305,Miami
25.788058,-80.1910569,Northeast 1st Court,33132,1367,Miami
25.7873586,-80.1917319,Northeast 1st Court,33132,1330,Miami
25.7879637,-80.1917176,Northeast 1st Court,33132,1346,Miami
25.7885415,-80.1916029,Northeast 1st Court,33132,1400,Miami
25.7908881,-80.1919287,Northeast 1st Court,33132,1610,Miami
25.791111,-80.1917887,Northeast 1st Court,33132,1624,Miami
25.7914269,-80.1917978,Northeast 1st Court,33132,1640,Miami
25.7915878,-80.1914341,Northeast 1st Court,33132,1631,Miami
25.7916013,-80.1913238,Northeast 1st Court,33132,1655,Miami
25.8047696,-80.1919607,Northeast 1st Court,33137,2930,Miami
25.8055272,-80.1918786,Northeast 1st Court,33137,3020,Miami
25.8060259,-80.1918257,Northeast 1st Court,33137,3090,Miami
25.8117079,-80.192433,Northeast 1st Court,33137,3700,Miami
25.8107823,-80.1923871,Northeast 1st Court,33137,3604,Miami
25.8109777,-80.1923941,Northeast 1st Court,33137,3620,Miami
25.8109921,-80.1919272,Northeast 1st Court,33137,3621,Miami
25.8111152,-80.1924035,Northeast 1st Court,33137,3628,Miami
25.8111445,-80.1919325,Northeast 1st Court,33137,3627,Miami
25.8112188,-80.1924111,Northeast 1st Court,33137,3630,Miami
