lat,lon,street,postcode,housenumber,city
25.7960111,-80.187953,Northeast 20th Terrace,33137,348,Miami
25.7958637,-80.1898208,Northeast 20th Terrace,33137,246,Miami
25.7959565,-80.1915428,Northeast 20th Terrace,33137,160,Miami
25.7959725,-80.1924601,Northeast 20th Terrace,33137,114,Miami
25.7959763,-80.1926196,Northeast 20th Terrace,33137,106,Miami
25.7959764,-80.1903792,Northeast 20th Terrace,33137,220,Miami
25.7959798,-80.19022,Northeast 20th Terrace,33137,226,Miami
25.7959835,-80.1900463,Northeast 20th Terrace,33137,234,Miami
25.7960122,-80.1920049,Northeast 20th Terrace,33137,144,Miami
25.7964349,-80.1927778,Northeast 20th Terrace,33137,101,Miami
25.7964387,-80.1926277,Northeast 20th Terrace,33137,103,Miami
25.796442,-80.1924759,Northeast 20th Terrace,33137,107,Miami
25.7964456,-80.1923215,Northeast 20th Terrace,33137,119,Miami
25.7964492,-80.1921689,Northeast 20th Terrace,33137,135,Miami
25.7964527,-80.1920201,Northeast 20th Terrace,33137,141,Miami
25.796456,-80.191872,Northeast 20th Terrace,33137,145,Miami
25.7964596,-80.1917175,Northeast 20th Terrace,33137,149,Miami
25.7964708,-80.1915036,Northeast 20th Terrace,33137,151,Miami
25.7959769,-80.1930731,Northeast 20th Terrace,33137,94,Miami
25.7964298,-80.1930107,Northeast 20th Terrace,33137,95,Miami
