lat,lon,street,postcode,housenumber,city
25.7989831,-80.1879082,Northeast 23rd Street,33137,402,Miami
25.7989947,-80.187391,Northeast 23rd Street,33137,434,Miami
25.7990202,-80.1864172,Northeast 23rd Street,33137,600,Miami
25.7990548,-80.1865926,Northeast 23rd Street,33137,534,Miami
25.7994337,-80.1888927,Northeast 23rd Street,33137,305,Miami
25.7994365,-80.1887511,Northeast 23rd Street,33137,315,Miami
25.7994475,-80.1878321,Northeast 23rd Street,33137,413,Miami
25.7994511,-80.1876749,Northeast 23rd Street,33137,423,Miami
25.7994619,-80.1872598,Northeast 23rd Street,33137,439,Miami
25.7994761,-80.1866143,Northeast 23rd Street,33137,601,Miami
25.7994807,-80.1863853,Northeast 23rd Street,33137,611,Miami
25.7994839,-80.1862499,Northeast 23rd Street,33137,613,Miami
25.7994906,-80.1861598,Northeast 23rd Street,33137,615,Miami
25.7990179,-80.1858426,Northeast 23rd Street,33137,788,Miami
25.7994993,-80.1856242,Northeast 23rd Street,33137,701,Miami
25.7986718,-80.1922085,Northeast 23rd Street,33137,146,Miami
25.7987058,-80.1928298,Northeast 23rd Street,33137,112,Miami
25.7987096,-80.1926777,Northeast 23rd Street,33137,120,Miami
25.7987137,-80.1925188,Northeast 23rd Street,33137,130,Miami
25.7987367,-80.1915965,Northeast 23rd Street,33137,180,Miami
25.7987404,-80.1914395,Northeast 23rd Street,33137,186,Miami
25.7992242,-80.1926924,Northeast 23rd Street,33137,65,Miami
25.7992287,-80.1925378,Northeast 23rd Street,33137,129,Miami
25.799233,-80.192382,Northeast 23rd Street,33137,137,Miami
25.7992375,-80.1922324,Northeast 23rd Street,33137,145,Miami
25.7992418,-80.1920759,Northeast 23rd Street,33137,153,Miami
25.7986863,-80.19359,Northeast 23rd Street,33137,50,Miami
25.798691,-80.1934361,Northeast 23rd Street,33137,60,Miami
25.7986946,-80.1932824,Northeast 23rd Street,33137,68,Miami
25.7992123,-80.193155,Northeast 23rd Street,33137,101,Miami
25.7986982,-80.1931334,Northeast 23rd Street,33137,76,Miami
25.7987022,-80.1929816,Northeast 23rd Street,33137,100,Miami
25.7996666,-80.1904808,Northeast 23rd Street,33137,225,Miami
