lat,lon,street,postcode,housenumber,city
25.7841216,-80.1913724,Northeast 2nd Avenue,33132,1034,Miami
25.7841226,-80.1911159,Northeast 2nd Avenue,33132,1016,Miami
25.7851332,-80.1910679,Northeast 2nd Avenue,33132,1118,Miami
25.7851767,-80.1910657,Northeast 2nd Avenue,33132,1120,Miami
25.7850989,-80.1910616,Northeast 2nd Avenue,33132,1110,Miami
25.7850677,-80.1910545,Northeast 2nd Avenue,33132,1100,Miami
25.7846108,-80.1910155,Northeast 2nd Avenue,33132,1044,Miami
25.7841117,-80.1909453,Northeast 2nd Avenue,33132,1010,Miami
25.7843993,-80.1901503,Northeast 2nd Avenue,33132,1037,Miami
25.7876337,-80.1910607,Northeast 2nd Avenue,33132,1300,Miami
25.7873648,-80.1909184,Northeast 2nd Avenue,33132,1302,Miami
25.7882253,-80.1908337,Northeast 2nd Avenue,33132,1370,Miami
25.7868421,-80.1904281,Northeast 2nd Avenue,33132,1241,Miami
25.7866386,-80.1904234,Northeast 2nd Avenue,33132,1227,Miami
25.7864598,-80.1904197,Northeast 2nd Avenue,33132,1215,Miami
25.7862966,-80.1902639,Northeast 2nd Avenue,33132,1201,Miami
25.7890489,-80.1910248,Northeast 2nd Avenue,33132,1450,Miami
25.789201,-80.1918149,Northeast 2nd Avenue,33132,1410,Miami
25.7892806,-80.1909299,Northeast 2nd Avenue,33132,1498,Miami
25.790277,-80.1902694,Northeast 2nd Avenue,33132,1535,Miami
25.7907023,-80.1903635,Northeast 2nd Avenue,33132,1601,Miami
25.7908076,-80.1909417,Northeast 2nd Avenue,33132,1600,Miami
25.790837,-80.191105,Northeast 2nd Avenue,33132,1620,Miami
25.7911322,-80.1911384,Northeast 2nd Avenue,33132,1622,Miami
25.7913852,-80.1910647,Northeast 2nd Avenue,33132,1644,Miami
25.7916106,-80.1909874,Northeast 2nd Avenue,33132,1652,Miami
25.7918875,-80.1904453,Northeast 2nd Avenue,33132,1707,Miami
25.7925702,-80.1904566,Northeast 2nd Avenue,33132,1741,Miami
25.79261,-80.1905647,Northeast 2nd Avenue,33132,1757,Miami
25.7929529,-80.1901384,Northeast 2nd Avenue,33132,1773,Miami
25.7956155,-80.1905399,Northeast 2nd Avenue,33137,2007,Miami
25.7959671,-80.1909905,Northeast 2nd Avenue,33137,2000,Miami
25.7959724,-80.1905864,Northeast 2nd Avenue,33137,2001,Miami
25.7966936,-80.1913034,Northeast 2nd Avenue,33137,2060,Miami
25.797418,-80.1911495,Northeast 2nd Avenue,33137,2100,Miami
25.7974602,-80.1905737,Northeast 2nd Avenue,33137,2111,Miami
25.7977075,-80.1911658,Northeast 2nd Avenue,33137,2140,Miami
25.7978716,-80.1905271,Northeast 2nd Avenue,33137,2175,Miami
25.7982523,-80.191126,Northeast 2nd Avenue,33137,2200,Miami
25.798461,-80.1912934,Northeast 2nd Avenue,33137,2220,Miami
25.7986958,-80.1910709,Northeast 2nd Avenue,33137,2232,Miami
25.7987582,-80.1910757,Northeast 2nd Avenue,33137,2234,Miami
25.7988277,-80.1910779,Northeast 2nd Avenue,33137,2240,Miami
25.7988684,-80.1910803,Northeast 2nd Avenue,33137,2246,Miami
25.7992401,-80.1911176,Northeast 2nd Avenue,33137,2308,Miami
25.7993888,-80.1910761,Northeast 2nd Avenue,33137,2320,Miami
25.7995324,-80.1911599,Northeast 2nd Avenue,33137,2322,Miami
25.7996519,-80.1911613,Northeast 2nd Avenue,33137,2328,Miami
25.800197,-80.1911827,Northeast 2nd Avenue,33137,2400,Miami
25.8004198,-80.1907063,Northeast 2nd Avenue,33137,2403,Miami
25.800586,-80.1911909,Northeast 2nd Avenue,33137,2434,Miami
25.8007097,-80.1911952,Northeast 2nd Avenue,33137,2440,Miami
25.8012092,-80.1912332,Northeast 2nd Avenue,33137,2518,Miami
25.8014816,-80.190834,Northeast 2nd Avenue,33137,2525,Miami
25.8018386,-80.1912337,Northeast 2nd Avenue,33137,2600,Miami
25.8018484,-80.1906582,Northeast 2nd Avenue,33137,2601,Miami
25.8022681,-80.1911703,Northeast 2nd Avenue,33137,2634,Miami
25.8022869,-80.1913539,Northeast 2nd Avenue,33137,2650,Miami
25.8032501,-80.1913521,Northeast 2nd Avenue,33137,2728,Miami
25.8033302,-80.1907882,Northeast 2nd Avenue,33137,2731,Miami
25.8035103,-80.191171,Northeast 2nd Avenue,33137,2800,Miami
25.803511,-80.1912836,Northeast 2nd Avenue,33137,2802,Miami
25.8036864,-80.1913596,Northeast 2nd Avenue,33137,2816,Miami
25.803812,-80.1913631,Northeast 2nd Avenue,33137,2830,Miami
25.8038132,-80.1908652,Northeast 2nd Avenue,33137,2805,Miami
25.8058222,-80.190848,Northeast 2nd Avenue,33137,3025,Miami
25.8074179,-80.1907784,Northeast 2nd Avenue,33137,3221,Miami
25.8043829,-80.1907733,Northeast 2nd Avenue,33137,2901,Miami
25.8044595,-80.1907728,Northeast 2nd Avenue,33137,2905,Miami
25.8088104,-80.1907523,Northeast 2nd Avenue,33137,3415,Miami
25.8074935,-80.1914563,Northeast 2nd Avenue,33137,3232,Miami
25.8073344,-80.1914363,Northeast 2nd Avenue,33137,3214,Miami
25.807262,-80.1914315,Northeast 2nd Avenue,33137,3212,Miami
25.8071416,-80.1914297,Northeast 2nd Avenue,33137,3200,Miami
25.8072042,-80.1914292,Northeast 2nd Avenue,33137,3208,Miami
25.8060949,-80.1914124,Northeast 2nd Avenue,33137,3030,Miami
25.8054653,-80.1913971,Northeast 2nd Avenue,33137,3004,Miami
25.8057268,-80.1913883,Northeast 2nd Avenue,33137,3020,Miami
25.804638,-80.1913856,Northeast 2nd Avenue,33137,2920,Miami
25.8055958,-80.1913852,Northeast 2nd Avenue,33137,3010,Miami
25.8051889,-80.1913794,Northeast 2nd Avenue,33137,2960,Miami
25.8043993,-80.1913776,Northeast 2nd Avenue,33137,2900,Miami
25.8050469,-80.191377,Northeast 2nd Avenue,33137,2946,Miami
25.8049127,-80.1913754,Northeast 2nd Avenue,33137,2940,Miami
25.8047769,-80.1913731,Northeast 2nd Avenue,33137,2932,Miami
25.8068459,-80.1913708,Northeast 2nd Avenue,33137,3128,Miami
25.8065392,-80.1913705,Northeast 2nd Avenue,33137,3110,Miami
25.8210961,-80.1919419,Northeast 2nd Avenue,33137,4940,Miami
25.8207824,-80.1919282,Northeast 2nd Avenue,33137,4920,Miami
25.8223166,-80.1919314,Northeast 2nd Avenue,33137,5066,Miami
25.8189792,-80.1918567,Northeast 2nd Avenue,33137,4730,Miami
25.8181423,-80.1917738,Northeast 2nd Avenue,33137,4600,Miami
25.818423,-80.1919198,Northeast 2nd Avenue,33137,4680,Miami
25.8209304,-80.1919346,Northeast 2nd Avenue,33137,4930,Miami
25.8222067,-80.1919235,Northeast 2nd Avenue,33137,5060,Miami
25.819382,-80.1918775,Northeast 2nd Avenue,33137,4798,Miami
25.8183029,-80.1918292,Northeast 2nd Avenue,33137,4670,Miami
25.8174108,-80.1917955,Northeast 2nd Avenue,33137,4510,Miami
25.8189884,-80.1917629,Northeast 2nd Avenue,33137,4732,Miami
25.8175904,-80.1917518,Northeast 2nd Avenue,33137,4582,Miami
25.8176657,-80.1917533,Northeast 2nd Avenue,33137,4584,Miami
25.8177321,-80.1917548,Northeast 2nd Avenue,33137,4588,Miami
25.8227985,-80.1898681,Northeast 2nd Avenue,33137,5035,Miami
25.8154683,-80.1916295,Northeast 2nd Avenue,33137,4240,Miami
25.8159376,-80.1916233,Northeast 2nd Avenue,33137,4314,Miami
25.8150874,-80.1916819,Northeast 2nd Avenue,33137,4200,Miami
25.8142729,-80.1908238,Northeast 2nd Avenue,33137,4141,Miami
25.8157852,-80.1917085,Northeast 2nd Avenue,33137,4310,Miami
25.81683,-80.1917105,Northeast 2nd Avenue,33137,4424,Miami
25.815736,-80.1916983,Northeast 2nd Avenue,33137,4302,Miami
25.8155122,-80.1916705,Northeast 2nd Avenue,33137,4242,Miami
25.8153609,-80.1916604,Northeast 2nd Avenue,33137,4218,Miami
25.8151502,-80.1911657,Northeast 2nd Avenue,33137,4201,Miami
