lat,lon,street,postcode,housenumber,city
25.8062417,-80.1860145,Northeast 32nd Street,33137,650,Miami
25.8069883,-80.1883979,Northeast 32nd Street,33137,350,Miami
25.8070008,-80.1881052,Northeast 32nd Street,33137,420,Miami
25.8070049,-80.1876489,Northeast 32nd Street,33137,444,Miami
25.807006,-80.1878998,Northeast 32nd Street,33137,436,Miami
25.8070149,-80.1875569,Northeast 32nd Street,33137,450,Miami
25.8070207,-80.1873572,Northeast 32nd Street,33137,460,Miami
25.8070267,-80.1871522,Northeast 32nd Street,33137,478,Miami
25.8070318,-80.1869738,Northeast 32nd Street,33137,540,Miami
25.8070367,-80.1868096,Northeast 32nd Street,33137,550,Miami
25.807042,-80.1866253,Northeast 32nd Street,33137,590,Miami
25.8070482,-80.1864157,Northeast 32nd Street,33137,600,Miami
25.8070543,-80.1862069,Northeast 32nd Street,33137,608,Miami
25.8073683,-80.187109,Northeast 32nd Street,33137,475,Miami
25.807374,-80.1869277,Northeast 32nd Street,33137,533,Miami
25.8073853,-80.1865694,Northeast 32nd Street,33137,545,Miami
25.8073907,-80.1863978,Northeast 32nd Street,33137,601,Miami
25.8074344,-80.1856657,Northeast 32nd Street,33137,619,Miami
25.8074874,-80.1888413,Northeast 32nd Street,33137,345,Miami
25.806911,-80.1906647,Northeast 32nd Street,33137,220,Miami
25.8072585,-80.1905637,Northeast 32nd Street,33137,229,Miami
25.8069169,-80.1904864,Northeast 32nd Street,33137,230,Miami
