lat,lon,street,postcode,housenumber,city
25.8143725,-80.194393,Northeast 41st Street,33137,53,Miami
25.8143802,-80.195263,Northeast 41st Street,33137,15,Miami
25.814598,-80.1952903,Northeast 41st Street,33137,31,Miami
25.8142289,-80.1946968,Northeast 41st Street,33137,41,Miami
25.8139976,-80.1929329,Northeast 41st Street,33137,120,Miami
25.8140026,-80.1927773,Northeast 41st Street,33137,130,Miami
25.8140075,-80.1926253,Northeast 41st Street,33137,140,Miami
25.8140082,-80.1951712,Northeast 41st Street,33137,10,Miami
25.8140029,-80.1944253,Northeast 41st Street,33137,60,Miami
25.8140079,-80.1951205,Northeast 41st Street,33137,12,Miami
25.8139878,-80.1947243,Northeast 41st Street,33137,28,Miami
25.8139946,-80.1946494,Northeast 41st Street,33137,34,Miami
25.813997,-80.1945692,Northeast 41st Street,33137,42,Miami
25.8140001,-80.1944944,Northeast 41st Street,33137,56,Miami
25.8140227,-80.1921445,Northeast 41st Street,33137,158,Miami
25.8138825,-80.1917892,Northeast 41st Street,33137,164,Miami
