lat,lon,street,postcode,housenumber,city
25.7997021,-80.1869014,Northeast 6th Avenue,33137,2320,Miami
25.7998662,-80.1865284,Northeast 6th Avenue,33137,2311,Miami
25.799995,-80.186503,Northeast 6th Avenue,33137,2341,Miami
25.8127981,-80.1867518,Northeast 6th Avenue,33137,3804,Miami
25.8128852,-80.1867313,Northeast 6th Avenue,33137,3808,Miami
25.8131316,-80.1863181,Northeast 6th Avenue,33137,3805,Miami
25.8129679,-80.1873427,Northeast 6th Avenue,33137,3838,Miami
25.8126964,-80.1867686,Northeast 6th Avenue,33137,3800,Miami
25.8127421,-80.1867593,Northeast 6th Avenue,33137,3802,Miami
25.8128446,-80.1867388,Northeast 6th Avenue,33137,3806,Miami
