lat,lon,street,postcode,housenumber,city
25.788562,-80.1941791,Northeast Miami Court,33132,1412,Miami
25.7885972,-80.1936436,Northeast Miami Court,33132,1415,Miami
25.7879777,-80.1935675,Northeast Miami Court,33132,1350,Miami
25.7878389,-80.1935619,Northeast Miami Court,33132,1344,Miami
25.7877055,-80.1935566,Northeast Miami Court,33132,1334,Miami
25.7875646,-80.1935511,Northeast Miami Court,33132,1326,Miami
25.7871589,-80.1935348,Northeast Miami Court,33132,1304,Miami
25.7870641,-80.1930637,Northeast Miami Court,33132,1301,Miami
25.7873315,-80.1929845,Northeast Miami Court,33132,1315,Miami
25.7877253,-80.1929449,Northeast Miami Court,33132,1335,Miami
25.7886715,-80.1940908,Northeast Miami Court,33132,1418,Miami
25.7887126,-80.1936461,Northeast Miami Court,33132,1421,Miami
25.7887837,-80.1940936,Northeast Miami Court,33132,1428,Miami
25.7887974,-80.1936479,Northeast Miami Court,33132,1425,Miami
25.7889292,-80.1940974,Northeast Miami Court,33132,1432,Miami
25.7889301,-80.1936507,Northeast Miami Court,33132,1433,Miami
25.7890479,-80.1941975,Northeast Miami Court,33132,1442,Miami
25.789104,-80.1936544,Northeast Miami Court,33132,1445,Miami
25.7895683,-80.1941187,Northeast Miami Court,33132,1502,Miami
25.7896991,-80.1941224,Northeast Miami Court,33132,1512,Miami
25.7898195,-80.1941252,Northeast Miami Court,33132,1518,Miami
25.7899384,-80.194128,Northeast Miami Court,33132,1524,Miami
25.7900704,-80.1941311,Northeast Miami Court,33132,1536,Miami
25.7901309,-80.1936762,Northeast Miami Court,33132,1537,Miami
25.7902657,-80.1936789,Northeast Miami Court,33132,1545,Miami
25.7903707,-80.1941374,Northeast Miami Court,33132,1552,Miami
25.790833,-80.1941558,Northeast Miami Court,33132,1614,Miami
25.790957,-80.1941599,Northeast Miami Court,33132,1618,Miami
25.7911142,-80.1941651,Northeast Miami Court,33132,1632,Miami
25.7912152,-80.1937062,Northeast Miami Court,33132,1635,Miami
25.7913249,-80.1937089,Northeast Miami Court,33132,1643,Miami
25.7913693,-80.1941757,Northeast Miami Court,33132,1650,Miami
25.7949101,-80.1938581,Northeast Miami Court,33132,1911,Miami
25.7990019,-80.1941928,Northeast Miami Court,33137,2301,Miami
25.7991428,-80.1941453,Northeast Miami Court,33137,2323,Miami
25.812298,-80.1948837,Northeast Miami Court,33137,3840,Miami
25.8119189,-80.1948815,Northeast Miami Court,33137,3800,Miami
25.8124305,-80.1948772,Northeast Miami Court,33137,3850,Miami
25.8111444,-80.1948402,Northeast Miami Court,33127,3630,Miami
25.8110238,-80.1948251,Northeast Miami Court,33127,3620,Miami
25.8108751,-80.1948202,Northeast Miami Court,33127,3610,Miami
25.8110088,-80.1943343,Northeast Miami Court,33137,3621,Miami
