lat,lon,street,postcode,housenumber,city
25.7886107,-80.1933123,Northeast Miami Place,33132,1410,Miami
25.7885797,-80.1928488,Northeast Miami Place,33132,1415,Miami
25.7889548,-80.1928579,Northeast Miami Place,33132,1433,Miami
25.7890962,-80.1928613,Northeast Miami Place,33132,1441,Miami
25.7897772,-80.1928783,Northeast Miami Place,33132,1515,Miami
25.7899337,-80.1928828,Northeast Miami Place,33132,1525,Miami
25.7900553,-80.1928861,Northeast Miami Place,33132,1531,Miami
25.7901349,-80.1928884,Northeast Miami Place,33132,1537,Miami
25.7902629,-80.1928921,Northeast Miami Place,33132,1541,Miami
25.790408,-80.1928965,Northeast Miami Place,33132,1553,Miami
25.7907566,-80.1929086,Northeast Miami Place,33132,1603,Miami
25.7908526,-80.1929108,Northeast Miami Place,33132,1611,Miami
25.7909486,-80.1929128,Northeast Miami Place,33132,1615,Miami
25.7910832,-80.1929153,Northeast Miami Place,33132,1621,Miami
25.7912344,-80.1929177,Northeast Miami Place,33132,1631,Miami
25.7887278,-80.1933151,Northeast Miami Place,33132,1420,Miami
25.7888122,-80.1933172,Northeast Miami Place,33132,1424,Miami
25.7889434,-80.1933203,Northeast Miami Place,33132,1432,Miami
25.7891118,-80.1933244,Northeast Miami Place,33132,1442,Miami
25.7892707,-80.1933287,Northeast Miami Place,33132,1452,Miami
25.7895969,-80.1933252,Northeast Miami Place,33132,1502,Miami
25.7897529,-80.1933309,Northeast Miami Place,33132,1512,Miami
25.7899004,-80.1933351,Northeast Miami Place,33132,1520,Miami
25.7900336,-80.1933387,Northeast Miami Place,33132,1530,Miami
25.7901672,-80.1933424,Northeast Miami Place,33132,1540,Miami
25.790296,-80.1933461,Northeast Miami Place,33132,1546,Miami
25.7907266,-80.1933587,Northeast Miami Place,33132,1602,Miami
25.7908303,-80.1933609,Northeast Miami Place,33132,1610,Miami
25.7909554,-80.1933634,Northeast Miami Place,33132,1616,Miami
25.7910842,-80.193366,Northeast Miami Place,33132,1624,Miami
25.7912147,-80.1933687,Northeast Miami Place,33132,1632,Miami
25.7913678,-80.1933719,Northeast Miami Place,33132,1642,Miami
25.8192594,-80.19429,Northeast Miami Place,33137,4730,Miami
25.818988,-80.1942818,Northeast Miami Place,33137,4720,Miami
25.8110026,-80.1939595,Northeast Miami Place,33137,3620,Miami
