lat,lon,street,postcode,housenumber,city
25.799119,-80.2196247,Northwest 14th Avenue,33142,2324,Miami
25.7917965,-80.2205919,Northwest 14th Avenue,33125,1700,Miami
25.7932609,-80.2196027,Northwest 14th Avenue,33125,1902,Miami
25.7900318,-80.2193614,Northwest 14th Avenue,33125,1532,Miami
25.789818,-80.2193528,Northwest 14th Avenue,33125,1528,Miami
25.7994033,-80.2191604,Northwest 14th Avenue,33142,2425,Miami
25.7995371,-80.2191656,Northwest 14th Avenue,33142,2431,Miami
25.8011759,-80.2192964,Northwest 14th Avenue,33142,2655,Miami
25.7883533,-80.2194133,Northwest 14th Avenue,33125,1440,Miami
25.7880001,-80.2192644,Northwest 14th Avenue,33125,1428,Miami
25.7863821,-80.2192549,Northwest 14th Avenue,33125,1330,Miami
25.787641,-80.2192443,Northwest 14th Avenue,33125,1410,Miami
25.7866462,-80.2191728,Northwest 14th Avenue,33125,1370,Miami
25.7867943,-80.2191291,Northwest 14th Avenue,33125,1380,Miami
25.7887504,-80.2194941,Northwest 14th Avenue,33125,1468,Miami
25.7964758,-80.2196779,Northwest 14th Avenue,33142,2120,Miami
25.8048657,-80.2198999,Northwest 14th Avenue,33142,3010,Miami
25.8039101,-80.2198915,Northwest 14th Avenue,33142,2920,Miami
25.8080091,-80.2199519,Northwest 14th Avenue,33142,3400,Miami
25.8086043,-80.2195177,Northwest 14th Avenue,33142,3425,Miami
25.7884487,-80.2195074,Northwest 14th Avenue,33125,1444,Miami
25.822132,-80.2205084,Northwest 14th Avenue,33142,5116,Miami
25.8213751,-80.2204943,Northwest 14th Avenue,33142,5030,Miami
