lat,lon,street,postcode,housenumber,city
25.7841468,-80.1956581,Northwest 1st Avenue,33136,1035,Miami
25.7832032,-80.1967003,Northwest 1st Avenue,33136,918,Miami
25.7835095,-80.196582,Northwest 1st Avenue,33136,936,Miami
25.7840501,-80.1966504,Northwest 1st Avenue,33136,1012,Miami
25.7841884,-80.1966563,Northwest 1st Avenue,33136,1022,Miami
25.7830159,-80.196796,Northwest 1st Avenue,33136,914,Miami
25.7835364,-80.1966895,Northwest 1st Avenue,33136,940,Miami
25.7838842,-80.1966435,Northwest 1st Avenue,33136,1000,Miami
25.7826065,-80.1966024,Northwest 1st Avenue,33136,840,Miami
25.7876872,-80.1966885,Northwest 1st Avenue,33136,1332,Miami
25.7866576,-80.1966681,Northwest 1st Avenue,33136,1236,Miami
25.7874497,-80.1966499,Northwest 1st Avenue,33136,1324,Miami
25.786394,-80.196646,Northwest 1st Avenue,33136,1220,Miami
25.7861187,-80.1966332,Northwest 1st Avenue,33136,1200,Miami
25.7885812,-80.1963526,Northwest 1st Avenue,33136,1401,Miami
25.7890439,-80.1963121,Northwest 1st Avenue,33136,1445,Miami
25.7896602,-80.1962604,Northwest 1st Avenue,33136,1501,Miami
25.7897603,-80.1968023,Northwest 1st Avenue,33136,1520,Miami
25.7898707,-80.1968009,Northwest 1st Avenue,33136,1524,Miami
25.7901558,-80.1968022,Northwest 1st Avenue,33136,1540,Miami
25.7901579,-80.1962052,Northwest 1st Avenue,33136,1551,Miami
25.790351,-80.1969075,Northwest 1st Avenue,33136,1558,Miami
25.7899976,-80.1968743,Northwest 1st Avenue,33136,1534,Miami
25.7888553,-80.1968431,Northwest 1st Avenue,33136,1428,Miami
25.7886433,-80.1968249,Northwest 1st Avenue,33136,1422,Miami
25.7890706,-80.1968118,Northwest 1st Avenue,33136,1444,Miami
25.7895552,-80.1967966,Northwest 1st Avenue,33136,1508,Miami
25.7896817,-80.1967942,Northwest 1st Avenue,33136,1516,Miami
25.792345,-80.1957105,Northwest 1st Avenue,33136,1799,Miami
25.7924001,-80.1954939,Northwest 1st Avenue,33136,1845,Miami
25.7937509,-80.1970447,Northwest 1st Avenue,33136,1820,Miami
25.7936739,-80.1970421,Northwest 1st Avenue,33136,1818,Miami
25.7936021,-80.1970396,Northwest 1st Avenue,33136,1816,Miami
25.7935266,-80.1970371,Northwest 1st Avenue,33136,1814,Miami
25.7934558,-80.1970347,Northwest 1st Avenue,33136,1812,Miami
25.7933777,-80.197032,Northwest 1st Avenue,33136,1810,Miami
25.7933025,-80.1970295,Northwest 1st Avenue,33136,1808,Miami
25.7932329,-80.1970271,Northwest 1st Avenue,33136,1806,Miami
25.7931677,-80.1970249,Northwest 1st Avenue,33136,1804,Miami
25.7930975,-80.1970225,Northwest 1st Avenue,33136,1802,Miami
25.7930057,-80.1970193,Northwest 1st Avenue,33136,1800,Miami
25.7948779,-80.1970169,Northwest 1st Avenue,33136,1950,Miami
25.7938575,-80.1969832,Northwest 1st Avenue,33136,1896,Miami
25.7940502,-80.1969677,Northwest 1st Avenue,33136,1898,Miami
25.7950059,-80.1964607,Northwest 1st Avenue,33136,1941,Miami
25.794644,-80.1964508,Northwest 1st Avenue,33136,1933,Miami
25.7923353,-80.1961824,Northwest 1st Avenue,33136,1775,Miami
25.7933733,-80.1961654,Northwest 1st Avenue,33136,1849,Miami
25.7948408,-80.1964557,Northwest 1st Avenue,33136,1931,Miami
25.7944547,-80.1964443,Northwest 1st Avenue,33136,1909,Miami
25.7943351,-80.1964394,Northwest 1st Avenue,33136,1901,Miami
25.796214,-80.1970539,Northwest 1st Avenue,33127,2040,Miami
25.7965057,-80.1970595,Northwest 1st Avenue,33127,2052,Miami
25.7960643,-80.1970509,Northwest 1st Avenue,33127,2030,Miami
25.7977716,-80.1965163,Northwest 1st Avenue,33127,2143,Miami
25.7962005,-80.1965075,Northwest 1st Avenue,33127,2035,Miami
25.797445,-80.196509,Northwest 1st Avenue,33127,2135,Miami
25.7965381,-80.1964962,Northwest 1st Avenue,33127,2045,Miami
25.797193,-80.196501,Northwest 1st Avenue,33127,2127,Miami
25.7959824,-80.1964919,Northwest 1st Avenue,33127,2025,Miami
25.8013137,-80.1972746,Northwest 1st Avenue,33127,2520,Miami
25.8011088,-80.19727,Northwest 1st Avenue,33127,2514,Miami
25.8010147,-80.1972677,Northwest 1st Avenue,33127,2508,Miami
25.8027813,-80.19701,Northwest 1st Avenue,33127,2727,Miami
25.8032723,-80.1970269,Northwest 1st Avenue,33127,2819,Miami
25.8044776,-80.1970702,Northwest 1st Avenue,33127,2925,Miami
25.8031148,-80.1973433,Northwest 1st Avenue,33127,2804,Miami
25.8032184,-80.1973927,Northwest 1st Avenue,33127,2810,Miami
25.8028234,-80.197323,Northwest 1st Avenue,33127,2734,Miami
25.8026636,-80.197318,Northwest 1st Avenue,33127,2724,Miami
25.805002,-80.1970893,Northwest 1st Avenue,33127,3003,Miami
25.8051304,-80.1970875,Northwest 1st Avenue,33127,3023,Miami
25.8079538,-80.1971885,Northwest 1st Avenue,33127,3333,Miami
25.8033542,-80.1973876,Northwest 1st Avenue,33127,2820,Miami
25.8035337,-80.1973501,Northwest 1st Avenue,33127,2828,Miami
25.8037197,-80.1973565,Northwest 1st Avenue,33127,2838,Miami
25.8042421,-80.1974548,Northwest 1st Avenue,33127,2900,Miami
