lat,lon,street,postcode,housenumber,city
25.7825957,-80.1969589,Northwest 1st Court,33136,847,Miami
25.7844456,-80.1974629,Northwest 1st Court,33136,1040,Miami
25.7870346,-80.1974267,Northwest 1st Court,33136,1300,Miami
25.7866314,-80.1974127,Northwest 1st Court,33136,1238,Miami
25.7863612,-80.1974014,Northwest 1st Court,33136,1218,Miami
25.7877492,-80.1973979,Northwest 1st Court,33136,1348,Miami
25.7862248,-80.1973958,Northwest 1st Court,33136,1212,Miami
25.7855716,-80.1973744,Northwest 1st Court,33136,1142,Miami
25.7854308,-80.197367,Northwest 1st Court,33136,1134,Miami
25.7876809,-80.1970115,Northwest 1st Court,33136,1337,Miami
25.7867794,-80.1969602,Northwest 1st Court,33136,1241,Miami
25.7866485,-80.1969546,Northwest 1st Court,33136,1239,Miami
25.7863842,-80.1969437,Northwest 1st Court,33136,1219,Miami
25.7858608,-80.1969191,Northwest 1st Court,33136,1159,Miami
25.7857373,-80.1969129,Northwest 1st Court,33136,1151,Miami
25.7856009,-80.196906,Northwest 1st Court,33136,1145,Miami
25.7854581,-80.196899,Northwest 1st Court,33136,1135,Miami
25.7853024,-80.1968913,Northwest 1st Court,33136,1129,Miami
25.7875064,-80.1968848,Northwest 1st Court,33136,1325,Miami
25.7885073,-80.1972502,Northwest 1st Court,33136,1421,Miami
25.78844,-80.1977505,Northwest 1st Court,33136,1410,Miami
25.7885911,-80.1977607,Northwest 1st Court,33136,1418,Miami
25.7883485,-80.1976524,Northwest 1st Court,33136,1400,Miami
25.7886299,-80.1972748,Northwest 1st Court,33136,1425,Miami
25.7887319,-80.1977596,Northwest 1st Court,33136,1426,Miami
25.7888787,-80.1972608,Northwest 1st Court,33136,1435,Miami
25.7891534,-80.1973706,Northwest 1st Court,33136,1451,Miami
25.7897617,-80.197783,Northwest 1st Court,33136,1520,Miami
25.7901876,-80.1973057,Northwest 1st Court,33136,1541,Miami
25.7902888,-80.197313,Northwest 1st Court,33136,1553,Miami
25.7901062,-80.1973028,Northwest 1st Court,33136,1539,Miami
25.7887902,-80.1972581,Northwest 1st Court,33136,1433,Miami
25.7905836,-80.1978079,Northwest 1st Court,33136,1600,Miami
25.7908067,-80.1978169,Northwest 1st Court,33136,1614,Miami
25.7909024,-80.1973144,Northwest 1st Court,33136,1629,Miami
25.7910209,-80.1973183,Northwest 1st Court,33136,1635,Miami
25.7910978,-80.1978282,Northwest 1st Court,33136,1624,Miami
25.7911073,-80.1973212,Northwest 1st Court,33136,1639,Miami
25.7912399,-80.1973256,Northwest 1st Court,33136,1643,Miami
25.7912556,-80.1978343,Northwest 1st Court,33136,1646,Miami
25.7913871,-80.1973295,Northwest 1st Court,33136,1695,Miami
25.7917121,-80.1977652,Northwest 1st Court,33136,1700,Miami
25.7919389,-80.1979203,Northwest 1st Court,33136,1710,Miami
25.7906969,-80.1973074,Northwest 1st Court,33136,1613,Miami
25.7907772,-80.1973101,Northwest 1st Court,33136,1619,Miami
25.794587,-80.1981723,Northwest 1st Court,33136,1940,Miami
25.7947541,-80.1981546,Northwest 1st Court,33136,1934,Miami
25.7949552,-80.198087,Northwest 1st Court,33136,1942,Miami
25.7929975,-80.1974869,Northwest 1st Court,33136,1801,Miami
25.793724,-80.19745,Northwest 1st Court,33136,1851,Miami
25.7946978,-80.1974096,Northwest 1st Court,33136,1905,Miami
25.7926442,-80.1973583,Northwest 1st Court,33136,1765,Miami
25.7938498,-80.1973542,Northwest 1st Court,33136,1897,Miami
25.7935861,-80.1973322,Northwest 1st Court,33136,1849,Miami
25.7935155,-80.19733,Northwest 1st Court,33136,1847,Miami
25.793451,-80.1973282,Northwest 1st Court,33136,1845,Miami
25.7933841,-80.1973262,Northwest 1st Court,33136,1843,Miami
25.7932971,-80.1973231,Northwest 1st Court,33136,1841,Miami
25.7989294,-80.1975383,Northwest 1st Court,33127,2260,Miami
25.7983484,-80.1975239,Northwest 1st Court,33127,2201,Miami
25.797914,-80.1975156,Northwest 1st Court,33127,2159,Miami
25.797765,-80.1975115,Northwest 1st Court,33127,2151,Miami
25.7976114,-80.1975041,Northwest 1st Court,33127,2141,Miami
25.7970418,-80.1974913,Northwest 1st Court,33127,2125,Miami
25.7969065,-80.1974876,Northwest 1st Court,33127,2105,Miami
25.7958985,-80.1974633,Northwest 1st Court,33127,2019,Miami
25.7957821,-80.1979549,Northwest 1st Court,33127,2010,Miami
25.7960064,-80.1979564,Northwest 1st Court,33127,2022,Miami
25.7961988,-80.1979635,Northwest 1st Court,33127,2024,Miami
25.79633,-80.1979662,Northwest 1st Court,33127,2040,Miami
25.7981876,-80.1979991,Northwest 1st Court,33127,2200,Miami
25.7983299,-80.1980021,Northwest 1st Court,33127,2210,Miami
25.7984683,-80.1980052,Northwest 1st Court,33127,2220,Miami
25.7986105,-80.1980084,Northwest 1st Court,33127,2228,Miami
25.7988896,-80.1980145,Northwest 1st Court,33127,2244,Miami
