lat,lon,street,postcode,housenumber,city
25.7872571,-80.1977995,Northwest 1st Place,33136,1317,Miami
25.7879138,-80.1977372,Northwest 1st Place,33136,1357,Miami
25.785549,-80.1977345,Northwest 1st Place,33136,1141,Miami
25.786448,-80.1977309,Northwest 1st Place,33136,1227,Miami
25.7871717,-80.1977222,Northwest 1st Place,33136,1311,Miami
25.786622,-80.1976989,Northwest 1st Place,33136,1235,Miami
25.7864879,-80.1976938,Northwest 1st Place,33136,1229,Miami
25.7863519,-80.1976808,Northwest 1st Place,33136,1219,Miami
25.7862155,-80.1976755,Northwest 1st Place,33136,1213,Miami
25.785702,-80.1976558,Northwest 1st Place,33136,1149,Miami
25.785417,-80.1976444,Northwest 1st Place,33136,1133,Miami
25.78513,-80.19764,Northwest 1st Place,33136,1121,Miami
25.7872906,-80.1982016,Northwest 1st Place,33136,1318,Miami
25.7871573,-80.1981958,Northwest 1st Place,33136,1310,Miami
25.7885775,-80.1984512,Northwest 1st Place,33136,1420,Miami
25.788604,-80.1980811,Northwest 1st Place,33136,1417,Miami
25.7884905,-80.1980699,Northwest 1st Place,33136,1413,Miami
25.7883571,-80.1980305,Northwest 1st Place,33136,1407,Miami
25.7886541,-80.1984523,Northwest 1st Place,33136,1426,Miami
25.7886803,-80.1980758,Northwest 1st Place,33136,1425,Miami
25.7887698,-80.1980788,Northwest 1st Place,33136,1427,Miami
25.7889143,-80.1985409,Northwest 1st Place,33136,1440,Miami
25.7889981,-80.1984739,Northwest 1st Place,33136,1446,Miami
25.7890696,-80.1985456,Northwest 1st Place,33136,1452,Miami
25.7894772,-80.1984657,Northwest 1st Place,33136,1504,Miami
25.7896785,-80.1980454,Northwest 1st Place,33136,1525,Miami
25.789905,-80.1981122,Northwest 1st Place,33136,1531,Miami
25.7899777,-80.1985643,Northwest 1st Place,33136,1532,Miami
25.7899872,-80.1981153,Northwest 1st Place,33136,1533,Miami
25.7906757,-80.1981393,Northwest 1st Place,33136,1607,Miami
25.7917281,-80.1982407,Northwest 1st Place,33136,1703,Miami
25.7918555,-80.1986043,Northwest 1st Place,33136,1720,Miami
25.7918604,-80.1982453,Northwest 1st Place,33136,1717,Miami
25.7920258,-80.1981787,Northwest 1st Place,33136,1721,Miami
25.793538,-80.1981723,Northwest 1st Place,33136,1801,Miami
25.7939552,-80.1987008,Northwest 1st Place,33136,1858,Miami
25.7934557,-80.1986737,Northwest 1st Place,33136,1834,Miami
25.7945685,-80.1986726,Northwest 1st Place,33136,1940,Miami
25.7931417,-80.1986668,Northwest 1st Place,33136,1804,Miami
25.7936376,-80.1986649,Northwest 1st Place,33136,1838,Miami
25.7942369,-80.1986631,Northwest 1st Place,33136,1900,Miami
25.7944004,-80.1986631,Northwest 1st Place,33136,1920,Miami
25.7929804,-80.1986608,Northwest 1st Place,33136,1800,Miami
25.7943086,-80.1986595,Northwest 1st Place,33136,1910,Miami
25.7946582,-80.1986551,Northwest 1st Place,33136,1944,Miami
25.7937976,-80.1986538,Northwest 1st Place,33136,1852,Miami
25.7944805,-80.1986499,Northwest 1st Place,33136,1930,Miami
25.7927158,-80.1986384,Northwest 1st Place,33136,1798,Miami
25.7924621,-80.1986314,Northwest 1st Place,33136,1756,Miami
25.7923797,-80.1986295,Northwest 1st Place,33136,1746,Miami
25.7922979,-80.1986274,Northwest 1st Place,33136,1742,Miami
25.7921701,-80.1985377,Northwest 1st Place,33136,1740,Miami
25.7951857,-80.1986726,Northwest 1st Place,33136,1994,Miami
25.7952733,-80.1987115,Northwest 1st Place,33136,1998,Miami
25.7959078,-80.1982948,Northwest 1st Place,33127,2021,Miami
25.7960502,-80.1982978,Northwest 1st Place,33127,2033,Miami
25.7961776,-80.1983004,Northwest 1st Place,33127,2035,Miami
25.7963148,-80.1983033,Northwest 1st Place,33127,2039,Miami
25.7983119,-80.1983373,Northwest 1st Place,33127,2200,Miami
25.798445,-80.1984671,Northwest 1st Place,33127,2215,Miami
25.7987093,-80.1986933,Northwest 1st Place,33127,2242,Miami
25.7987407,-80.1983506,Northwest 1st Place,33127,2237,Miami
25.7988645,-80.1984606,Northwest 1st Place,33127,2247,Miami
25.7989994,-80.1984652,Northwest 1st Place,33127,2249,Miami
