lat,lon,street,postcode,housenumber,city
25.7965602,-80.1976066,Northwest 21st Street,33127,134,Miami
25.796564,-80.1974803,Northwest 21st Street,33127,128,Miami
25.7966758,-80.196076,Northwest 21st Street,33127,50,Miami
25.7965677,-80.197354,Northwest 21st Street,33127,120,Miami
25.796468,-80.199848,Northwest 21st Street,33127,240,Miami
25.7965141,-80.1983012,Northwest 21st Street,33127,172,Miami
25.7965858,-80.1995489,Northwest 21st Street,33127,224,Miami
25.7970083,-80.1979879,Northwest 21st Street,33127,155,Miami
25.7970571,-80.2000189,Northwest 21st Street,33127,255,Miami
25.7957012,-80.2092616,Northwest 21st Street,33127,800,Miami
25.7959452,-80.2087465,Northwest 21st Street,33127,768,Miami
25.7957755,-80.2087353,Northwest 21st Street,33127,788,Miami
25.7963383,-80.208641,Northwest 21st Street,33127,775,Miami
25.7964075,-80.2085271,Northwest 21st Street,33127,769,Miami
25.7964113,-80.2084085,Northwest 21st Street,33127,763,Miami
25.7959225,-80.2082919,Northwest 21st Street,33127,760,Miami
25.796423,-80.2080301,Northwest 21st Street,33127,747,Miami
25.7964292,-80.2078484,Northwest 21st Street,33127,741,Miami
25.7964367,-80.2076056,Northwest 21st Street,33127,725,Miami
25.7959978,-80.2074803,Northwest 21st Street,33127,720,Miami
25.7957241,-80.2136219,Northwest 21st Street,33127,1100,Miami
25.7963062,-80.2123004,Northwest 21st Street,33127,1055,Miami
25.7957814,-80.211881,Northwest 21st Street,33127,1052,Miami
25.796262,-80.2114107,Northwest 21st Street,33127,1021,Miami
25.7963572,-80.2102197,Northwest 21st Street,33127,855,Miami
25.7963613,-80.2100939,Northwest 21st Street,33127,845,Miami
25.7964653,-80.2098844,Northwest 21st Street,33127,833,Miami
25.7964818,-80.2096975,Northwest 21st Street,33127,829,Miami
25.795748,-80.2129693,Northwest 21st Street,33127,1098,Miami
25.7957618,-80.2124996,Northwest 21st Street,33127,1068,Miami
25.7963007,-80.2124544,Northwest 21st Street,33127,1065,Miami
25.7957507,-80.2123473,Northwest 21st Street,33127,1058,Miami
25.7955824,-80.2215224,Northwest 21st Street,33142,1500,Miami
25.796044,-80.2209839,Northwest 21st Street,33142,1481,Miami
25.7960481,-80.2208278,Northwest 21st Street,33142,1471,Miami
25.7955323,-80.2204117,Northwest 21st Street,33142,1450,Miami
25.7960601,-80.2203617,Northwest 21st Street,33142,1455,Miami
25.7960641,-80.2202081,Northwest 21st Street,33142,1445,Miami
25.7954896,-80.2198727,Northwest 21st Street,33142,1440,Miami
25.7960749,-80.219819,Northwest 21st Street,33142,1427,Miami
25.795558,-80.2194804,Northwest 21st Street,33142,1400,Miami
25.7960318,-80.2194139,Northwest 21st Street,33142,1401,Miami
25.7959899,-80.2191117,Northwest 21st Street,33142,1395,Miami
25.796112,-80.2187846,Northwest 21st Street,33142,1375,Miami
25.7956169,-80.2186598,Northwest 21st Street,33142,1380,Miami
25.7961172,-80.2185669,Northwest 21st Street,33142,1367,Miami
25.7961212,-80.2184155,Northwest 21st Street,33142,1355,Miami
25.7961024,-80.2182566,Northwest 21st Street,33142,1347,Miami
25.7961298,-80.218102,Northwest 21st Street,33142,1335,Miami
25.7956105,-80.2180711,Northwest 21st Street,33142,1352,Miami
25.7965387,-80.2163004,Northwest 21st Street,33142,1245,Miami
