lat,lon,street,postcode,housenumber,city
25.7968024,-80.2093753,Northwest 21st Terrace,33127,804,Miami
25.7968059,-80.2088814,Northwest 21st Terrace,33127,782,Miami
25.7968222,-80.2079266,Northwest 21st Terrace,33127,740,Miami
25.7968049,-80.2085453,Northwest 21st Terrace,33127,776,Miami
25.7968189,-80.2080483,Northwest 21st Terrace,33127,750,Miami
25.7968257,-80.2078029,Northwest 21st Terrace,33127,734,Miami
25.7968291,-80.2076779,Northwest 21st Terrace,33127,728,Miami
25.7970051,-80.2144827,Northwest 21st Terrace,33127,1160,Miami
25.797043,-80.2136586,Northwest 21st Terrace,33127,1130,Miami
25.7965106,-80.2105232,Northwest 21st Terrace,33127,868,Miami
25.7967462,-80.210231,Northwest 21st Terrace,33127,850,Miami
25.7967508,-80.2101054,Northwest 21st Terrace,33127,846,Miami
25.7967662,-80.2098651,Northwest 21st Terrace,33127,840,Miami
25.7967647,-80.2097406,Northwest 21st Terrace,33127,828,Miami
25.7970744,-80.2119442,Northwest 21st Terrace,33127,1020,Miami
25.7973504,-80.2082646,Northwest 21st Terrace,33127,765,Miami
25.7973537,-80.2081426,Northwest 21st Terrace,33127,757,Miami
25.7973575,-80.2080144,Northwest 21st Terrace,33127,745,Miami
25.7973619,-80.2078772,Northwest 21st Terrace,33127,743,Miami
25.7973646,-80.2077537,Northwest 21st Terrace,33127,735,Miami
25.7973677,-80.2076207,Northwest 21st Terrace,33127,725,Miami
25.797407,-80.2063731,Northwest 21st Terrace,33127,661,Miami
25.7975758,-80.2117635,Northwest 21st Terrace,33127,1035,Miami
25.7972651,-80.210911,Northwest 21st Terrace,33127,995,Miami
25.7972684,-80.2108,Northwest 21st Terrace,33127,911,Miami
25.7972722,-80.2106801,Northwest 21st Terrace,33127,867,Miami
25.7972757,-80.2105608,Northwest 21st Terrace,33127,865,Miami
25.7972797,-80.2104366,Northwest 21st Terrace,33127,861,Miami
25.797305,-80.2099006,Northwest 21st Terrace,33127,831,Miami
25.7973024,-80.209685,Northwest 21st Terrace,33127,803,Miami
25.797334,-80.2088754,Northwest 21st Terrace,33127,795,Miami
25.7973734,-80.2087591,Northwest 21st Terrace,33127,777,Miami
25.7973404,-80.20864,Northwest 21st Terrace,33127,775,Miami
25.797344,-80.2085114,Northwest 21st Terrace,33127,773,Miami
25.7975379,-80.2129628,Northwest 21st Terrace,33127,1083,Miami
25.7964241,-80.2215203,Northwest 21st Terrace,33142,1500,Miami
25.7964358,-80.2211366,Northwest 21st Terrace,33142,1490,Miami
25.7964396,-80.221003,Northwest 21st Terrace,33142,1480,Miami
25.7964441,-80.2208487,Northwest 21st Terrace,33142,1470,Miami
25.7960758,-80.2205962,Northwest 21st Terrace,33142,1440,Miami
25.7964529,-80.2205332,Northwest 21st Terrace,33142,1460,Miami
25.796457,-80.2203789,Northwest 21st Terrace,33142,1450,Miami
25.7962908,-80.2201393,Northwest 21st Terrace,33142,1430,Miami
25.7969913,-80.2199866,Northwest 21st Terrace,33142,1415,Miami
25.7969907,-80.2195324,Northwest 21st Terrace,33142,1405,Miami
25.7965035,-80.2186975,Northwest 21st Terrace,33142,1360,Miami
25.7965238,-80.2181144,Northwest 21st Terrace,33142,1354,Miami
25.7970357,-80.217913,Northwest 21st Terrace,33142,1329,Miami
25.7965312,-80.2178876,Northwest 21st Terrace,33142,1326,Miami
25.7970395,-80.2177621,Northwest 21st Terrace,33142,1309,Miami
