lat,lon,street,postcode,housenumber,city
25.7993331,-80.1978503,Northwest 23rd Street,33127,137,Miami
25.7993382,-80.1976922,Northwest 23rd Street,33127,127,Miami
25.7993734,-80.196625,Northwest 23rd Street,33127,105,Miami
25.7994498,-80.1957013,Northwest 23rd Street,33127,31,Miami
25.7989747,-80.1954251,Northwest 23rd Street,33127,18,Miami
25.7993531,-80.1972419,Northwest 23rd Street,33127,115,Miami
25.7993784,-80.1964739,Northwest 23rd Street,33127,75,Miami
25.7993834,-80.1963214,Northwest 23rd Street,33127,69,Miami
25.7995752,-80.1960203,Northwest 23rd Street,33127,53,Miami
25.7995821,-80.1961745,Northwest 23rd Street,33127,65,Miami
25.7997039,-80.1971019,Northwest 23rd Street,33127,95,Miami
25.7990399,-80.1988585,Northwest 23rd Street,33127,174,Miami
25.7990411,-80.1987831,Northwest 23rd Street,33127,172,Miami
25.7990666,-80.198294,Northwest 23rd Street,33127,170,Miami
25.7993064,-80.1985753,Northwest 23rd Street,33127,171,Miami
25.7993127,-80.198466,Northwest 23rd Street,33127,169,Miami
25.7991986,-80.2067312,Northwest 23rd Street,33127,685,Miami
25.7987554,-80.2064839,Northwest 23rd Street,33127,670,Miami
25.7987587,-80.206368,Northwest 23rd Street,33127,656,Miami
25.7987623,-80.2062455,Northwest 23rd Street,33127,654,Miami
25.798671,-80.206151,Northwest 23rd Street,33127,652,Miami
25.7987727,-80.2058841,Northwest 23rd Street,33127,636,Miami
25.7987692,-80.2059955,Northwest 23rd Street,33127,644,Miami
25.7986989,-80.2114687,Northwest 23rd Street,33127,1034,Miami
25.798971,-80.2113536,Northwest 23rd Street,33127,1000,Miami
25.7986103,-80.2106263,Northwest 23rd Street,33127,920,Miami
25.7985746,-80.2100838,Northwest 23rd Street,33127,864,Miami
25.798582,-80.2098187,Northwest 23rd Street,33127,850,Miami
25.7986111,-80.2096093,Northwest 23rd Street,33127,820,Miami
25.7990709,-80.2090491,Northwest 23rd Street,33127,773,Miami
25.7990756,-80.2089139,Northwest 23rd Street,33127,771,Miami
25.7991835,-80.2087144,Northwest 23rd Street,33127,761,Miami
25.7992656,-80.2124288,Northwest 23rd Street,33127,1065,Miami
25.799274,-80.2122012,Northwest 23rd Street,33127,1051,Miami
25.7992864,-80.2118649,Northwest 23rd Street,33127,1031,Miami
25.7992912,-80.2117381,Northwest 23rd Street,33127,1025,Miami
25.7992513,-80.2066125,Northwest 23rd Street,33127,675,Miami
25.7992553,-80.2064888,Northwest 23rd Street,33127,665,Miami
25.7992596,-80.2063596,Northwest 23rd Street,33127,655,Miami
25.7992637,-80.2062315,Northwest 23rd Street,33127,645,Miami
25.7992689,-80.2060267,Northwest 23rd Street,33127,635,Miami
25.7992765,-80.2058375,Northwest 23rd Street,33127,629,Miami
25.7988067,-80.2047997,Northwest 23rd Street,33127,590,Miami
25.798827,-80.2040431,Northwest 23rd Street,33127,540,Miami
25.7988944,-80.2032616,Northwest 23rd Street,33127,500,Miami
25.7988111,-80.2046245,Northwest 23rd Street,33127,580,Miami
25.7988366,-80.2036943,Northwest 23rd Street,33127,524,Miami
25.7988457,-80.2035594,Northwest 23rd Street,33127,518,Miami
25.7988495,-80.2034676,Northwest 23rd Street,33127,514,Miami
25.798893,-80.2033731,Northwest 23rd Street,33127,508,Miami
25.7988241,-80.2041495,Northwest 23rd Street,33127,550,Miami
25.7988737,-80.2204481,Northwest 23rd Street,33142,1455,Miami
25.7983168,-80.2203016,Northwest 23rd Street,33142,1412,Miami
25.7987877,-80.2201572,Northwest 23rd Street,33142,1439,Miami
25.7983289,-80.2200837,Northwest 23rd Street,33142,1410,Miami
25.7987798,-80.2200101,Northwest 23rd Street,33142,1431,Miami
25.7983448,-80.2198834,Northwest 23rd Street,33142,1406,Miami
25.7988453,-80.219838,Northwest 23rd Street,33142,1423,Miami
25.7988518,-80.2196931,Northwest 23rd Street,33142,1401,Miami
25.7983515,-80.2196508,Northwest 23rd Street,33142,1400,Miami
25.798385,-80.2189772,Northwest 23rd Street,33142,1380,Miami
25.7984014,-80.2185041,Northwest 23rd Street,33142,1360,Miami
25.7987828,-80.2181172,Northwest 23rd Street,33142,1335,Miami
25.7984161,-80.2180937,Northwest 23rd Street,33142,1344,Miami
25.7988529,-80.2174636,Northwest 23rd Street,33142,1301,Miami
25.7988399,-80.2168347,Northwest 23rd Street,33142,1299,Miami
25.7988922,-80.2161211,Northwest 23rd Street,33142,1251,Miami
25.7989094,-80.2155488,Northwest 23rd Street,33142,1201,Miami
25.7992841,-80.2004104,Northwest 23rd Street,33127,270,Miami
25.7992015,-80.2015769,Northwest 23rd Street,33127,318,Miami
