lat,lon,street,postcode,housenumber,city
25.8027842,-80.1968624,Northwest 28th Street,33127,92,Miami
25.8027892,-80.1967085,Northwest 28th Street,33127,82,Miami
25.8027941,-80.1965539,Northwest 28th Street,33127,74,Miami
25.8028037,-80.1962512,Northwest 28th Street,33127,64,Miami
25.802822,-80.1960194,Northwest 28th Street,33127,50,Miami
25.8028247,-80.1958751,Northwest 28th Street,33127,44,Miami
25.8028292,-80.1957385,Northwest 28th Street,33127,34,Miami
25.8028371,-80.1956057,Northwest 28th Street,33127,24,Miami
25.8032768,-80.1968787,Northwest 28th Street,33127,85,Miami
25.8032813,-80.1967272,Northwest 28th Street,33127,79,Miami
25.8032859,-80.196572,Northwest 28th Street,33127,75,Miami
25.8032906,-80.1964173,Northwest 28th Street,33127,63,Miami
25.8032951,-80.1962646,Northwest 28th Street,33127,59,Miami
25.8032997,-80.1961105,Northwest 28th Street,33127,51,Miami
25.8026296,-80.1986527,Northwest 28th Street,33127,178,Miami
25.8027126,-80.1988111,Northwest 28th Street,33127,184,Miami
25.8027238,-80.198506,Northwest 28th Street,33127,166,Miami
25.802745,-80.1979405,Northwest 28th Street,33127,146,Miami
25.8027508,-80.1977834,Northwest 28th Street,33127,128,Miami
25.8027565,-80.1976306,Northwest 28th Street,33127,120,Miami
25.8027838,-80.1986602,Northwest 28th Street,33127,176,Miami
25.8031101,-80.1975152,Northwest 28th Street,33127,111,Miami
25.8032165,-80.1988583,Northwest 28th Street,33127,187,Miami
25.8032215,-80.1986945,Northwest 28th Street,33127,179,Miami
25.803226,-80.1985394,Northwest 28th Street,33127,169,Miami
25.802734,-80.1982295,Northwest 28th Street,33127,150,Miami
25.802099,-80.2086731,Northwest 28th Street,33127,710,Miami
25.8023174,-80.2115517,Northwest 28th Street,33127,1002,Miami
25.802628,-80.2131421,Northwest 28th Street,33127,1093,Miami
25.8026307,-80.2130718,Northwest 28th Street,33127,1091,Miami
25.8027965,-80.2128741,Northwest 28th Street,33127,1075,Miami
25.8028093,-80.212416,Northwest 28th Street,33127,1053,Miami
25.802816,-80.2119625,Northwest 28th Street,33127,1029,Miami
25.8029029,-80.2090278,Northwest 28th Street,33127,781,Miami
25.8028209,-80.2108729,Northwest 28th Street,33127,925,Miami
25.8028577,-80.2091749,Northwest 28th Street,33127,795,Miami
25.8029075,-80.2088756,Northwest 28th Street,33127,777,Miami
25.8029068,-80.2087326,Northwest 28th Street,33127,771,Miami
25.8028723,-80.2085854,Northwest 28th Street,33127,765,Miami
25.8022544,-80.2075623,Northwest 28th Street,33127,700,Miami
25.8024489,-80.2062593,Northwest 28th Street,33127,652,Miami
25.8027681,-80.2079211,Northwest 28th Street,33127,1145,Miami
25.8028466,-80.207814,Northwest 28th Street,33127,719,Miami
25.8028797,-80.2081236,Northwest 28th Street,33127,755,Miami
25.8028887,-80.2079694,Northwest 28th Street,33127,731,Miami
25.8029391,-80.2068394,Northwest 28th Street,33127,697,Miami
25.8029047,-80.2063364,Northwest 28th Street,33127,653,Miami
25.8024304,-80.2047861,Northwest 28th Street,33127,576,Miami
25.8024662,-80.2042854,Northwest 28th Street,33127,552,Miami
25.8024688,-80.2041993,Northwest 28th Street,33127,550,Miami
25.8024771,-80.2040729,Northwest 28th Street,33127,540,Miami
25.8024825,-80.2039131,Northwest 28th Street,33127,532,Miami
25.8024876,-80.2037615,Northwest 28th Street,33127,524,Miami
25.8025553,-80.2025284,Northwest 28th Street,33127,448,Miami
25.8025626,-80.2023606,Northwest 28th Street,33127,444,Miami
25.8030327,-80.203833,Northwest 28th Street,33127,523,Miami
25.8030842,-80.2022729,Northwest 28th Street,33127,355,Miami
25.8020715,-80.2184418,Northwest 28th Street,33142,1350,Miami
25.8021165,-80.216813,Northwest 28th Street,33142,1270,Miami
25.802133,-80.2161997,Northwest 28th Street,33142,1236,Miami
25.8021916,-80.2150438,Northwest 28th Street,33127,1180,Miami
25.8025557,-80.2187696,Northwest 28th Street,33142,1369,Miami
25.8026031,-80.2187531,Northwest 28th Street,33142,1371,Miami
25.8027312,-80.2147032,Northwest 28th Street,33127,1171,Miami
25.8026072,-80.217694,Northwest 28th Street,33142,1311,Miami
25.80265,-80.2158996,Northwest 28th Street,33142,1215,Miami
25.8030912,-80.2025861,Northwest 28th Street,33127,415,Miami
25.8030964,-80.2021156,Northwest 28th Street,33127,345,Miami
25.8031133,-80.2016537,Northwest 28th Street,33127,317,Miami
25.8031245,-80.2013967,Northwest 28th Street,33127,309,Miami
25.803125,-80.2014998,Northwest 28th Street,33127,311,Miami
25.8031263,-80.2013087,Northwest 28th Street,33127,301,Miami
25.802654,-80.2004034,Northwest 28th Street,33127,260,Miami
25.8026782,-80.199621,Northwest 28th Street,33127,208,Miami
25.8031968,-80.1998595,Northwest 28th Street,33127,329,Miami
25.8031996,-80.2001497,Northwest 28th Street,33127,239,Miami
25.8032305,-80.1983909,Northwest 28th Street,33127,161,Miami
25.8032344,-80.1982563,Northwest 28th Street,33127,157,Miami
25.8032383,-80.1981241,Northwest 28th Street,33127,145,Miami
25.8032428,-80.1979731,Northwest 28th Street,33127,139,Miami
25.8032471,-80.1978251,Northwest 28th Street,33127,127,Miami
25.8030101,-80.2046352,Northwest 28th Street,33127,565,Miami
25.8030146,-80.2044756,Northwest 28th Street,33127,559,Miami
25.8030161,-80.2043344,Northwest 28th Street,33127,549,Miami
25.8030201,-80.2042782,Northwest 28th Street,33127,547,Miami
25.8030216,-80.2042315,Northwest 28th Street,33127,545,Miami
25.8030282,-80.2039915,Northwest 28th Street,33127,529,Miami
25.8025567,-80.2213144,Northwest 28th Street,33142,1491,Miami
25.8025655,-80.2207823,Northwest 28th Street,33142,1437,Miami
