lat,lon,street,postcode,housenumber,city
25.8042293,-80.2078524,Northwest 29th Terrace,33127,718,Miami
25.8040944,-80.2118652,Northwest 29th Terrace,33127,1020,Miami
25.8041744,-80.2098413,Northwest 29th Terrace,33127,820,Miami
25.8040319,-80.2109211,Northwest 29th Terrace,33127,922,Miami
25.8041526,-80.2109188,Northwest 29th Terrace,33127,920,Miami
25.804592,-80.2108414,Northwest 29th Terrace,33127,913,Miami
25.8045948,-80.2106865,Northwest 29th Terrace,33127,911,Miami
25.8041713,-80.2099971,Northwest 29th Terrace,33127,828,Miami
25.8045294,-80.2096072,Northwest 29th Terrace,33127,797,Miami
25.804524,-80.2091755,Northwest 29th Terrace,33127,765,Miami
25.8041995,-80.2090716,Northwest 29th Terrace,33127,784,Miami
25.8042068,-80.2087713,Northwest 29th Terrace,33127,756,Miami
25.80466,-80.2084141,Northwest 29th Terrace,33127,735,Miami
25.8037989,-80.2177267,Northwest 29th Terrace,33142,1310,Miami
25.8038424,-80.2177429,Northwest 29th Terrace,33142,1312,Miami
25.8038195,-80.2172891,Northwest 29th Terrace,33142,1290,Miami
25.8038699,-80.2156598,Northwest 29th Terrace,33142,1200,Miami
25.8042421,-80.2182004,Northwest 29th Terrace,33142,1337,Miami
25.8044636,-80.2143054,Northwest 29th Terrace,33127,1145,Miami
