lat,lon,street,postcode,housenumber,city
25.7828875,-80.1982648,Northwest 2nd Avenue,33136,900,Miami
25.7832074,-80.198275,Northwest 2nd Avenue,33136,924,Miami
25.7832776,-80.1982774,Northwest 2nd Avenue,33136,930,Miami
25.7833464,-80.1982796,Northwest 2nd Avenue,33136,934,Miami
25.7834924,-80.1982841,Northwest 2nd Avenue,33136,936,Miami
25.7838837,-80.1983018,Northwest 2nd Avenue,33136,1000,Miami
25.7839767,-80.1978383,Northwest 2nd Avenue,33136,1013,Miami
25.7840469,-80.1978401,Northwest 2nd Avenue,33136,1015,Miami
25.7840759,-80.1982986,Northwest 2nd Avenue,33136,1020,Miami
25.7841857,-80.1978437,Northwest 2nd Avenue,33136,1025,Miami
25.7842039,-80.1982495,Northwest 2nd Avenue,33136,1024,Miami
25.7838514,-80.197835,Northwest 2nd Avenue,33136,1009,Miami
25.7832419,-80.1975076,Northwest 2nd Avenue,33136,919,Miami
25.7876269,-80.1986098,Northwest 2nd Avenue,33136,1343,Miami
25.7875269,-80.1984917,Northwest 2nd Avenue,33136,1337,Miami
25.7870128,-80.1984692,Northwest 2nd Avenue,33136,1305,Miami
25.7855366,-80.1984648,Northwest 2nd Avenue,33136,1139,Miami
25.7857457,-80.1984125,Northwest 2nd Avenue,33136,1155,Miami
25.7863172,-80.1983687,Northwest 2nd Avenue,33136,1217,Miami
25.7875027,-80.1983341,Northwest 2nd Avenue,33136,1338,Miami
25.7843272,-80.1982656,Northwest 2nd Avenue,33136,1028,Miami
25.788444,-80.1988681,Northwest 2nd Avenue,33136,1406,Miami
25.7885667,-80.1988707,Northwest 2nd Avenue,33136,1418,Miami
25.7885759,-80.1985994,Northwest 2nd Avenue,33136,1421,Miami
25.7884685,-80.1985202,Northwest 2nd Avenue,33136,1415,Miami
25.7886409,-80.1990286,Northwest 2nd Avenue,33136,1420,Miami
25.7886538,-80.1986017,Northwest 2nd Avenue,33136,1425,Miami
25.7889964,-80.1986192,Northwest 2nd Avenue,33136,1445,Miami
25.7890736,-80.1988851,Northwest 2nd Avenue,33136,1520,Miami
25.7891412,-80.1985481,Northwest 2nd Avenue,33136,1453,Miami
25.7893642,-80.1988929,Northwest 2nd Avenue,33136,1448,Miami
25.7894064,-80.1985532,Northwest 2nd Avenue,33136,1503,Miami
25.7905826,-80.1986606,Northwest 2nd Avenue,33136,1603,Miami
25.7925,-80.1990428,Northwest 2nd Avenue,33136,1746,Miami
25.7921527,-80.1990023,Northwest 2nd Avenue,33136,1704,Miami
25.7932587,-80.1989575,Northwest 2nd Avenue,33136,1820,Miami
25.7931503,-80.1989546,Northwest 2nd Avenue,33136,1818,Miami
25.7930784,-80.1989528,Northwest 2nd Avenue,33136,1812,Miami
25.7933058,-80.198654,Northwest 2nd Avenue,33136,1829,Miami
25.7956132,-80.1991048,Northwest 2nd Avenue,33127,2000,Miami
25.7959452,-80.1986973,Northwest 2nd Avenue,33127,2021,Miami
25.796042,-80.1986814,Northwest 2nd Avenue,33127,2029,Miami
25.7960972,-80.1991578,Northwest 2nd Avenue,33127,2032,Miami
25.7962698,-80.198688,Northwest 2nd Avenue,33127,2041,Miami
25.7963277,-80.1991492,Northwest 2nd Avenue,33127,2034,Miami
25.7963772,-80.1986911,Northwest 2nd Avenue,33127,2049,Miami
25.7965939,-80.1992437,Northwest 2nd Avenue,33127,2046,Miami
25.7969222,-80.1987714,Northwest 2nd Avenue,33127,2103,Miami
25.7970897,-80.1987196,Northwest 2nd Avenue,33127,2111,Miami
25.7975551,-80.1987783,Northwest 2nd Avenue,33127,2141,Miami
25.7976416,-80.1987347,Northwest 2nd Avenue,33127,2145,Miami
25.7977703,-80.1987514,Northwest 2nd Avenue,33127,2151,Miami
25.7978692,-80.1987553,Northwest 2nd Avenue,33127,2153,Miami
25.7979918,-80.1993079,Northwest 2nd Avenue,33127,2200,Miami
25.7982355,-80.1988242,Northwest 2nd Avenue,33127,2215,Miami
25.7982854,-80.1991612,Northwest 2nd Avenue,33127,2230,Miami
25.7984373,-80.1988302,Northwest 2nd Avenue,33127,2219,Miami
25.7985823,-80.1988355,Northwest 2nd Avenue,33127,2229,Miami
25.7988711,-80.1988457,Northwest 2nd Avenue,33127,2235,Miami
25.7992559,-80.1988934,Northwest 2nd Avenue,33127,2301,Miami
25.7992579,-80.1992855,Northwest 2nd Avenue,33127,2268,Miami
25.7993227,-80.1988903,Northwest 2nd Avenue,33127,2311,Miami
25.7993824,-80.1992919,Northwest 2nd Avenue,33127,2294,Miami
25.7994254,-80.1988922,Northwest 2nd Avenue,33127,2315,Miami
25.7995473,-80.198894,Northwest 2nd Avenue,33127,2345,Miami
25.800378,-80.1984993,Northwest 2nd Avenue,33127,2455,Miami
25.8013185,-80.1993338,Northwest 2nd Avenue,33127,2550,Miami
25.8010509,-80.1993178,Northwest 2nd Avenue,33127,2516,Miami
25.7997093,-80.1993174,Northwest 2nd Avenue,33127,2300,Miami
25.8005773,-80.199251,Northwest 2nd Avenue,33127,2450,Miami
25.8003283,-80.1992451,Northwest 2nd Avenue,33127,2400,Miami
25.7997333,-80.1989045,Northwest 2nd Avenue,33127,2399,Miami
25.7997034,-80.1989023,Northwest 2nd Avenue,33127,2369,Miami
25.8005255,-80.1989017,Northwest 2nd Avenue,33127,2441,Miami
25.7996046,-80.1988989,Northwest 2nd Avenue,33127,2347,Miami
25.7996715,-80.1988985,Northwest 2nd Avenue,33127,2349,Miami
25.8004599,-80.1988971,Northwest 2nd Avenue,33127,2431,Miami
25.8002269,-80.1987724,Northwest 2nd Avenue,33127,2421,Miami
25.8023205,-80.1990003,Northwest 2nd Avenue,33127,2701,Miami
25.8024344,-80.1990076,Northwest 2nd Avenue,33127,2703,Miami
25.8026735,-80.1992964,Northwest 2nd Avenue,33127,2722,Miami
25.8026905,-80.1989724,Northwest 2nd Avenue,33127,2727,Miami
25.8027498,-80.1992999,Northwest 2nd Avenue,33127,2724,Miami
25.8028153,-80.1993008,Northwest 2nd Avenue,33127,2730,Miami
25.8032122,-80.199008,Northwest 2nd Avenue,33127,2801,Miami
25.8023611,-80.1994616,Northwest 2nd Avenue,33127,2700,Miami
25.8031686,-80.1995737,Northwest 2nd Avenue,33127,2800,Miami
25.8032568,-80.1993407,Northwest 2nd Avenue,33127,2812,Miami
25.8033246,-80.1994597,Northwest 2nd Avenue,33127,2818,Miami
25.8035753,-80.1994605,Northwest 2nd Avenue,33127,2838,Miami
25.8041295,-80.1990465,Northwest 2nd Avenue,33127,2901,Miami
25.8045338,-80.1993799,Northwest 2nd Avenue,33127,2948,Miami
25.804928,-80.1993703,Northwest 2nd Avenue,33127,3000,Miami
25.8054432,-80.1995824,Northwest 2nd Avenue,33127,3040,Miami
25.8057953,-80.1993879,Northwest 2nd Avenue,33127,3100,Miami
25.8058378,-80.1993893,Northwest 2nd Avenue,33127,3104,Miami
25.8059687,-80.1994422,Northwest 2nd Avenue,33127,3110,Miami
25.8064174,-80.1995309,Northwest 2nd Avenue,33127,3136,Miami
25.8067406,-80.1994459,Northwest 2nd Avenue,33127,3200,Miami
25.8067896,-80.1994464,Northwest 2nd Avenue,33127,3202,Miami
25.8068468,-80.1994502,Northwest 2nd Avenue,33127,3208,Miami
25.80716,-80.1994607,Northwest 2nd Avenue,33127,3220,Miami
25.8075788,-80.1989163,Northwest 2nd Avenue,33127,3311,Miami
25.8049934,-80.1993799,Northwest 2nd Avenue,33127,3004,Miami
25.8050466,-80.1993812,Northwest 2nd Avenue,33127,3006,Miami
25.8051073,-80.1993808,Northwest 2nd Avenue,33127,3008,Miami
25.8051757,-80.1993854,Northwest 2nd Avenue,33127,3012,Miami
25.8068586,-80.1990659,Northwest 2nd Avenue,33127,3299,Miami
25.8225512,-80.2001516,Northwest 2nd Avenue,33127,5100,Miami
25.8222313,-80.2001384,Northwest 2nd Avenue,33127,5040,Miami
25.8220646,-80.2001311,Northwest 2nd Avenue,33127,5030,Miami
25.8219261,-80.200125,Northwest 2nd Avenue,33127,5016,Miami
25.8208436,-80.2000806,Northwest 2nd Avenue,33127,4900,Miami
25.820139,-80.2000498,Northwest 2nd Avenue,33127,4840,Miami
25.817533,-80.2000468,Northwest 2nd Avenue,33127,4600,Miami
25.8194957,-80.2000281,Northwest 2nd Avenue,33127,4744,Miami
25.8221316,-80.1997152,Northwest 2nd Avenue,33127,5093,Miami
25.8220632,-80.1997069,Northwest 2nd Avenue,33127,5091,Miami
25.8217612,-80.199674,Northwest 2nd Avenue,33127,5001,Miami
25.8228,-80.1995755,Northwest 2nd Avenue,33127,5121,Miami
25.8175235,-80.1995068,Northwest 2nd Avenue,33127,4599,Miami
25.8195566,-80.1995047,Northwest 2nd Avenue,33127,4785,Miami
25.819432,-80.1995011,Northwest 2nd Avenue,33127,4765,Miami
25.818862,-80.1994778,Northwest 2nd Avenue,33127,4725,Miami
25.8187352,-80.1994735,Northwest 2nd Avenue,33127,4715,Miami
25.8186193,-80.1994696,Northwest 2nd Avenue,33127,4703,Miami
25.8168051,-80.1999336,Northwest 2nd Avenue,33127,4490,Miami
25.816561,-80.1999021,Northwest 2nd Avenue,33127,4470,Miami
25.8158172,-80.1998621,Northwest 2nd Avenue,33127,4300,Miami
25.8167991,-80.1998345,Northwest 2nd Avenue,33127,4480,Miami
25.8161206,-80.1998309,Northwest 2nd Avenue,33127,4322,Miami
25.8160468,-80.1998302,Northwest 2nd Avenue,33127,4320,Miami
25.8159597,-80.1998246,Northwest 2nd Avenue,33127,4314,Miami
25.8144448,-80.1998231,Northwest 2nd Avenue,33127,4190,Miami
25.8143093,-80.1998144,Northwest 2nd Avenue,33127,4160,Miami
25.8163447,-80.1994805,Northwest 2nd Avenue,33127,4431,Miami
25.8163973,-80.1994795,Northwest 2nd Avenue,33127,4433,Miami
25.8166529,-80.1994748,Northwest 2nd Avenue,33127,4443,Miami
25.8162775,-80.1994743,Northwest 2nd Avenue,33127,4401,Miami
25.8156545,-80.1994224,Northwest 2nd Avenue,33127,4301,Miami
25.81443,-80.1993906,Northwest 2nd Avenue,33127,4119,Miami
25.8153832,-80.1993363,Northwest 2nd Avenue,33127,4215,Miami
25.8145899,-80.1993095,Northwest 2nd Avenue,33127,4127,Miami
25.8128024,-80.1997492,Northwest 2nd Avenue,33127,3910,Miami
