lat,lon,street,postcode,housenumber,city
25.7829362,-80.1991188,Northwest 2nd Court,33136,910,Miami
25.7829541,-80.1986514,Northwest 2nd Court,33136,909,Miami
25.7830537,-80.1986544,Northwest 2nd Court,33136,917,Miami
25.7830757,-80.1991213,Northwest 2nd Court,33136,916,Miami
25.7831246,-80.1986564,Northwest 2nd Court,33136,921,Miami
25.7831699,-80.1991231,Northwest 2nd Court,33136,924,Miami
25.783238,-80.1991242,Northwest 2nd Court,33136,930,Miami
25.78335,-80.1991262,Northwest 2nd Court,33136,934,Miami
25.783475,-80.1987501,Northwest 2nd Court,33136,937,Miami
25.7920225,-80.1990511,Northwest 2nd Court,33136,1701,Miami
25.7947394,-80.199654,Northwest 2nd Court,33136,1940,Miami
25.7949892,-80.1996491,Northwest 2nd Court,33136,1948,Miami
25.7945109,-80.1996459,Northwest 2nd Court,33136,1936,Miami
25.7942028,-80.1996376,Northwest 2nd Court,33136,1928,Miami
25.7946541,-80.1996344,Northwest 2nd Court,33136,1938,Miami
25.7940831,-80.1996341,Northwest 2nd Court,33136,1922,Miami
25.7940738,-80.1996331,Northwest 2nd Court,33136,1924,Miami
25.7938043,-80.1996255,Northwest 2nd Court,33136,1910,Miami
25.7936924,-80.1996222,Northwest 2nd Court,33136,1900,Miami
25.7943708,-80.1996128,Northwest 2nd Court,33136,1932,Miami
25.7932469,-80.1995952,Northwest 2nd Court,33136,1824,Miami
25.7948183,-80.1995947,Northwest 2nd Court,33136,1942,Miami
25.7925485,-80.1995211,Northwest 2nd Court,33136,1744,Miami
25.7922852,-80.1995128,Northwest 2nd Court,33136,1732,Miami
25.7921904,-80.1995094,Northwest 2nd Court,33136,1726,Miami
25.7921012,-80.1995062,Northwest 2nd Court,33136,1720,Miami
25.7935266,-80.199483,Northwest 2nd Court,33136,1844,Miami
25.7929718,-80.199444,Northwest 2nd Court,33136,1814,Miami
25.7932552,-80.199167,Northwest 2nd Court,33136,1821,Miami
25.7950967,-80.1991353,Northwest 2nd Court,33136,1955,Miami
25.7944332,-80.199135,Northwest 2nd Court,33136,1937,Miami
25.7945736,-80.1991246,Northwest 2nd Court,33136,1943,Miami
25.7947081,-80.1991031,Northwest 2nd Court,33136,1969,Miami
25.7929751,-80.1990979,Northwest 2nd Court,33136,1805,Miami
25.7928507,-80.1990915,Northwest 2nd Court,33136,1801,Miami
25.7943444,-80.1990904,Northwest 2nd Court,33136,1933,Miami
25.7948198,-80.1990786,Northwest 2nd Court,33136,1971,Miami
25.7942173,-80.1990719,Northwest 2nd Court,33136,1931,Miami
25.7940909,-80.1990685,Northwest 2nd Court,33136,1929,Miami
25.7936876,-80.1990593,Northwest 2nd Court,33136,1907,Miami
25.7938495,-80.1990519,Northwest 2nd Court,33136,1919,Miami
25.792259,-80.1990495,Northwest 2nd Court,33136,1735,Miami
25.7927025,-80.1990454,Northwest 2nd Court,33136,1755,Miami
25.7951037,-80.1996323,Northwest 2nd Court,33136,1950,Miami
