lat,lon,street,postcode,housenumber,city
25.8063176,-80.1958422,Northwest 32nd Street,33127,20,Miami
25.8063604,-80.1967047,Northwest 32nd Street,33127,72,Miami
25.8064479,-80.1966791,Northwest 32nd Street,33127,70,Miami
25.8064526,-80.1965263,Northwest 32nd Street,33127,64,Miami
25.8065288,-80.1957689,Northwest 32nd Street,33127,28,Miami
25.8066272,-80.1954899,Northwest 32nd Street,33127,10,Miami
25.8059941,-80.209306,Northwest 32nd Street,33127,768,Miami
25.80634,-80.2124042,Northwest 32nd Street,33127,1045,Miami
25.8061218,-80.2109473,Northwest 32nd Street,33127,908,Miami
25.8061224,-80.2108648,Northwest 32nd Street,33127,906,Miami
25.8065959,-80.2100346,Northwest 32nd Street,33127,815,Miami
25.8061367,-80.2097198,Northwest 32nd Street,33127,790,Miami
25.8072191,-80.2086411,Northwest 32nd Street,33127,785,Miami
25.8062143,-80.2084785,Northwest 32nd Street,33127,752,Miami
25.8062565,-80.2065605,Northwest 32nd Street,33127,674,Miami
25.8062613,-80.2063781,Northwest 32nd Street,33127,656,Miami
25.8062079,-80.2067945,Northwest 32nd Street,33127,678,Miami
25.8062526,-80.2067615,Northwest 32nd Street,33127,676,Miami
25.8066713,-80.2038151,Northwest 32nd Street,33127,503,Miami
25.8066799,-80.2037491,Northwest 32nd Street,33127,501,Miami
25.806688,-80.2035887,Northwest 32nd Street,33127,202,Miami
25.8061176,-80.2190477,Northwest 32nd Street,33142,1378,Miami
25.806284,-80.2190534,Northwest 32nd Street,33142,1376,Miami
25.8067623,-80.2168197,Northwest 32nd Street,33142,1265,Miami
25.8067735,-80.2165123,Northwest 32nd Street,33142,1245,Miami
25.8067848,-80.2162079,Northwest 32nd Street,33142,1229,Miami
25.8063197,-80.2143392,Northwest 32nd Street,33127,1141,Miami
25.8062281,-80.1986616,Northwest 32nd Street,33127,168,Miami
25.8063432,-80.2003608,Northwest 32nd Street,33127,244,Miami
25.8068154,-80.200054,Northwest 32nd Street,33127,239,Miami
25.806888,-80.1980815,Northwest 32nd Street,33127,135,Miami
25.8068973,-80.1977737,Northwest 32nd Street,33127,125,Miami
25.8062197,-80.1990079,Northwest 32nd Street,33127,190,Miami
25.8064128,-80.19792,Northwest 32nd Street,33127,130,Miami
25.806699,-80.2039568,Northwest 32nd Street,33127,505,Miami
25.8067337,-80.2042962,Northwest 32nd Street,33127,539,Miami
25.8067677,-80.2039662,Northwest 32nd Street,33127,507,Miami
25.806911,-80.2039652,Northwest 32nd Street,33127,509,Miami
25.8065394,-80.2213589,Northwest 32nd Street,33142,1485,Miami
25.8065409,-80.2213295,Northwest 32nd Street,33142,1483,Miami
