lat,lon,street,postcode,housenumber,city
25.7827884,-80.1994652,Northwest 3rd Avenue,33136,901,Miami
25.782889,-80.1994701,Northwest 3rd Avenue,33136,911,Miami
25.7830323,-80.1994769,Northwest 3rd Avenue,33136,915,Miami
25.7832031,-80.1994851,Northwest 3rd Avenue,33136,929,Miami
25.7833334,-80.1996089,Northwest 3rd Avenue,33136,939,Miami
25.7833458,-80.1994921,Northwest 3rd Avenue,33136,937,Miami
25.783477,-80.1999162,Northwest 3rd Avenue,33136,936,Miami
25.7835167,-80.1999266,Northwest 3rd Avenue,33136,950,Miami
25.7837208,-80.1996331,Northwest 3rd Avenue,33136,1003,Miami
25.7838837,-80.1996368,Northwest 3rd Avenue,33136,1023,Miami
25.7838875,-80.1993648,Northwest 3rd Avenue,33136,1025,Miami
25.7840069,-80.1996384,Northwest 3rd Avenue,33136,1037,Miami
25.7840117,-80.1999818,Northwest 3rd Avenue,33136,1016,Miami
25.7866797,-80.2001782,Northwest 3rd Avenue,33136,1240,Miami
25.7873389,-80.2001104,Northwest 3rd Avenue,33136,1328,Miami
25.7878611,-80.2000768,Northwest 3rd Avenue,33136,1360,Miami
25.7875884,-80.2000653,Northwest 3rd Avenue,33136,1338,Miami
25.7863653,-80.2000454,Northwest 3rd Avenue,33136,1208,Miami
25.7860039,-80.2000296,Northwest 3rd Avenue,33136,1200,Miami
25.7844067,-80.1999969,Northwest 3rd Avenue,33136,1074,Miami
25.785285,-80.1996599,Northwest 3rd Avenue,33136,1131,Miami
25.7851336,-80.19965,Northwest 3rd Avenue,33136,1117,Miami
25.7891051,-80.1996418,Northwest 3rd Avenue,33136,1447,Miami
25.7893417,-80.1997316,Northwest 3rd Avenue,33136,1451,Miami
25.7894243,-80.199839,Northwest 3rd Avenue,33136,1495,Miami
25.7896952,-80.1997383,Northwest 3rd Avenue,33136,1507,Miami
25.7898382,-80.1997416,Northwest 3rd Avenue,33136,1515,Miami
25.7899468,-80.1998375,Northwest 3rd Avenue,33136,1525,Miami
25.7901265,-80.1998724,Northwest 3rd Avenue,33136,1539,Miami
25.7901317,-80.1997707,Northwest 3rd Avenue,33136,1537,Miami
25.7905773,-80.1997516,Northwest 3rd Avenue,33136,1611,Miami
25.7911376,-80.1997,Northwest 3rd Avenue,33136,1635,Miami
25.7912794,-80.1996386,Northwest 3rd Avenue,33136,1649,Miami
25.791386,-80.1998484,Northwest 3rd Avenue,33136,1651,Miami
25.7914473,-80.1998959,Northwest 3rd Avenue,33136,1653,Miami
25.7914758,-80.1998975,Northwest 3rd Avenue,33136,1655,Miami
25.7915067,-80.1998982,Northwest 3rd Avenue,33136,1657,Miami
25.7915483,-80.1998997,Northwest 3rd Avenue,33136,1659,Miami
25.7919091,-80.1998821,Northwest 3rd Avenue,33136,1701,Miami
25.7926743,-80.1999161,Northwest 3rd Avenue,33136,1749,Miami
25.7922528,-80.1998359,Northwest 3rd Avenue,33136,1729,Miami
25.7921175,-80.1998218,Northwest 3rd Avenue,33136,1723,Miami
25.7931687,-80.1997941,Northwest 3rd Avenue,33136,1829,Miami
25.7952009,-80.2000841,Northwest 3rd Avenue,33136,1975,Miami
25.7962196,-80.2001478,Northwest 3rd Avenue,33127,2055,Miami
25.7969684,-80.2001745,Northwest 3rd Avenue,33127,2101,Miami
25.7974603,-80.2000524,Northwest 3rd Avenue,33127,2191,Miami
25.7928871,-80.2008953,Northwest 3rd Avenue,33136,1805,Miami
25.7969147,-80.2014166,Northwest 3rd Avenue,33127,2136,Miami
25.796937,-80.2014155,Northwest 3rd Avenue,33127,2138,Miami
25.7968813,-80.2014139,Northwest 3rd Avenue,33127,2134,Miami
25.7968521,-80.2014132,Northwest 3rd Avenue,33127,2132,Miami
25.796818,-80.2013379,Northwest 3rd Avenue,33127,2130,Miami
25.7967392,-80.2012965,Northwest 3rd Avenue,33127,2128,Miami
25.7968288,-80.2012038,Northwest 3rd Avenue,33127,2126,Miami
25.7967517,-80.2011548,Northwest 3rd Avenue,33127,2124,Miami
25.7968345,-80.2010674,Northwest 3rd Avenue,33127,2122,Miami
25.7967652,-80.2010502,Northwest 3rd Avenue,33127,2120,Miami
25.7967296,-80.2009833,Northwest 3rd Avenue,33127,2116,Miami
25.7968109,-80.2009833,Northwest 3rd Avenue,33127,2118,Miami
25.7965558,-80.2009516,Northwest 3rd Avenue,33127,2056,Miami
25.7964778,-80.2009492,Northwest 3rd Avenue,33127,2058,Miami
25.7960853,-80.2009318,Northwest 3rd Avenue,33127,2036,Miami
25.7961568,-80.200931,Northwest 3rd Avenue,33127,2038,Miami
25.7956747,-80.2008995,Northwest 3rd Avenue,33127,2018,Miami
25.7968368,-80.2008982,Northwest 3rd Avenue,33127,2112,Miami
25.796766,-80.2008956,Northwest 3rd Avenue,33127,2114,Miami
25.7955914,-80.2008935,Northwest 3rd Avenue,33127,2016,Miami
25.7965552,-80.2008454,Northwest 3rd Avenue,33127,2052,Miami
25.7960732,-80.2008376,Northwest 3rd Avenue,33127,2032,Miami
25.7968712,-80.2008193,Northwest 3rd Avenue,33127,2108,Miami
25.7960844,-80.2007739,Northwest 3rd Avenue,33127,2030,Miami
25.7964689,-80.2007568,Northwest 3rd Avenue,33127,2048,Miami
25.7965625,-80.2007535,Northwest 3rd Avenue,33127,2050,Miami
25.7968101,-80.2007014,Northwest 3rd Avenue,33127,2106,Miami
25.7961155,-80.200651,Northwest 3rd Avenue,33127,2024,Miami
25.7965697,-80.2006472,Northwest 3rd Avenue,33127,2046,Miami
25.7956886,-80.2006335,Northwest 3rd Avenue,33127,2006,Miami
25.795608,-80.2006304,Northwest 3rd Avenue,33127,2004,Miami
25.7956022,-80.2005284,Northwest 3rd Avenue,33127,2000,Miami
25.7964772,-80.2008401,Northwest 3rd Avenue,33127,2054,Miami
25.7961623,-80.2008291,Northwest 3rd Avenue,33127,2034,Miami
25.7956715,-80.2008118,Northwest 3rd Avenue,33127,2014,Miami
25.7956012,-80.2007943,Northwest 3rd Avenue,33127,2012,Miami
25.796794,-80.2007978,Northwest 3rd Avenue,33127,2110,Miami
25.7960165,-80.2007649,Northwest 3rd Avenue,33127,2028,Miami
25.795593,-80.2007267,Northwest 3rd Avenue,33127,2008,Miami
25.7956814,-80.2007241,Northwest 3rd Avenue,33127,2010,Miami
25.7968998,-80.2006679,Northwest 3rd Avenue,33127,2104,Miami
25.7960318,-80.2006565,Northwest 3rd Avenue,33127,2026,Miami
25.796484,-80.2006564,Northwest 3rd Avenue,33127,2044,Miami
25.7968159,-80.2006084,Northwest 3rd Avenue,33127,2102,Miami
25.796746,-80.2005714,Northwest 3rd Avenue,33127,2100,Miami
25.7964939,-80.2005673,Northwest 3rd Avenue,33127,2042,Miami
25.7965692,-80.2005668,Northwest 3rd Avenue,33127,2040,Miami
25.7960988,-80.2005585,Northwest 3rd Avenue,33127,2022,Miami
25.7961689,-80.2005494,Northwest 3rd Avenue,33127,2020,Miami
25.7956854,-80.2005314,Northwest 3rd Avenue,33127,2002,Miami
25.801911,-80.2014129,Northwest 3rd Avenue,33127,2660,Miami
25.8053743,-80.201611,Northwest 3rd Avenue,33127,3000,Miami
25.8053802,-80.2018252,Northwest 3rd Avenue,33127,3050,Miami
25.8012186,-80.2008854,Northwest 3rd Avenue,33127,2521,Miami
25.8026312,-80.2010209,Northwest 3rd Avenue,33127,2775,Miami
25.8031692,-80.2009746,Northwest 3rd Avenue,33127,2801,Miami
25.8076996,-80.2011826,Northwest 3rd Avenue,33127,3301,Miami
25.8077222,-80.2012197,Northwest 3rd Avenue,33127,3303,Miami
25.8079181,-80.2012128,Northwest 3rd Avenue,33127,3325,Miami
25.807932,-80.2011014,Northwest 3rd Avenue,33127,3327,Miami
25.8090823,-80.2016178,Northwest 3rd Avenue,33127,3450,Miami
25.81074,-80.2017283,Northwest 3rd Avenue,33127,3620,Miami
25.8108768,-80.201734,Northwest 3rd Avenue,33127,3640,Miami
25.8138226,-80.2018393,Northwest 3rd Avenue,33127,4030,Miami
25.8077584,-80.2015099,Northwest 3rd Avenue,33127,3308,Miami
25.8076434,-80.2015033,Northwest 3rd Avenue,33127,3306,Miami
25.8218306,-80.2017393,Northwest 3rd Avenue,33127,5027,Miami
25.8217385,-80.2017361,Northwest 3rd Avenue,33127,5015,Miami
25.7824443,-80.1998199,Northwest 3rd Avenue,33136,842,Miami
