lat,lon,street,postcode,housenumber,city
25.7935792,-80.2049038,Northwest 5th Place,33136,1864,Miami
25.7935502,-80.2049027,Northwest 5th Place,33136,1862,Miami
25.7934549,-80.2049021,Northwest 5th Place,33136,1868,Miami
25.7935106,-80.2048991,Northwest 5th Place,33136,1860,Miami
25.7946372,-80.2048699,Northwest 5th Place,33136,1970,Miami
25.7933094,-80.2048581,Northwest 5th Place,33136,1850,Miami
25.7933512,-80.2048578,Northwest 5th Place,33136,1852,Miami
25.7934105,-80.2048561,Northwest 5th Place,33136,1856,Miami
25.7943556,-80.2048537,Northwest 5th Place,33136,1944,Miami
25.7933802,-80.2048525,Northwest 5th Place,33136,1854,Miami
25.7939357,-80.2048475,Northwest 5th Place,33136,1920,Miami
25.7930442,-80.2048355,Northwest 5th Place,33136,1838,Miami
25.7931697,-80.2048192,Northwest 5th Place,33136,1844,Miami
25.7932534,-80.2048187,Northwest 5th Place,33136,1848,Miami
25.793215,-80.2048164,Northwest 5th Place,33136,1846,Miami
25.793122,-80.2048144,Northwest 5th Place,33136,1842,Miami
25.7946386,-80.2047997,Northwest 5th Place,33136,1966,Miami
25.7929743,-80.2047974,Northwest 5th Place,33136,1836,Miami
25.7939494,-80.2047896,Northwest 5th Place,33136,1916,Miami
25.7943571,-80.2047895,Northwest 5th Place,33136,1940,Miami
25.7930648,-80.2047737,Northwest 5th Place,33136,1840,Miami
25.7935749,-80.2047421,Northwest 5th Place,33136,1888,Miami
25.7946455,-80.2047354,Northwest 5th Place,33136,1962,Miami
25.7943677,-80.2047333,Northwest 5th Place,33136,1936,Miami
25.7939386,-80.2047281,Northwest 5th Place,33136,1912,Miami
25.7928379,-80.2047277,Northwest 5th Place,33136,1830,Miami
25.7935747,-80.2047036,Northwest 5th Place,33136,1886,Miami
25.7927762,-80.2046922,Northwest 5th Place,33136,1828,Miami
25.7935756,-80.2046599,Northwest 5th Place,33136,1884,Miami
25.7933606,-80.2046562,Northwest 5th Place,33136,1874,Miami
25.7933615,-80.2046202,Northwest 5th Place,33136,1872,Miami
25.7946286,-80.2046172,Northwest 5th Place,33136,1954,Miami
25.7933601,-80.2045779,Northwest 5th Place,33136,1870,Miami
25.7935739,-80.2045611,Northwest 5th Place,33136,1880,Miami
25.7946246,-80.2045571,Northwest 5th Place,33136,1950,Miami
25.7928207,-80.2045468,Northwest 5th Place,33136,1810,Miami
25.7928986,-80.2045463,Northwest 5th Place,33136,1814,Miami
25.7929601,-80.2045459,Northwest 5th Place,33136,1818,Miami
25.7933657,-80.2045265,Northwest 5th Place,33136,1866,Miami
25.7929075,-80.2044808,Northwest 5th Place,33136,1816,Miami
25.7923786,-80.2044599,Northwest 5th Place,33136,1802,Miami
25.793577,-80.204502,Northwest 5th Place,33136,1878,Miami
25.7928985,-80.2047517,Northwest 5th Place,33136,1832,Miami
25.7929937,-80.2047382,Northwest 5th Place,33136,1834,Miami
25.7933585,-80.2046973,Northwest 5th Place,33136,1876,Miami
25.7946416,-80.2046833,Northwest 5th Place,33136,1958,Miami
25.7939417,-80.2046729,Northwest 5th Place,33136,1908,Miami
25.7943764,-80.204673,Northwest 5th Place,33136,1932,Miami
25.793573,-80.2046124,Northwest 5th Place,33136,1882,Miami
25.7943852,-80.2046068,Northwest 5th Place,33136,1928,Miami
25.7926234,-80.2046033,Northwest 5th Place,33136,1808,Miami
25.7939216,-80.2045998,Northwest 5th Place,33136,1904,Miami
25.7931508,-80.2045523,Northwest 5th Place,33136,1824,Miami
25.7930764,-80.2045477,Northwest 5th Place,33136,1822,Miami
25.7932042,-80.2045456,Northwest 5th Place,33136,1826,Miami
25.7943921,-80.2045486,Northwest 5th Place,33136,1924,Miami
25.7939166,-80.2045421,Northwest 5th Place,33136,1900,Miami
25.7924707,-80.2045094,Northwest 5th Place,33136,1804,Miami
25.7926751,-80.2044862,Northwest 5th Place,33136,1806,Miami
25.7928331,-80.2044864,Northwest 5th Place,33136,1812,Miami
25.7930005,-80.204484,Northwest 5th Place,33136,1820,Miami
25.7933642,-80.2044739,Northwest 5th Place,33136,1858,Miami
25.7963797,-80.2048979,Northwest 5th Place,33127,2052,Miami
25.7964391,-80.2048928,Northwest 5th Place,33127,2054,Miami
25.7967604,-80.2048922,Northwest 5th Place,33127,2082,Miami
25.7965774,-80.204891,Northwest 5th Place,33127,2060,Miami
25.7965415,-80.2048907,Northwest 5th Place,33127,2058,Miami
25.7964891,-80.2048853,Northwest 5th Place,33127,2056,Miami
25.7968129,-80.2048834,Northwest 5th Place,33127,2084,Miami
25.7958498,-80.2048818,Northwest 5th Place,33127,2020,Miami
25.7958994,-80.2048743,Northwest 5th Place,33127,2022,Miami
25.7958166,-80.2048737,Northwest 5th Place,33127,2018,Miami
25.7959998,-80.2048735,Northwest 5th Place,33127,2026,Miami
25.7968513,-80.2048733,Northwest 5th Place,33127,2086,Miami
25.7968791,-80.2048711,Northwest 5th Place,33127,2088,Miami
25.7959478,-80.2048706,Northwest 5th Place,33127,2024,Miami
25.7929213,-80.2042432,Northwest 5th Place,33136,1827,Miami
25.7929992,-80.2042414,Northwest 5th Place,33136,1831,Miami
