lat,lon,street,postcode,housenumber,city
25.7890667,-80.2082136,Northwest 7th Court,33136,1450,Miami
25.79051,-80.2081398,Northwest 7th Court,33136,1630,Miami
25.7898639,-80.2076687,Northwest 7th Court,33136,1519,Miami
25.791118,-80.2076583,Northwest 7th Court,33136,1661,Miami
25.7909761,-80.2076537,Northwest 7th Court,33136,1651,Miami
25.7908355,-80.2076493,Northwest 7th Court,33136,1647,Miami
25.7907001,-80.2076449,Northwest 7th Court,33136,1637,Miami
25.7905629,-80.2076405,Northwest 7th Court,33136,1629,Miami
25.7904208,-80.2076359,Northwest 7th Court,33136,1621,Miami
25.7902842,-80.2076317,Northwest 7th Court,33136,1609,Miami
25.7901498,-80.2076273,Northwest 7th Court,33136,1603,Miami
25.7900135,-80.2076229,Northwest 7th Court,33136,1529,Miami
25.7897258,-80.2076138,Northwest 7th Court,33136,1511,Miami
25.7895943,-80.2076093,Northwest 7th Court,33136,1509,Miami
25.7912671,-80.2075925,Northwest 7th Court,33136,1669,Miami
25.7993988,-80.2080472,Northwest 7th Court,33127,2320,Miami
25.7999714,-80.2080612,Northwest 7th Court,33127,2400,Miami
25.8001942,-80.2080706,Northwest 7th Court,33127,2416,Miami
25.8002068,-80.2076799,Northwest 7th Court,33127,2413,Miami
25.8004152,-80.2080799,Northwest 7th Court,33127,2440,Miami
25.7850546,-80.2079466,Northwest 7th Court,33136,1146,Miami
25.7858451,-80.2080158,Northwest 7th Court,33136,1208,Miami
25.7859522,-80.2080189,Northwest 7th Court,33136,1212,Miami
25.7860755,-80.2080227,Northwest 7th Court,33136,1216,Miami
25.7862119,-80.2080267,Northwest 7th Court,33136,1230,Miami
25.7863526,-80.2080309,Northwest 7th Court,33136,1238,Miami
25.7867488,-80.2080374,Northwest 7th Court,33136,1300,Miami
25.7868532,-80.2074139,Northwest 7th Court,33136,1305,Miami
25.7868696,-80.2080411,Northwest 7th Court,33136,1312,Miami
25.7874211,-80.208058,Northwest 7th Court,33136,1344,Miami
25.7877186,-80.2077006,Northwest 7th Court,33136,1363,Miami
25.7879836,-80.2079956,Northwest 7th Court,33136,1400,Miami
25.7880668,-80.2080214,Northwest 7th Court,33136,1414,Miami
25.7881073,-80.207541,Northwest 7th Court,33136,1415,Miami
25.7826989,-80.2073626,Northwest 7th Court,33136,911,Miami
25.7827654,-80.2077403,Northwest 7th Court,33136,900,Miami
25.7828235,-80.207752,Northwest 7th Court,33136,902,Miami
25.7829836,-80.2073885,Northwest 7th Court,33136,927,Miami
25.7831229,-80.2073937,Northwest 7th Court,33136,937,Miami
25.8234693,-80.2097469,Northwest 7th Court,33127,5220,Miami
25.8235814,-80.2097513,Northwest 7th Court,33127,5230,Miami
