lat,lon,street,postcode,housenumber,city
25.7871703,-80.1949382,Northwest Miami Court,33136,1313,Miami
25.7873653,-80.1948787,Northwest Miami Court,33136,1311,Miami
25.7879427,-80.1948441,Northwest Miami Court,33136,1361,Miami
25.7878039,-80.1948389,Northwest Miami Court,33136,1351,Miami
25.7876639,-80.194834,Northwest Miami Court,33136,1341,Miami
25.787524,-80.1948288,Northwest Miami Court,33136,1331,Miami
25.7936016,-80.1954763,Northwest Miami Court,33136,1801,Miami
25.7949706,-80.1955152,Northwest Miami Court,33136,1935,Miami
25.7950469,-80.1960463,Northwest Miami Court,33136,1942,Miami
25.794921,-80.196042,Northwest Miami Court,33136,1940,Miami
25.7947965,-80.1960377,Northwest Miami Court,33136,1932,Miami
25.7946696,-80.1960333,Northwest Miami Court,33136,1928,Miami
25.7944678,-80.1960263,Northwest Miami Court,33136,1920,Miami
25.7963955,-80.1960712,Northwest Miami Court,33127,2048,Miami
25.7965105,-80.1960712,Northwest Miami Court,33127,2058,Miami
25.7962597,-80.1960683,Northwest Miami Court,33127,2020,Miami
25.7961235,-80.1960656,Northwest Miami Court,33127,2014,Miami
25.7959874,-80.1960628,Northwest Miami Court,33127,2010,Miami
25.7987706,-80.195687,Northwest Miami Court,33127,2233,Miami
25.7977935,-80.1956639,Northwest Miami Court,33127,2155,Miami
25.7971904,-80.1956605,Northwest Miami Court,33127,2135,Miami
25.7973541,-80.1956514,Northwest Miami Court,33127,2129,Miami
25.7984634,-80.1956016,Northwest Miami Court,33127,2217,Miami
25.7983489,-80.1955966,Northwest Miami Court,33127,2215,Miami
25.797007,-80.1955685,Northwest Miami Court,33127,2101,Miami
25.7963547,-80.1955499,Northwest Miami Court,33127,2041,Miami
25.796189,-80.1955461,Northwest Miami Court,33127,2025,Miami
25.7960224,-80.1955405,Northwest Miami Court,33127,2021,Miami
25.7987763,-80.1954935,Northwest Miami Court,33127,2235,Miami
25.7989428,-80.1963029,Northwest Miami Court,33127,2236,Miami
25.7974511,-80.1960952,Northwest Miami Court,33127,2134,Miami
