lat,lon,street,postcode,housenumber,city,state,country
40.4710255,-80.0132719,Norwood Avenue,15214,2605, , , 
40.4725363,-80.0132599,Norwood Avenue,15214,2700, , , 
40.4723828,-80.0132326,Norwood Avenue,15214,2662, , , 
40.4719167,-80.0130839,Norwood Avenue,15214,2648, , , 
40.4718602,-80.0130673,Norwood Avenue,15214,2646, , , 
40.4708639,-80.0127354,Norwood Avenue,15214,2614, , , 
40.4709825,-80.012761,Norwood Avenue,15214,2618, , , 
40.4710332,-80.0127688,Norwood Avenue,15214,26181, , , 
40.471066,-80.0127889,Norwood Avenue,15214,2620, , , 
40.471393,-80.0128887,Norwood Avenue,15214,2630, , , 
40.4712117,-80.0134011,Norwood Avenue,15214,2633, , , 
40.4716183,-80.0129664,Norwood Avenue,15214,2638, , , 
40.472127,-80.0131539,Norwood Avenue,15214,2654, , , 
40.4716494,-80.0130318,Norwood Avenue,15214,2640, , , 
