lat,lon,street,postcode,housenumber,city,state,country
40.463689,-79.8911484,Oakdene Street,15206,1461, , , 
40.4638968,-79.8911406,Oakdene Street,15206,1419, , , 
40.4641518,-79.8911451,Oakdene Street,15206,1433, , , 
40.4642116,-79.891146,Oakdene Street,15206,1439, , , 
40.4643519,-79.891163,Oakdene Street,15206,1439, , , 
40.4645009,-79.8911505,Oakdene Street,15206,1443, , , 
40.4623927,-79.8906022,Oakdene Street,15206,1314, , , 
40.4628535,-79.8910752,Oakdene Street,15206,1331, , , 
40.4628658,-79.8906035,Oakdene Street,15206,1334, , , 
40.4633497,-79.8910852,Oakdene Street,15206,1401, , , 
40.4636446,-79.8906132,Oakdene Street,15206,1412, , , 
40.4656054,-79.8907275,Oakdene Street,15206,1504, , , 
40.4656864,-79.8907585,Oakdene Street,15206,1506, , , 
40.4657606,-79.8910805,Oakdene Street,15206,1521, , , 
40.46582,-79.8907369,Oakdene Street,15206,1510, , , 
40.4660958,-79.8907582,Oakdene Street,15206,1520, , , 
40.466572,-79.8905892,Oakdene Street,15206,1541, , , 
40.4665791,-79.8904428,Oakdene Street,15206,1545, , , 
40.4665813,-79.8908153,Oakdene Street,15206,1535, , , 
40.4665912,-79.8902361,Oakdene Street,15206,1549, , , 
