lat,lon,street,postcode,housenumber,city,state,country
40.4976471,-79.9058461,Oakhurst Circle,15215,1, , , 
40.4980243,-79.9059383,Oakhurst Circle,15215,10, , , 
40.4977204,-79.9062444,Oakhurst Circle,15215,13, , , 
40.4977445,-79.9066633,Oakhurst Circle,15215,14, , , 
40.4981455,-79.9061681,Oakhurst Circle,15215,15, , , 
40.4976836,-79.9066796,Oakhurst Circle,15215,16, , , 
40.4981147,-79.9062153,Oakhurst Circle,15215,16, , , 
40.4975814,-79.9062919,Oakhurst Circle,15215,17, , , 
40.4975386,-79.9063045,Oakhurst Circle,15215,19, , , 
40.4979828,-79.9057046,Oakhurst Circle,15215,2, , , 
40.4976071,-79.9067037,Oakhurst Circle,15215,20, , , 
40.4975218,-79.9067371,Oakhurst Circle,15215,24, , , 
40.4974102,-79.9063429,Oakhurst Circle,15215,25, , , 
40.497438,-79.9067592,Oakhurst Circle,15215,26, , , 
40.4973674,-79.9063559,Oakhurst Circle,15215,27, , , 
40.49736,-79.9067789,Oakhurst Circle,15215,28, , , 
40.4973246,-79.9063685,Oakhurst Circle,15215,29, , , 
40.4972815,-79.9063815,Oakhurst Circle,15215,31, , , 
40.4972387,-79.9063942,Oakhurst Circle,15215,33, , , 
40.4972766,-79.906812,Oakhurst Circle,15215,36, , , 
40.4971531,-79.9064199,Oakhurst Circle,15215,37, , , 
40.4970918,-79.9069806,Oakhurst Circle,15215,40, , , 
40.4971414,-79.9062432,Oakhurst Circle,15215,41, , , 
40.4970728,-79.9070335,Oakhurst Circle,15215,42, , , 
40.4971292,-79.9061766,Oakhurst Circle,15215,43, , , 
40.4970534,-79.9070862,Oakhurst Circle,15215,44, , , 
40.4971167,-79.9061104,Oakhurst Circle,15215,45, , , 
40.4970345,-79.9071391,Oakhurst Circle,15215,46, , , 
40.4971042,-79.9060441,Oakhurst Circle,15215,47, , , 
40.497092,-79.9059776,Oakhurst Circle,15215,49, , , 
40.4976708,-79.9059774,Oakhurst Circle,15215,5, , , 
40.4970795,-79.9059113,Oakhurst Circle,15215,51, , , 
40.497067,-79.9058448,Oakhurst Circle,15215,53, , , 
40.4969582,-79.9073417,Oakhurst Circle,15215,54, , , 
40.4970548,-79.9057786,Oakhurst Circle,15215,55, , , 
40.4969184,-79.9074454,Oakhurst Circle,15215,58, , , 
40.4968966,-79.907492,Oakhurst Circle,15215,60, , , 
40.4980137,-79.9058758,Oakhurst Circle,15215,8, , , 
